(Airspace)	    		         N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N048.59.60.000 W123.19.20.000 N049.00.05.000 W122.33.50.000 classC
                          N049.00.05.000 W122.33.50.000 N048.57.59.000 W122.33.50.000 classC
                          N048.57.59.000 W122.33.50.000 N048.57.59.000 W122.47.12.000 classC
                          N048.57.59.000 W122.47.12.000 N048.57.41.296 W122.47.25.257 classC
                          N048.57.41.296 W122.47.25.257 N048.57.26.551 W122.47.36.550 classC
                          N048.57.26.551 W122.47.36.550 N048.57.11.937 W122.47.48.229 classC
                          N048.57.11.937 W122.47.48.229 N048.56.57.459 W122.48.00.292 classC
                          N048.56.57.459 W122.48.00.292 N048.56.43.122 W122.48.12.735 classC
                          N048.56.43.122 W122.48.12.735 N048.56.28.930 W122.48.25.553 classC
                          N048.56.28.930 W122.48.25.553 N048.56.14.886 W122.48.38.744 classC
                          N048.56.14.886 W122.48.38.744 N048.56.00.996 W122.48.52.302 classC
                          N048.56.00.996 W122.48.52.302 N048.55.47.264 W122.49.06.225 classC
                          N048.55.47.264 W122.49.06.225 N048.55.33.693 W122.49.20.507 classC
                          N048.55.33.693 W122.49.20.507 N048.55.20.288 W122.49.35.143 classC
                          N048.55.20.288 W122.49.35.143 N048.55.07.053 W122.49.50.131 classC
                          N048.55.07.053 W122.49.50.131 N048.54.53.991 W122.50.05.464 classC
                          N048.54.53.991 W122.50.05.464 N048.54.41.108 W122.50.21.139 classC
                          N048.54.41.108 W122.50.21.139 N048.54.28.406 W122.50.37.150 classC
                          N048.54.28.406 W122.50.37.150 N048.54.15.889 W122.50.53.493 classC
                          N048.54.15.889 W122.50.53.493 N048.54.03.562 W122.51.10.162 classC
                          N048.54.03.562 W122.51.10.162 N048.53.51.427 W122.51.27.153 classC
                          N048.53.51.427 W122.51.27.153 N048.53.39.490 W122.51.44.460 classC
                          N048.53.39.490 W122.51.44.460 N048.53.27.752 W122.52.02.078 classC
                          N048.53.27.752 W122.52.02.078 N048.53.16.218 W122.52.20.002 classC
                          N048.53.16.218 W122.52.20.002 N048.53.04.892 W122.52.38.226 classC
                          N048.53.04.892 W122.52.38.226 N048.52.53.776 W122.52.56.744 classC
                          N048.52.53.776 W122.52.56.744 N048.52.42.874 W122.53.15.552 classC
                          N048.52.42.874 W122.53.15.552 N048.52.32.189 W122.53.34.643 classC
                          N048.52.32.189 W122.53.34.643 N048.52.21.725 W122.53.54.012 classC
                          N048.52.21.725 W122.53.54.012 N048.52.11.484 W122.54.13.652 classC
                          N048.52.11.484 W122.54.13.652 N048.52.01.470 W122.54.33.558 classC
                          N048.52.01.470 W122.54.33.558 N048.51.51.686 W122.54.53.723 classC
                          N048.51.51.686 W122.54.53.723 N048.51.42.135 W122.55.14.142 classC
                          N048.51.42.135 W122.55.14.142 N048.51.32.819 W122.55.34.809 classC
                          N048.51.32.819 W122.55.34.809 N048.51.23.741 W122.55.55.717 classC
                          N048.51.23.741 W122.55.55.717 N048.51.14.904 W122.56.16.859 classC
                          N048.51.14.904 W122.56.16.859 N048.51.06.311 W122.56.38.230 classC
                          N048.51.06.311 W122.56.38.230 N048.50.57.965 W122.56.59.823 classC
                          N048.50.57.965 W122.56.59.823 N048.50.49.867 W122.57.21.631 classC
                          N048.50.49.867 W122.57.21.631 N048.50.42.020 W122.57.43.648 classC
                          N048.50.42.020 W122.57.43.648 N048.50.34.427 W122.58.05.868 classC
                          N048.50.34.427 W122.58.05.868 N048.50.27.090 W122.58.28.283 classC
                          N048.50.27.090 W122.58.28.283 N048.50.20.011 W122.58.50.887 classC
                          N048.50.20.011 W122.58.50.887 N048.50.13.192 W122.59.13.673 classC
                          N048.50.13.192 W122.59.13.673 N048.50.06.636 W122.59.36.633 classC
                          N048.50.06.636 W122.59.36.633 N048.50.00.343 W122.59.59.763 classC
                          N048.50.00.343 W122.59.59.763 N048.49.52.000 W123.00.31.000 classC
                          N048.49.52.000 W123.00.31.000 N048.59.60.000 W123.19.20.000 classC
                          N049.00.05.000 W122.33.50.000 N049.00.05.000 W122.16.08.000 classD
                          N049.00.05.000 W122.16.08.000 N049.00.01.006 W122.16.09.840 classD
                          N049.00.01.006 W122.16.09.840 N048.59.57.139 W122.16.12.282 classD
                          N048.59.57.139 W122.16.12.282 N048.59.53.300 W122.16.14.826 classD
                          N048.59.53.300 W122.16.14.826 N048.59.49.492 W122.16.17.472 classD
                          N048.59.49.492 W122.16.17.472 N048.59.45.714 W122.16.20.217 classD
                          N048.59.45.714 W122.16.20.217 N048.59.41.968 W122.16.23.063 classD
                          N048.59.41.968 W122.16.23.063 N048.59.38.256 W122.16.26.007 classD
                          N048.59.38.256 W122.16.26.007 N048.59.34.577 W122.16.29.049 classD
                          N048.59.34.577 W122.16.29.049 N048.59.30.935 W122.16.32.189 classD
                          N048.59.30.935 W122.16.32.189 N048.59.27.329 W122.16.35.424 classD
                          N048.59.27.329 W122.16.35.424 N048.59.23.760 W122.16.38.754 classD
                          N048.59.23.760 W122.16.38.754 N048.59.20.231 W122.16.42.178 classD
                          N048.59.20.231 W122.16.42.178 N048.59.16.741 W122.16.45.695 classD
                          N048.59.16.741 W122.16.45.695 N048.59.13.292 W122.16.49.304 classD
                          N048.59.13.292 W122.16.49.304 N048.59.09.885 W122.16.53.004 classD
                          N048.59.09.885 W122.16.53.004 N048.59.06.521 W122.16.56.793 classD
                          N048.59.06.521 W122.16.56.793 N048.59.03.201 W122.17.00.671 classD
                          N048.59.03.201 W122.17.00.671 N048.58.59.926 W122.17.04.636 classD
                          N048.58.59.926 W122.17.04.636 N048.58.56.697 W122.17.08.687 classD
                          N048.58.56.697 W122.17.08.687 N048.58.53.515 W122.17.12.823 classD
                          N048.58.53.515 W122.17.12.823 N048.58.50.381 W122.17.17.043 classD
                          N048.58.50.381 W122.17.17.043 N048.58.47.296 W122.17.21.345 classD
                          N048.58.47.296 W122.17.21.345 N048.58.44.260 W122.17.25.728 classD
                          N048.58.44.260 W122.17.25.728 N048.58.41.276 W122.17.30.191 classD
                          N048.58.41.276 W122.17.30.191 N048.58.38.343 W122.17.34.731 classD
                          N048.58.38.343 W122.17.34.731 N048.58.35.463 W122.17.39.349 classD
                          N048.58.35.463 W122.17.39.349 N048.58.32.636 W122.17.44.043 classD
                          N048.58.32.636 W122.17.44.043 N048.58.29.863 W122.17.48.810 classD
                          N048.58.29.863 W122.17.48.810 N048.58.27.146 W122.17.53.650 classD
                          N048.58.27.146 W122.17.53.650 N048.58.24.484 W122.17.58.561 classD
                          N048.58.24.484 W122.17.58.561 N048.58.21.879 W122.18.03.542 classD
                          N048.58.21.879 W122.18.03.542 N048.58.19.332 W122.18.08.591 classD
                          N048.58.19.332 W122.18.08.591 N048.58.16.843 W122.18.13.707 classD
                          N048.58.16.843 W122.18.13.707 N048.58.14.413 W122.18.18.887 classD
                          N048.58.14.413 W122.18.18.887 N048.58.12.044 W122.18.24.131 classD
                          N048.58.12.044 W122.18.24.131 N048.58.09.734 W122.18.29.437 classD
                          N048.58.09.734 W122.18.29.437 N048.58.07.486 W122.18.34.804 classD
                          N048.58.07.486 W122.18.34.804 N048.58.05.300 W122.18.40.229 classD
                          N048.58.05.300 W122.18.40.229 N048.58.03.176 W122.18.45.711 classD
                          N048.58.03.176 W122.18.45.711 N048.58.01.116 W122.18.51.248 classD
                          N048.58.01.116 W122.18.51.248 N048.57.59.000 W122.18.57.000 classD
                          N048.57.59.000 W122.18.57.000 N048.57.59.000 W122.33.50.000 classD
                          N048.57.59.000 W122.33.50.000 N048.57.59.000 W122.47.12.000 classD
                          N048.57.59.000 W122.47.12.000 N048.58.11.020 W122.47.03.362 classD
                          N048.58.11.020 W122.47.03.362 N048.58.26.139 W122.46.53.248 classD
                          N048.58.26.139 W122.46.53.248 N048.58.41.372 W122.46.43.535 classD
                          N048.58.41.372 W122.46.43.535 N048.58.56.714 W122.46.34.225 classD
                          N048.58.56.714 W122.46.34.225 N048.59.12.160 W122.46.25.322 classD
                          N048.59.12.160 W122.46.25.322 N048.59.27.706 W122.46.16.829 classD
                          N048.59.27.706 W122.46.16.829 N048.59.43.347 W122.46.08.748 classD
                          N048.59.43.347 W122.46.08.748 N049.00.05.000 W122.45.58.000 classD
                          N049.00.05.000 W122.45.58.000 N049.00.05.000 W122.33.50.000 classD
                          N049.00.05.000 W122.33.50.000 N048.57.59.000 W122.33.50.000 classD
                          N040.54.41.560 W124.06.15.830 N040.51.17.850 W124.09.53.230 classEsfc
                          N040.51.17.850 W124.09.53.230 N040.53.33.850 W124.13.34.540 classEsfc
                          N040.53.33.850 W124.13.34.540 N040.56.15.050 W124.10.42.440 classEsfc
                          N040.56.15.050 W124.10.42.440 N040.56.16.790 W124.10.44.099 classEsfc
                          N040.56.16.790 W124.10.44.099 N040.56.20.156 W124.10.47.391 classEsfc
