-ZLC Sector Splits        N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N044.59.25.501 W114.38.45.281 N045.20.29.623 W115.00.00.000 SECTOR
                          N042.20.00.000 W119.05.59.999 N042.20.00.000 W119.05.59.999 SECTOR
                          N042.20.00.000 W119.05.59.999 N042.15.22.365 W118.36.46.929 SECTOR
                          N046.25.00.000 W115.00.00.000 N046.24.04.197 W114.30.07.947 SECTOR
ZLC Sector Labels         N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N046.21.19.095 W114.54.40.525 N046.21.19.095 W114.51.26.265 SECTOR
                          N046.18.18.600 W114.55.00.520 N046.18.18.600 W114.51.46.259 SECTOR
                          N046.20.56.129 W114.54.40.525 N046.20.56.129 W114.52.28.437 SECTOR
                          N046.18.41.584 W114.53.58.348 N046.18.41.584 W114.51.46.259 SECTOR
                          N046.21.19.095 W114.51.26.265 N046.18.41.584 W114.53.58.348 SECTOR
                          N046.20.56.129 W114.52.28.437 N046.18.18.600 W114.55.00.520 SECTOR
                          N046.18.41.584 W114.51.46.259 N046.18.18.600 W114.51.46.259 SECTOR
                          N046.21.19.095 W114.54.40.525 N046.20.56.129 W114.54.40.525 SECTOR
                          N046.21.20.536 W114.50.51.815 N046.18.18.600 W114.50.51.815 SECTOR
                          N046.18.18.600 W114.50.51.815 N046.18.18.600 W114.47.56.158 SECTOR
                          N046.21.20.536 W114.50.18.275 N046.18.41.768 W114.50.18.275 SECTOR
                          N046.18.41.768 W114.50.18.275 N046.18.41.768 W114.47.56.158 SECTOR
                          N046.21.20.536 W114.50.51.815 N046.21.20.536 W114.50.18.275 SECTOR
                          N046.18.41.768 W114.47.56.158 N046.18.18.600 W114.47.56.158 SECTOR
                          N046.18.48.934 W114.44.06.056 N046.18.18.600 W114.44.49.970 SECTOR
                          N046.18.18.600 W114.44.49.970 N046.18.18.600 W114.46.17.799 SECTOR
                          N046.18.18.600 W114.46.17.799 N046.18.48.934 W114.47.01.713 SECTOR
                          N046.18.48.934 W114.47.01.713 N046.20.50.225 W114.47.01.713 SECTOR
                          N046.20.50.225 W114.47.01.713 N046.21.20.536 W114.46.17.799 SECTOR
                          N046.21.20.536 W114.46.17.799 N046.21.20.536 W114.44.49.970 SECTOR
                          N046.21.20.536 W114.44.49.970 N046.20.50.225 W114.44.06.056 SECTOR
                          N046.18.58.529 W114.46.28.174 N046.20.40.635 W114.46.28.174 SECTOR
                          N046.20.40.635 W114.46.28.174 N046.20.57.386 W114.46.03.906 SECTOR
                          N046.20.57.386 W114.46.03.906 N046.20.57.386 W114.45.03.863 SECTOR
                          N046.20.57.386 W114.45.03.863 N046.20.33.853 W114.44.29.772 SECTOR
                          N046.18.41.768 W114.46.03.906 N046.18.58.529 W114.46.28.174 SECTOR
                          N046.18.41.768 W114.45.03.863 N046.18.41.768 W114.46.03.906 SECTOR
                          N046.19.05.314 W114.44.29.772 N046.18.41.768 W114.45.03.863 SECTOR
                          N046.18.48.934 W114.44.06.056 N046.19.05.314 W114.44.29.772 SECTOR
                          N046.20.33.853 W114.44.29.772 N046.20.50.225 W114.44.06.056 SECTOR
                          N046.18.18.600 W114.40.39.156 N046.18.48.694 W114.41.22.722 SECTOR
                          N046.18.48.694 W114.41.22.722 N046.20.49.024 W114.41.22.722 SECTOR
                          N046.20.49.024 W114.41.22.722 N046.21.19.095 W114.40.39.156 SECTOR
                          N046.21.19.095 W114.40.39.156 N046.21.19.095 W114.39.55.589 SECTOR
                          N046.21.19.095 W114.39.55.589 N046.20.49.024 W114.39.12.023 SECTOR
                          N046.20.49.024 W114.39.12.023 N046.18.48.694 W114.39.12.023 SECTOR
                          N046.18.48.694 W114.39.12.023 N046.18.18.600 W114.39.55.589 SECTOR
                          N046.18.18.600 W114.39.55.589 N046.18.18.600 W114.40.39.156 SECTOR
                          N046.20.56.129 W114.40.25.373 N046.20.56.129 W114.40.09.372 SECTOR
                          N046.20.56.129 W114.40.09.372 N046.20.39.510 W114.39.45.296 SECTOR
                          N046.20.39.510 W114.39.45.296 N046.18.58.213 W114.39.45.296 SECTOR
                          N046.18.58.213 W114.39.45.296 N046.18.41.584 W114.40.09.372 SECTOR
                          N046.18.41.584 W114.40.09.372 N046.18.41.584 W114.40.25.373 SECTOR
                          N046.18.41.584 W114.40.25.373 N046.18.58.213 W114.40.49.448 SECTOR
                          N046.18.58.213 W114.40.49.448 N046.20.39.510 W114.40.49.448 SECTOR
                          N046.20.39.510 W114.40.49.448 N046.20.56.129 W114.40.25.373 SECTOR
                          N046.20.00.356 W114.36.23.516 N046.19.18.783 W114.35.23.312 SECTOR
                          N046.19.18.783 W114.35.23.312 N046.18.48.694 W114.35.23.312 SECTOR
                          N046.18.48.694 W114.35.23.312 N046.18.18.600 W114.36.06.879 SECTOR
                          N046.18.18.600 W114.36.06.879 N046.18.18.600 W114.37.34.012 SECTOR
                          N046.18.18.600 W114.37.34.012 N046.18.48.694 W114.38.17.578 SECTOR
                          N046.18.48.694 W114.38.17.578 N046.20.18.949 W114.38.17.578 SECTOR
                          N046.20.18.949 W114.38.17.578 N046.21.19.095 W114.36.50.445 SECTOR
                          N046.21.19.095 W114.36.50.445 N046.21.19.095 W114.36.06.879 SECTOR
                          N046.19.37.380 W114.37.44.304 N046.19.37.380 W114.36.37.298 SECTOR
                          N046.20.00.356 W114.37.44.304 N046.20.00.356 W114.36.23.516 SECTOR
                          N046.19.37.380 W114.36.37.298 N046.19.09.265 W114.35.56.586 SECTOR
                          N046.19.09.265 W114.35.56.586 N046.18.58.213 W114.35.56.586 SECTOR
                          N046.18.58.213 W114.35.56.586 N046.18.41.584 W114.36.20.661 SECTOR
                          N046.18.41.584 W114.36.20.661 N046.18.41.584 W114.37.20.229 SECTOR
                          N046.18.41.584 W114.37.20.229 N046.18.58.213 W114.37.44.304 SECTOR
                          N046.20.00.356 W114.37.44.304 N046.20.09.433 W114.37.44.304 SECTOR
