SUA                       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N048.10.27.310 W122.42.24.590 N048.11.27.460 W122.42.25.470
                          N048.11.27.460 W122.42.25.470 N048.12.47.670 W122.41.34.900
                          N048.12.47.670 W122.41.34.900 N048.13.49.560 W122.39.25.000
                          N048.13.49.560 W122.39.25.000 N048.13.51.310 W122.36.41.980
                          N048.13.51.310 W122.36.41.980 N048.11.16.990 W122.33.32.790
                          N048.11.16.990 W122.33.32.790 N048.12.57.440 W122.34.40.020
                          N048.12.57.440 W122.34.40.020 N048.09.41.100 W122.33.57.200
                          N048.09.41.100 W122.33.57.200 N048.08.32.230 W122.35.27.870
                          N048.08.32.230 W122.35.27.870 N048.08.00.840 W122.37.46.490
                          N048.08.00.840 W122.37.46.490 N048.08.17.410 W122.39.59.880
                          N048.08.17.410 W122.39.59.880 N048.09.03.610 W122.41.26.180
                          N048.09.03.610 W122.41.26.180 N048.09.57.660 W122.42.12.390
                          N048.09.57.660 W122.42.12.390 N048.10.27.310 W122.42.24.590
                          N045.16.60.000 W126.22.00.000 N046.19.60.000 W124.46.00.000
                          N046.19.60.000 W124.46.00.000 N046.40.00.000 W124.19.60.000
                          N046.40.00.000 W124.19.60.000 N046.09.59.000 W124.20.05.000
                          N046.09.59.000 W124.20.05.000 N044.54.02.000 W124.20.04.000
                          N044.54.02.000 W124.20.04.000 N044.50.35.000 W124.21.21.000
                          N044.50.35.000 W124.21.21.000 N044.37.59.000 W124.28.04.000
                          N044.37.59.000 W124.28.04.000 N044.10.59.000 W125.30.05.000
                          N044.10.59.000 W125.30.05.000 N044.04.00.000 W125.48.30.000
                          N044.04.00.000 W125.48.30.000 N045.16.60.000 W126.22.00.000
                          N045.10.11.000 W126.34.30.000 N045.16.60.000 W126.22.00.000
                          N045.16.60.000 W126.22.00.000 N044.04.00.000 W125.48.30.000
                          N044.04.00.000 W125.48.30.000 N043.43.30.000 W126.37.60.000
                          N043.43.30.000 W126.37.60.000 N043.55.00.000 W126.37.00.000
                          N043.55.00.000 W126.37.00.000 N045.00.00.000 W126.30.00.000
                          N045.00.00.000 W126.30.00.000 N045.10.11.000 W126.34.30.000
