SEA_ISBRG                 N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000 ; (ISBRG ONE)
                          N047.29.55.640 W122.18.38.450 N047.33.19.520 W122.18.36.660 ; NESOE WUREL
                          N047.33.19.520 W122.18.36.660 N047.36.27.230 W122.21.47.610 ; WUREL ATOME
                          N047.36.27.230 W122.21.47.610 N047.37.12.000 W122.28.06.000 ; ATOME BREMM
                          N047.37.12.000 W122.28.06.000 N047.37.40.680 W122.37.02.500 ; BREMM ISBRG
                          N047.29.54.680 W122.19.03.230 N047.33.19.520 W122.18.36.660 ; CUSBU WUREL
                          N047.33.19.520 W122.18.36.660 N047.36.27.230 W122.21.47.610 ; WUREL ATOME
                          N047.36.27.230 W122.21.47.610 N047.37.12.000 W122.28.06.000 ; ATOME BREMM
                          N047.37.12.000 W122.28.06.000 N047.37.40.680 W122.37.02.500 ; BREMM ISBRG
                          N047.29.55.590 W122.18.26.800 N047.33.19.520 W122.18.36.660 ; DODVE WUREL
                          N047.33.19.520 W122.18.36.660 N047.36.27.230 W122.21.47.610 ; WUREL ATOME
                          N047.36.27.230 W122.21.47.610 N047.37.12.000 W122.28.06.000 ; ATOME BREMM
                          N047.37.12.000 W122.28.06.000 N047.37.40.680 W122.37.02.500 ; BREMM ISBRG


