SEA_JEFPO                 N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000 ; (JEFPO ONE)
                          N047.29.55.640 W122.18.38.450 N047.33.19.520 W122.18.36.660 ; NESOE WUREL
                          N047.33.19.520 W122.18.36.660 N047.36.27.230 W122.21.47.610 ; WUREL ATOME
                          N047.36.27.230 W122.21.47.610 N047.38.25.120 W122.27.27.360 ; ATOME CENEX
                          N047.38.25.120 W122.27.27.360 N047.43.44.780 W122.27.35.120 ; CENEX JEFPO
                          N047.29.54.680 W122.19.03.230 N047.33.19.520 W122.18.36.660 ; CUSBU WUREL
                          N047.33.19.520 W122.18.36.660 N047.36.27.230 W122.21.47.610 ; WUREL ATOME
                          N047.36.27.230 W122.21.47.610 N047.38.25.120 W122.27.27.360 ; ATOME CENEX
                          N047.38.25.120 W122.27.27.360 N047.43.44.780 W122.27.35.120 ; CENEX JEFPO
                          N047.29.55.590 W122.18.26.800 N047.33.19.520 W122.18.36.660 ; DODVE WUREL
                          N047.33.19.520 W122.18.36.660 N047.36.27.230 W122.21.47.610 ; WUREL ATOME
                          N047.36.27.230 W122.21.47.610 N047.38.25.120 W122.27.27.360 ; ATOME CENEX
                          N047.38.25.120 W122.27.27.360 N047.43.44.780 W122.27.35.120 ; CENEX JEFPO


