MFR_BRUTE                 N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000 ; (BRUTE SEVEN)
                          N042.23.29.814 W122.52.43.824 N042.24.27.100 W122.43.21.120 ; MEF BRUTE
    ; COPPO TRANSITION
                          N042.24.27.100 W122.43.21.120 N042.21.56.370 W122.36.44.910 ; BRUTE LANKS
                          N042.21.56.370 W122.36.44.910 N042.14.57.490 W122.46.53.180 ; LANKS JADUN
                          N042.14.57.490 W122.46.53.180 N042.14.06.890 W122.50.28.070 ; JADUN HANDY
                          N042.14.06.890 W122.50.28.070 N042.13.48.850 W122.53.12.560 ; HANDY LIPWO
                          N042.13.48.850 W122.53.12.560 N042.13.46.260 W122.54.36.830 ; LIPWO COPPO
    ; CUTTR TRANSITION
                          N042.24.27.100 W122.43.21.120 N042.25.16.960 W122.35.04.360 ; BRUTE CEROS
                          N042.25.16.960 W122.35.04.360 N042.41.21.390 W122.43.42.670 ; CEROS CUTTR
    ; DREWS TRANSITION
                          N042.24.27.100 W122.43.21.120 N042.25.16.960 W122.35.04.360 ; BRUTE CEROS
                          N042.25.16.960 W122.35.04.360 N042.41.21.390 W122.43.42.670 ; CEROS CUTTR
                          N042.41.21.390 W122.43.42.670 N042.43.44.700 W122.53.22.720 ; CUTTR DREWS
    ; GRENA TRANSITION
                          N042.24.27.100 W122.43.21.120 N042.21.56.370 W122.36.44.910 ; BRUTE LANKS
                          N042.21.56.370 W122.36.44.910 N042.14.57.490 W122.46.53.180 ; LANKS JADUN
                          N042.14.57.490 W122.46.53.180 N042.11.17.980 W122.44.48.370 ; JADUN KLAMA
                          N042.11.17.980 W122.44.48.370 N041.43.31.310 W122.29.09.720 ; KLAMA GRENA
    ; HANDY TRANSITION
                          N042.24.27.100 W122.43.21.120 N042.21.56.370 W122.36.44.910 ; BRUTE LANKS
                          N042.21.56.370 W122.36.44.910 N042.14.57.490 W122.46.53.180 ; LANKS JADUN
                          N042.14.57.490 W122.46.53.180 N042.14.06.890 W122.50.28.070 ; JADUN HANDY
    ; LANKS TRANSITION
                          N042.24.27.100 W122.43.21.120 N042.21.56.370 W122.36.44.910 ; BRUTE LANKS
    ; MOURN TRANSITION
                          N042.24.27.100 W122.43.21.120 N042.25.16.960 W122.35.04.360 ; BRUTE CEROS
                          N042.25.16.960 W122.35.04.360 N042.41.21.390 W122.43.42.670 ; CEROS CUTTR
                          N042.41.21.390 W122.43.42.670 N042.43.44.700 W122.53.22.720 ; CUTTR DREWS
                          N042.43.44.700 W122.53.22.720 N042.43.38.550 W122.57.31.240 ; DREWS UZEHE
                          N042.43.38.550 W122.57.31.240 N042.45.37.470 W122.57.53.290 ; UZEHE BROKN
                          N042.45.37.470 W122.57.53.290 N042.59.29.930 W123.00.28.230 ; BROKN MOURN
    ; TALEM TRANSITION
                          N042.24.27.100 W122.43.21.120 N042.21.56.370 W122.36.44.910 ; BRUTE LANKS
                          N042.21.56.370 W122.36.44.910 N042.14.57.490 W122.46.53.180 ; LANKS JADUN
                          N042.14.57.490 W122.46.53.180 N042.14.06.890 W122.50.28.070 ; JADUN HANDY
                          N042.14.06.890 W122.50.28.070 N042.13.48.850 W122.53.12.560 ; HANDY LIPWO
                          N042.13.48.850 W122.53.12.560 N042.08.49.700 W122.52.41.500 ; LIPWO TALEM
    ; UZEHE TRANSITION
                          N042.24.27.100 W122.43.21.120 N042.25.16.960 W122.35.04.360 ; BRUTE CEROS
                          N042.25.16.960 W122.35.04.360 N042.41.21.390 W122.43.42.670 ; CEROS CUTTR
                          N042.41.21.390 W122.43.42.670 N042.43.44.700 W122.53.22.720 ; CUTTR DREWS
                          N042.43.44.700 W122.53.22.720 N042.43.38.550 W122.57.31.240 ; DREWS UZEHE


