- S46 LABELS              N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                                                    N046.57.41.890 W122.54.18.387 N046.57.41.859 W122.54.18.192
                          N046.57.41.894 W122.54.23.793 N046.57.41.932 W122.54.23.679
                          N046.57.41.927 W122.54.24.007 N046.57.41.894 W122.54.23.793
                          N046.57.41.932 W122.54.23.679 N046.57.42.197 W122.54.23.637
                          N046.57.41.997 W122.54.24.105 N046.57.41.927 W122.54.24.007
                          N046.57.41.999 W122.54.18.052 N046.57.42.048 W122.54.18.364
                          N046.57.42.001 W122.54.24.487 N046.57.42.039 W122.54.24.371
                          N046.57.42.018 W122.54.24.594 N046.57.42.001 W122.54.24.487
                          N046.57.42.039 W122.54.24.371 N046.57.42.083 W122.54.24.310
                          N046.57.42.048 W122.54.18.364 N046.57.41.657 W122.54.18.424
                          N046.57.42.083 W122.54.24.310 N046.57.42.190 W122.54.24.294
                          N046.57.42.090 W122.54.24.692 N046.57.42.018 W122.54.24.594
                          N046.57.42.151 W122.54.24.737 N046.57.42.090 W122.54.24.692
                          N046.57.42.190 W122.54.24.294 N046.57.42.253 W122.54.24.338
                          N046.57.42.197 W122.54.23.637 N046.57.42.213 W122.54.23.744
                          N046.57.42.211 W122.54.24.073 N046.57.42.477 W122.54.24.031
                          N046.57.42.213 W122.54.23.744 N046.57.42.248 W122.54.23.956
                          N046.57.42.248 W122.54.23.956 N046.57.42.211 W122.54.24.073
                          N046.57.42.253 W122.54.24.338 N046.57.42.323 W122.54.24.436
                          N046.57.42.323 W122.54.24.436 N046.57.42.339 W122.54.24.543
                          N046.57.42.339 W122.54.24.543 N046.57.42.519 W122.54.24.296
                          N046.57.42.477 W122.54.24.031 N046.57.42.411 W122.54.23.605
                          N046.57.42.519 W122.54.24.296 N046.57.42.570 W122.54.24.618
                          N046.57.43.918 W122.54.29.204 N046.57.44.324 W122.54.29.220
                          N046.57.43.944 W122.54.29.360 N046.57.44.347 W122.54.29.379
                          N046.57.44.298 W122.54.29.064 N046.57.43.918 W122.54.29.204
                          N046.57.44.324 W122.54.29.220 N046.57.43.944 W122.54.29.360
