SEA TEXT DIAGRAM          N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.25.48.341 W122.18.28.435 N047.25.48.748 W122.18.29.026
                          N047.25.48.692 W122.18.27.501 N047.25.49.730 W122.18.29.018
                          N047.25.48.748 W122.18.29.026 N047.25.48.357 W122.18.29.617
                          N047.25.49.682 W122.18.27.485 N047.25.50.720 W122.18.29.018
                          N047.25.49.730 W122.18.29.018 N047.25.48.716 W122.18.30.551
                          N047.25.50.664 W122.18.27.477 N047.25.51.711 W122.18.28.994
                          N047.25.50.720 W122.18.29.018 N047.25.49.698 W122.18.30.535
                          N047.25.51.239 W122.18.24.905 N047.25.55.184 W122.18.24.865
                          N047.25.51.271 W122.18.23.691 N047.25.51.271 W122.18.23.947
                          N047.25.51.271 W122.18.23.947 N047.25.51.295 W122.18.24.210
                          N047.25.51.295 W122.18.23.284 N047.25.51.271 W122.18.23.691
                          N047.25.51.295 W122.18.24.210 N047.25.51.351 W122.18.24.458
                          N047.25.51.351 W122.18.24.458 N047.25.51.391 W122.18.24.650
                          N047.25.51.391 W122.18.22.549 N047.25.51.295 W122.18.23.284
                          N047.25.51.391 W122.18.24.650 N047.25.51.455 W122.18.24.817
                          N047.25.51.455 W122.18.24.817 N047.25.51.551 W122.18.24.993
                          N047.25.51.479 W122.18.22.078 N047.25.51.391 W122.18.22.549
                          N047.25.51.551 W122.18.24.993 N047.25.52.230 W122.18.26.095
                          N047.25.51.575 W122.18.21.679 N047.25.51.479 W122.18.22.078
                          N047.25.51.647 W122.18.27.469 N047.25.52.230 W122.18.28.323
                          N047.25.51.671 W122.18.30.511 N047.25.52.246 W122.18.29.657
                          N047.25.51.695 W122.18.21.280 N047.25.51.575 W122.18.21.679
                          N047.25.51.711 W122.18.28.994 N047.25.50.688 W122.18.30.535
                          N047.25.51.878 W122.18.20.761 N047.25.51.695 W122.18.21.280
                          N047.25.52.094 W122.18.20.249 N047.25.51.878 W122.18.20.761
                          N047.25.52.230 W122.18.26.095 N047.25.52.230 W122.18.27.884
                          N047.25.52.238 W122.18.27.892 N047.27.49.677 W122.18.26.854
                          N047.25.52.246 W122.18.30.072 N047.25.52.238 W122.18.27.892
                          N047.25.52.405 W122.18.19.667 N047.25.52.094 W122.18.20.249
                          N047.25.52.685 W122.18.19.211 N047.25.52.405 W122.18.19.667
                          N047.25.52.932 W122.18.18.924 N047.25.52.685 W122.18.19.211
                          N047.25.53.108 W122.18.18.764 N047.25.52.932 W122.18.18.924
                          N047.25.53.284 W122.18.18.620 N047.25.53.108 W122.18.18.764
                          N047.25.53.348 W122.18.26.391 N047.25.53.436 W122.18.26.207
                          N047.25.53.348 W122.18.26.926 N047.25.53.348 W122.18.26.391
                          N047.25.53.436 W122.18.26.207 N047.25.53.795 W122.18.26.207
                          N047.25.53.491 W122.18.18.517 N047.25.53.284 W122.18.18.620
                          N047.25.53.691 W122.18.18.445 N047.25.53.491 W122.18.18.517
                          N047.25.53.795 W122.18.26.207 N047.25.53.891 W122.18.26.391
                          N047.25.53.891 W122.18.26.391 N047.25.53.979 W122.18.26.303
                          N047.25.53.891 W122.18.26.926 N047.25.53.891 W122.18.26.391
                          N047.25.53.915 W122.18.18.397 N047.25.53.691 W122.18.18.445
                          N047.25.53.979 W122.18.26.303 N047.25.54.154 W122.18.26.303
                          N047.25.54.074 W122.18.18.389 N047.25.53.915 W122.18.18.397
                          N047.25.54.154 W122.18.26.303 N047.25.54.250 W122.18.26.391
                          N047.25.54.250 W122.18.26.926 N047.25.53.348 W122.18.26.926
                          N047.25.54.250 W122.18.26.391 N047.25.54.250 W122.18.26.926
                          N047.25.54.322 W122.18.18.413 N047.25.54.074 W122.18.18.389
                          N047.25.54.530 W122.18.18.477 N047.25.54.322 W122.18.18.413
                          N047.25.54.729 W122.18.18.565 N047.25.54.530 W122.18.18.477
                          N047.25.54.953 W122.18.24.346 N047.25.54.961 W122.18.25.943
                          N047.25.54.961 W122.18.24.099 N047.25.54.953 W122.18.24.346
                          N047.25.54.961 W122.18.25.943 N047.25.54.969 W122.18.26.199
                          N047.25.54.969 W122.18.26.199 N047.25.54.993 W122.18.26.446
                          N047.25.54.993 W122.18.23.851 N047.25.54.961 W122.18.24.099
                          N047.25.54.993 W122.18.26.446 N047.25.54.993 W122.18.26.454
                          N047.25.54.993 W122.18.26.454 N047.25.55.033 W122.18.26.662
                          N047.25.55.033 W122.18.26.662 N047.25.55.097 W122.18.26.886
                          N047.25.55.049 W122.18.23.596 N047.25.54.993 W122.18.23.851
                          N047.25.55.097 W122.18.26.886 N047.25.55.192 W122.18.27.125
                          N047.25.55.137 W122.18.23.364 N047.25.55.049 W122.18.23.596
                          N047.25.55.192 W122.18.27.125 N047.25.55.272 W122.18.27.285
                          N047.25.55.272 W122.18.23.092 N047.25.55.137 W122.18.23.364
                          N047.25.55.272 W122.18.27.285 N047.25.55.424 W122.18.27.509
                          N047.25.55.392 W122.18.22.893 N047.25.55.272 W122.18.23.092
                          N047.25.55.424 W122.18.27.509 N047.25.55.576 W122.18.27.668
                          N047.25.55.576 W122.18.27.668 N047.25.55.831 W122.18.27.860
                          N047.25.55.664 W122.18.19.139 N047.25.54.729 W122.18.18.565
                          N047.25.55.871 W122.18.19.259 N047.25.55.664 W122.18.19.139
                          N047.25.55.927 W122.18.22.302 N047.25.55.392 W122.18.22.893
                          N047.25.56.031 W122.18.19.323 N047.25.55.871 W122.18.19.259
                          N047.25.56.143 W122.18.22.086 N047.25.55.927 W122.18.22.302
                          N047.25.56.207 W122.18.19.355 N047.25.56.031 W122.18.19.323
                          N047.25.56.374 W122.18.21.887 N047.25.56.143 W122.18.22.086
                          N047.25.56.638 W122.18.21.703 N047.25.56.374 W122.18.21.887
                          N047.25.56.957 W122.18.21.535 N047.25.56.638 W122.18.21.703
                          N047.25.57.189 W122.18.19.475 N047.25.56.207 W122.18.19.355
                          N047.25.57.604 W122.18.19.491 N047.25.57.189 W122.18.19.475
                          N047.25.57.852 W122.18.21.104 N047.25.56.957 W122.18.21.535
                          N047.25.58.107 W122.18.20.992 N047.25.57.852 W122.18.21.104
                          N047.25.58.259 W122.18.20.960 N047.25.58.107 W122.18.20.992
                          N047.25.58.538 W122.18.20.944 N047.25.58.259 W122.18.20.960
                          N047.25.58.770 W122.18.11.002 N047.25.58.778 W122.18.10.834
                          N047.25.58.778 W122.18.10.834 N047.25.58.802 W122.18.10.683
                          N047.25.58.778 W122.18.13.382 N047.25.58.778 W122.18.13.238
                          N047.25.58.778 W122.18.13.238 N047.25.58.794 W122.18.13.102
                          N047.25.58.786 W122.18.11.170 N047.25.58.770 W122.18.11.002
                          N047.25.58.794 W122.18.13.541 N047.25.58.778 W122.18.13.382
                          N047.25.58.794 W122.18.13.102 N047.25.58.826 W122.18.12.966
                          N047.25.58.802 W122.18.10.683 N047.25.58.850 W122.18.10.507
                          N047.25.58.826 W122.18.11.345 N047.25.58.786 W122.18.11.170
                          N047.25.58.826 W122.18.13.685 N047.25.58.794 W122.18.13.541
                          N047.25.58.826 W122.18.12.966 N047.25.58.866 W122.18.12.879
                          N047.25.58.850 W122.18.10.507 N047.25.58.906 W122.18.10.387
                          N047.25.58.858 W122.18.08.822 N047.25.58.866 W122.18.08.918
                          N047.25.58.858 W122.18.13.797 N047.25.58.826 W122.18.13.685
                          N047.25.58.866 W122.18.08.918 N047.25.58.882 W122.18.09.013
                          N047.25.58.866 W122.18.08.662 N047.25.58.858 W122.18.08.822
                          N047.25.58.866 W122.18.12.879 N047.25.58.914 W122.18.12.775
                          N047.25.58.882 W122.18.09.013 N047.25.58.914 W122.18.09.117
                          N047.25.58.882 W122.18.11.473 N047.25.58.826 W122.18.11.345
                          N047.25.58.890 W122.18.08.510 N047.25.58.866 W122.18.08.662
                          N047.25.58.906 W122.18.10.387 N047.25.58.986 W122.18.10.275
                          N047.25.58.914 W122.18.09.117 N047.25.58.954 W122.18.09.221
                          N047.25.58.914 W122.18.13.909 N047.25.58.858 W122.18.13.797
                          N047.25.58.914 W122.18.12.775 N047.25.58.970 W122.18.12.679
                          N047.25.58.938 W122.18.11.585 N047.25.58.882 W122.18.11.473
                          N047.25.58.946 W122.18.08.359 N047.25.58.890 W122.18.08.510
                          N047.25.58.954 W122.18.09.221 N047.25.58.994 W122.18.09.285
                          N047.25.58.970 W122.18.14.005 N047.25.58.914 W122.18.13.909
                          N047.25.58.970 W122.18.12.679 N047.25.59.034 W122.18.12.607
                          N047.25.58.986 W122.18.10.275 N047.25.59.066 W122.18.10.187
                          N047.25.58.994 W122.18.09.285 N047.25.59.050 W122.18.09.365
                          N047.25.59.002 W122.18.08.271 N047.25.58.946 W122.18.08.359
                          N047.25.59.010 W122.18.11.689 N047.25.58.938 W122.18.11.585
                          N047.25.59.034 W122.18.12.607 N047.25.59.113 W122.18.12.543
                          N047.25.59.050 W122.18.09.365 N047.25.59.121 W122.18.09.429
                          N047.25.59.050 W122.18.14.084 N047.25.58.970 W122.18.14.005
                          N047.25.59.066 W122.18.10.187 N047.25.59.177 W122.18.10.108
                          N047.25.59.074 W122.18.08.175 N047.25.59.002 W122.18.08.271
                          N047.25.59.097 W122.18.11.777 N047.25.59.010 W122.18.11.689
                          N047.25.59.113 W122.18.12.543 N047.25.59.193 W122.18.12.487
                          N047.25.59.121 W122.18.09.429 N047.25.59.177 W122.18.09.485
                          N047.25.59.121 W122.18.14.148 N047.25.59.050 W122.18.14.084
                          N047.25.59.129 W122.18.20.090 N047.25.59.217 W122.18.19.914
                          N047.25.59.129 W122.18.20.633 N047.25.59.129 W122.18.20.090
                          N047.25.59.145 W122.18.08.119 N047.25.59.074 W122.18.08.175
                          N047.25.59.169 W122.18.11.816 N047.25.59.097 W122.18.11.777
