(MVA map: LMT)            N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N041.09.19.628 W121.41.17.342 N041.09.44.248 W121.34.21.537
                          N041.09.22.363 W121.48.14.515 N041.09.19.628 W121.41.17.342
                          N041.09.44.248 W121.34.21.537 N041.10.34.856 W121.27.30.518
                          N041.09.52.454 W121.55.09.637 N041.09.22.363 W121.48.14.515
                          N041.10.34.856 W121.27.30.518 N041.11.52.819 W121.20.46.339
                          N041.10.48.533 W122.01.59.971 N041.09.52.454 W121.55.09.637
                          N041.11.52.819 W121.20.46.339 N041.13.36.087 W121.14.11.734
                          N041.12.11.284 W122.08.42.783 N041.10.48.533 W122.01.59.971
                          N041.13.36.087 W121.14.11.734 N041.15.44.658 W121.07.50.807
                          N041.13.59.339 W122.15.13.968 N041.12.11.284 W122.08.42.783
                          N041.15.44.658 W121.07.50.807 N041.17.44.339 W121.02.57.418
                          N041.15.44.658 W121.07.50.807 N041.23.46.801 W121.13.12.920
                          N041.16.12.697 W122.21.32.160 N041.13.59.339 W122.15.13.968
                          N041.17.44.339 W121.02.57.418 N041.20.35.311 W120.57.06.582
                          N041.18.49.992 W122.27.33.938 N041.16.12.697 W122.21.32.160
                          N041.18.49.992 W121.00.34.485 N041.21.12.242 W120.55.58.877
                          N041.21.12.242 W120.55.58.877 N041.24.29.886 W120.50.33.345
                          N041.21.50.539 W122.33.16.567 N041.18.49.992 W122.27.33.938
                          N041.23.46.801 W121.13.12.920 N041.37.48.670 W121.23.33.208
                          N041.24.29.886 W120.50.33.345 N041.28.07.363 W120.45.31.749
                          N041.25.11.603 W122.38.37.312 N041.21.50.539 W122.33.16.567
                          N041.27.18.123 W121.43.06.081 N041.27.31.117 W121.38.13.375
                          N041.27.23.594 W121.47.58.786 N041.27.18.123 W121.43.06.081
                          N041.27.31.117 W121.38.13.375 N041.28.03.260 W121.33.22.722
                          N041.27.48.214 W121.52.50.123 N041.27.23.594 W121.47.58.786
                          N041.28.03.260 W121.33.22.722 N041.28.54.552 W121.28.37.540
                          N041.28.07.363 W120.45.31.749 N041.32.03.989 W120.40.55.458
                          N041.28.31.983 W121.57.38.041 N041.27.48.214 W121.52.50.123
                          N041.28.42.925 W121.58.34.804 N041.28.31.983 W121.57.38.041
                          N041.28.53.184 W122.43.34.120 N041.25.11.603 W122.38.37.312
                          N041.28.54.552 W121.28.37.540 N041.30.03.625 W121.23.59.196
                          N041.30.03.625 W121.23.59.196 N041.37.02.849 W121.25.47.251
                          N041.32.03.989 W120.40.55.458 N041.36.17.029 W120.36.47.889
                          N041.32.53.229 W122.48.04.941 N041.28.53.184 W122.43.34.120
                          N041.33.54.096 W122.24.15.609 N041.33.54.096 W122.23.32.524
                          N041.33.54.096 W122.23.32.524 N041.34.15.980 W122.23.10.640
                          N041.33.54.096 W122.21.01.385 N041.33.54.096 W122.22.27.555
                          N041.33.54.096 W122.22.27.555 N041.34.15.980 W122.22.27.555
                          N041.34.05.722 W121.51.02.068 N041.34.16.664 W121.50.40.184
                          N041.34.05.722 W121.51.23.953 N041.34.05.722 W121.51.02.068
                          N041.34.15.980 W122.23.10.640 N041.34.37.865 W122.23.10.640
                          N041.34.15.980 W122.24.36.810 N041.33.54.096 W122.24.15.609
                          N041.34.15.980 W122.22.27.555 N041.35.10.008 W122.21.01.385
                          N041.34.16.664 W121.50.40.184 N041.34.37.865 W121.50.29.926
                          N041.34.16.664 W121.51.45.154 N041.34.05.722 W121.51.23.953
                          N041.34.16.664 W121.51.45.154 N041.34.16.664 W121.51.45.154
                          N041.34.37.865 W121.51.56.096 N041.34.16.664 W121.51.45.154
                          N041.34.37.865 W122.23.10.640 N041.34.59.065 W122.23.32.524
                          N041.34.37.865 W121.50.29.926 N041.35.21.634 W121.50.29.926
                          N041.34.37.865 W121.48.19.986 N041.34.37.865 W121.49.46.157
                          N041.34.37.865 W121.49.46.157 N041.35.53.777 W121.48.52.129
                          N041.34.59.065 W122.24.15.609 N041.34.37.865 W122.24.36.810
                          N041.34.59.065 W122.23.32.524 N041.34.59.065 W122.24.15.609
                          N041.35.10.008 W122.26.35.807 N041.35.42.150 W122.26.03.664
                          N041.35.10.008 W122.21.01.385 N041.35.31.892 W122.21.01.385
                          N041.35.20.950 W122.24.36.810 N041.34.15.980 W122.24.36.810
                          N041.35.21.634 W121.53.55.093 N041.35.53.777 W121.53.22.266
                          N041.35.21.634 W121.51.56.096 N041.34.37.865 W121.51.56.096
                          N041.35.21.634 W121.50.29.926 N041.35.42.834 W121.50.40.184
                          N041.35.31.892 W122.23.10.640 N041.35.42.150 W122.23.32.524
                          N041.35.31.892 W122.21.01.385 N041.35.42.150 W122.21.22.585
                          N041.35.42.150 W122.24.15.609 N041.35.20.950 W122.24.36.810
                          N041.35.42.150 W122.26.03.664 N041.33.54.096 W122.26.03.664
                          N041.35.42.150 W122.23.32.524 N041.35.42.150 W122.24.15.609
                          N041.35.42.150 W122.21.22.585 N041.35.42.150 W122.22.05.670
                          N041.35.42.150 W122.22.05.670 N041.35.31.892 W122.22.27.555
                          N041.35.42.834 W121.51.45.154 N041.35.21.634 W121.51.56.096
                          N041.35.42.834 W121.50.40.184 N041.35.53.777 W121.51.02.068
                          N041.35.53.777 W121.51.23.953 N041.35.42.834 W121.51.45.154
                          N041.35.53.777 W121.53.22.266 N041.34.05.722 W121.53.22.266
                          N041.35.53.777 W121.48.52.129 N041.34.05.722 W121.48.52.129
                          N041.35.53.777 W121.51.02.068 N041.35.53.777 W121.51.23.953
                          N041.36.17.029 W120.36.47.889 N041.40.45.798 W120.33.09.728
                          N041.37.02.849 W121.25.47.251 N041.37.48.670 W121.23.33.208
                          N041.37.09.688 W122.52.07.038 N041.32.53.229 W122.48.04.941
                          N041.37.48.670 W121.23.33.208 N041.42.18.807 W121.26.27.600
                          N041.39.18.260 W121.43.22.494 N041.39.27.150 W121.39.52.540
                          N041.39.21.679 W121.46.52.448 N041.39.18.260 W121.43.22.494
                          N041.39.27.150 W121.39.52.540 N041.39.50.403 W121.36.24.637
                          N041.39.39.460 W121.50.21.035 N041.39.21.679 W121.46.52.448
                          N041.39.50.403 W121.36.24.637 N041.40.26.649 W121.33.00.154
                          N041.40.10.919 W121.53.46.886 N041.39.39.460 W121.50.21.035
                          N041.40.26.649 W121.33.00.154 N041.41.16.573 W121.29.41.141
                          N041.40.45.798 W120.33.09.728 N041.45.26.877 W120.30.03.026
                          N041.40.54.688 W121.57.08.634 N041.28.42.925 W121.58.34.804
                          N041.40.54.688 W121.57.08.634 N041.40.10.919 W121.53.46.886
                          N041.41.16.573 W121.29.41.141 N041.42.18.807 W121.26.27.600
                          N041.41.24.096 W121.40.48.619 N041.45.00.205 W121.28.12.920
                          N041.41.24.096 W121.40.48.619 N041.48.17.849 W121.44.33.619
                          N041.41.41.193 W122.55.39.044 N041.37.09.688 W122.52.07.038
                          N041.41.52.135 W122.00.24.910 N041.40.54.688 W121.57.08.634
                          N041.42.01.710 W121.14.34.986 N041.18.49.992 W121.00.34.485
                          N041.42.01.710 W121.14.34.986 N041.44.02.074 W121.11.30.336
                          N041.42.36.588 W122.56.17.342 N041.41.41.193 W122.55.39.044
                          N041.43.01.892 W122.03.32.980 N041.41.52.135 W122.00.24.910
                          N041.44.02.074 W121.11.30.336 N041.46.14.749 W121.08.40.047
                          N041.44.23.275 W122.06.32.844 N041.43.01.892 W122.03.32.980
                          N041.45.00.205 W121.28.12.920 N041.42.18.807 W121.26.27.600
                          N041.45.26.877 W120.30.03.026 N041.50.19.582 W120.27.29.834
                          N041.45.37.135 W121.36.01.385 N041.45.59.020 W121.35.39.500
                          N041.45.37.135 W121.36.44.470 N041.45.37.135 W121.36.01.385
                          N041.45.56.284 W122.09.22.448 N041.44.23.275 W122.06.32.844
                          N041.45.59.020 W121.35.39.500 N041.46.09.962 W121.35.39.500
                          N041.45.59.020 W121.37.05.670 N041.45.37.135 W121.36.44.470
                          N041.46.09.962 W121.37.05.670 N041.45.59.020 W121.37.05.670
                          N041.46.09.962 W121.35.39.500 N041.46.31.163 W121.36.11.643
                          N041.46.09.962 W121.33.30.245 N041.46.09.962 W121.34.56.415
                          N041.46.09.962 W121.34.56.415 N041.47.25.190 W121.34.02.388
                          N041.46.14.749 W121.08.40.047 N041.48.36.998 W121.06.05.488
                          N041.46.31.163 W121.36.11.643 N041.46.31.163 W121.36.33.527
                          N041.46.31.163 W121.36.33.527 N041.46.09.962 W121.37.05.670
                          N041.46.31.163 W121.36.11.643 N041.46.53.047 W121.35.39.500
                          N041.46.53.047 W121.37.05.670 N041.46.31.163 W121.36.33.527
                          N041.46.53.047 W121.35.39.500 N041.47.03.305 W121.35.39.500
                          N041.47.03.305 W121.37.05.670 N041.46.53.047 W121.37.05.670
                          N041.47.03.305 W121.35.39.500 N041.47.25.190 W121.36.01.385
                          N041.47.23.138 W122.59.11.050 N041.42.36.588 W122.56.17.342
                          N041.47.25.190 W121.36.44.470 N041.47.03.305 W121.37.05.670
                          N041.47.25.190 W121.36.01.385 N041.47.25.190 W121.36.44.470
                          N041.47.25.190 W121.34.02.388 N041.45.37.135 W121.34.02.388
                          N041.47.39.552 W122.12.01.111 N041.45.56.284 W122.09.22.448
                          N041.48.17.849 W121.44.33.619 N041.41.24.096 W121.40.48.619
                          N041.48.17.849 W121.44.33.619 N041.48.17.849 W121.44.04.211
                          N041.48.17.849 W121.44.04.211 N041.48.22.637 W121.41.37.175
                          N041.48.22.637 W121.41.37.175 N041.48.36.998 W121.39.10.822
                          N041.48.24.688 W121.47.01.339 N041.48.17.849 W121.44.33.619
                          N041.48.36.998 W121.39.10.822 N041.49.00.251 W121.36.47.205
                          N041.48.36.998 W121.06.05.488 N041.51.08.822 W121.03.48.710
                          N041.48.40.418 W121.49.27.008 N041.48.24.688 W121.47.01.339
                          N041.49.00.251 W121.36.47.205 N041.49.33.077 W121.34.26.324
                          N041.49.06.406 W121.51.50.625 N041.48.40.418 W121.49.27.008
                          N041.49.32.394 W122.14.26.780 N041.47.39.552 W122.12.01.111
                          N041.49.33.077 W121.34.26.324 N041.50.14.795 W121.32.10.230
                          N041.49.40.600 W121.54.10.138 N041.49.06.406 W121.51.50.625
                          N041.50.14.795 W121.32.10.230 N041.51.05.403 W121.29.58.923
                          N041.50.19.582 W120.27.29.834 N041.55.21.178 W120.25.31.521
                          N041.50.24.369 W121.56.25.549 N041.49.40.600 W121.54.10.138
                          N041.51.05.403 W121.29.58.923 N041.52.04.217 W121.27.54.454
                          N041.51.08.822 W121.03.48.710 N041.53.49.536 W121.01.49.713
                          N041.51.16.345 W121.58.35.488 N041.50.24.369 W121.56.25.549
                          N041.51.34.810 W122.16.38.771 N041.49.32.394 W122.14.26.780
                          N041.52.04.217 W121.27.54.454 N041.53.11.239 W121.25.56.825
                          N041.52.17.211 W122.00.38.588 N041.51.16.345 W121.58.35.488
                          N041.52.19.263 W123.01.30.564 N041.47.23.138 W122.59.11.050
                          N041.53.11.239 W121.25.56.825 N041.54.25.099 W121.24.07.403
                          N041.53.24.916 W122.02.34.850 N041.52.17.211 W122.00.38.588
                          N041.53.45.433 W122.18.36.400 N041.51.34.810 W122.16.38.771
                          N041.53.49.536 W121.01.49.713 N041.56.36.406 W121.00.09.181
                          N041.54.25.099 W121.24.07.403 N041.55.45.798 W121.22.27.555
                          N041.54.40.828 W122.04.22.220 N041.53.24.916 W122.02.34.850
