SEA_HAWKZ                 N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.09.11.310 W121.43.39.102 N043.21.10.650 W122.00.15.300
                          N043.21.10.650 W122.00.15.300 N045.15.20.400 W122.28.00.370
                          N045.15.20.400 W122.28.00.370 N045.44.52.120 W122.35.29.532
                          N042.29.34.235 W120.30.25.576 N043.47.02.940 W121.18.13.830
                          N043.47.02.940 W121.18.13.830 N045.17.46.260 W122.17.11.930
                          N045.17.46.260 W122.17.11.930 N045.44.52.120 W122.35.29.532
                          N045.44.52.120 W122.35.29.532 N046.05.39.520 W122.40.38.890
                          N046.05.39.520 W122.40.38.890 N046.19.12.750 W122.43.19.940
                          N046.19.12.750 W122.43.19.940 N046.47.04.930 W122.44.20.290
                          N046.24.28.280 W125.04.18.520 N046.38.48.550 W123.43.20.600
                          N046.38.48.550 W123.43.20.600 N046.47.04.930 W122.44.20.290
                          N046.47.04.930 W122.44.20.290 N046.50.39.190 W122.40.06.620
                          N046.50.39.190 W122.40.06.620 N046.56.15.940 W122.33.43.270
                          N046.56.15.940 W122.33.43.270 N047.04.43.830 W122.30.01.570
                          N047.04.43.830 W122.30.01.570 N047.11.23.740 W122.28.48.460
                          N047.11.23.740 W122.28.48.460 N047.21.09.000 W122.27.19.000
                          N047.21.09.000 W122.27.19.000 N047.24.32.890 W122.27.19.140
                          N047.24.32.890 W122.27.19.140 N047.30.41.410 W122.27.19.320
                          N046.50.39.190 W122.40.06.620 N046.54.29.830 W122.34.48.930
                          N046.54.29.830 W122.34.48.930 N046.58.56.840 W122.28.06.600
                          N046.58.56.840 W122.28.06.600 N047.07.25.690 W122.20.56.300
