SEA_MARNR                 N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N049.04.38.350 W123.08.56.660 N048.37.52.470 W123.01.08.380
                          N048.37.52.470 W123.01.08.380 N048.02.19.920 W122.50.59.670
                          N048.10.18.000 W122.53.27.000 N048.02.19.920 W122.50.59.670
                          N048.13.54.190 W123.01.31.690 N048.02.19.920 W122.50.59.670
                          N048.43.37.345 W123.29.03.695 N048.20.39.540 W123.07.44.010
                          N048.20.39.540 W123.07.44.010 N048.02.19.920 W122.50.59.670
                          N048.17.59.637 W124.37.37.356 N048.07.14.000 W123.22.59.000
                          N048.07.14.000 W123.22.59.000 N048.02.19.920 W122.50.59.670
                          N048.02.19.920 W122.50.59.670 N047.59.06.000 W122.43.31.000
                          N047.59.06.000 W122.43.31.000 N047.55.25.820 W122.28.14.210
                          N047.55.25.820 W122.28.14.210 N047.46.09.020 W122.24.07.430
                          N048.02.19.920 W122.50.59.670 N047.55.29.990 W122.44.48.580
                          N047.55.29.990 W122.44.48.580 N047.43.17.780 W122.33.51.330
                          N047.43.17.780 W122.33.51.330 N047.34.30.200 W122.27.49.340
                          N047.34.30.200 W122.27.49.340 N047.28.07.900 W122.27.52.920
                          N047.28.07.900 W122.27.52.920 N047.21.29.060 W122.27.56.510
                          N047.21.29.060 W122.27.56.510 N047.17.59.170 W122.27.58.320
