PDX_HHOOD                 N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N045.49.19.000 W120.39.41.000 N045.42.11.170 W121.05.39.660
                          N045.42.11.170 W121.05.39.660 N045.36.39.080 W121.25.30.000
                          N045.36.39.080 W121.25.30.000 N045.31.46.120 W121.42.54.050
                          N045.31.02.650 W120.24.40.730 N045.31.36.910 W121.02.52.080
                          N045.31.36.910 W121.02.52.080 N045.31.43.560 W121.24.12.240
                          N045.31.43.560 W121.24.12.240 N045.31.46.120 W121.42.54.050
                          N045.10.00.700 W120.31.12.270 N045.23.02.630 W121.05.10.620
                          N045.23.02.630 W121.05.10.620 N045.25.43.220 W121.12.13.480
                          N045.25.43.220 W121.12.13.480 N045.28.13.680 W121.24.55.390
                          N045.28.13.680 W121.24.55.390 N045.31.46.120 W121.42.54.050
                          N045.31.46.120 W121.42.54.050 N045.32.17.380 W121.57.27.020
                          N045.32.17.380 W121.57.27.020 N045.32.33.990 W122.02.25.150
                          N045.32.17.380 W121.57.27.020 N045.37.00.230 W122.11.35.950
                          N045.32.17.380 W121.57.27.020 N045.36.13.850 W122.16.21.750
                          N045.36.13.850 W122.16.21.750 N045.37.23.350 W122.21.58.960
                          N045.37.23.350 W122.21.58.960 N045.38.35.030 W122.27.47.970
                          N045.38.35.030 W122.27.47.970 N045.41.32.020 W122.36.00.670
                          N045.41.32.020 W122.36.00.670 N045.42.40.880 W122.39.10.780
                          N045.42.40.880 W122.39.10.780 N045.46.04.320 W122.48.34.490
