PDX_TMBRS                 N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N042.50.54.150 W122.52.22.120 N043.24.04.370 W122.49.22.200
                          N043.24.04.370 W122.49.22.200 N044.08.58.290 W122.45.11.420
                          N041.31.29.730 W122.34.31.230 N042.09.53.120 W122.37.02.020
                          N042.09.53.120 W122.37.02.020 N042.51.02.230 W122.39.47.890
                          N042.51.02.230 W122.39.47.890 N043.24.01.390 W122.42.03.570
                          N043.24.01.390 W122.42.03.570 N044.08.58.290 W122.45.11.420
                          N042.55.05.170 W122.09.50.460 N043.26.29.620 W122.24.40.060
                          N043.26.29.620 W122.24.40.060 N044.08.58.290 W122.45.11.420
                          N043.00.20.850 W121.51.08.990 N043.29.57.280 W122.14.13.300
                          N043.29.57.280 W122.14.13.300 N044.08.58.290 W122.45.11.420
                          N044.08.58.290 W122.45.11.420 N044.35.03.570 W122.42.36.810
                          N044.25.45.060 W122.52.58.880 N044.35.03.570 W122.42.36.810
                          N044.35.03.570 W122.42.36.810 N044.48.01.330 W122.41.18.630
                          N044.48.01.330 W122.41.18.630 N044.57.59.960 W122.40.18.330
                          N044.57.59.960 W122.40.18.330 N045.14.57.200 W122.38.34.790
                          N045.14.57.200 W122.38.34.790 N045.20.33.010 W122.41.38.370
                          N045.20.33.010 W122.41.38.370 N045.24.56.000 W122.44.02.600
                          N045.24.56.000 W122.44.02.600 N045.31.48.130 W122.47.49.430
                          N045.31.48.130 W122.47.49.430 N045.34.39.310 W122.49.23.960
                          N045.34.39.310 W122.49.23.960 N045.37.24.820 W122.55.42.500
                          N045.14.57.200 W122.38.34.790 N045.23.45.540 W122.30.40.010
                          N045.23.45.540 W122.30.40.010 N045.26.36.330 W122.28.06.040
                          N045.26.36.330 W122.28.06.040 N045.24.39.050 W122.22.53.460
