((EUG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
    ; airports
    ; 6S2
                          N043.59.22.124 W124.06.40.930 N043.59.21.663 W124.06.34.427 RVM 
                          N043.59.21.663 W124.06.34.427 N043.59.20.298 W124.06.28.173 RVM 
                          N043.59.20.298 W124.06.28.173 N043.59.18.081 W124.06.22.410 RVM 
                          N043.59.18.081 W124.06.22.410 N043.59.15.098 W124.06.17.359 RVM 
                          N043.59.15.098 W124.06.17.359 N043.59.11.464 W124.06.13.214 RVM 
                          N043.59.11.464 W124.06.13.214 N043.59.07.317 W124.06.10.134 RVM 
                          N043.59.07.317 W124.06.10.134 N043.59.02.818 W124.06.08.238 RVM 
                          N043.59.02.818 W124.06.08.238 N043.58.58.139 W124.06.07.598 RVM 
                          N043.58.58.139 W124.06.07.598 N043.58.53.460 W124.06.08.239 RVM 
                          N043.58.53.460 W124.06.08.239 N043.58.48.961 W124.06.10.137 RVM 
                          N043.58.48.961 W124.06.10.137 N043.58.44.814 W124.06.13.217 RVM 
                          N043.58.44.814 W124.06.13.217 N043.58.41.180 W124.06.17.363 RVM 
                          N043.58.41.180 W124.06.17.363 N043.58.38.198 W124.06.22.414 RVM 
                          N043.58.38.198 W124.06.22.414 N043.58.35.982 W124.06.28.176 RVM 
                          N043.58.35.982 W124.06.28.176 N043.58.34.617 W124.06.34.428 RVM 
                          N043.58.34.617 W124.06.34.428 N043.58.34.156 W124.06.40.930 RVM 
                          N043.58.34.156 W124.06.40.930 N043.58.34.617 W124.06.47.432 RVM 
                          N043.58.34.617 W124.06.47.432 N043.58.35.982 W124.06.53.684 RVM 
                          N043.58.35.982 W124.06.53.684 N043.58.38.198 W124.06.59.446 RVM 
                          N043.58.38.198 W124.06.59.446 N043.58.41.180 W124.07.04.497 RVM 
                          N043.58.41.180 W124.07.04.497 N043.58.44.814 W124.07.08.643 RVM 
                          N043.58.44.814 W124.07.08.643 N043.58.48.961 W124.07.11.723 RVM 
                          N043.58.48.961 W124.07.11.723 N043.58.53.460 W124.07.13.621 RVM 
                          N043.58.53.460 W124.07.13.621 N043.58.58.139 W124.07.14.262 RVM 
                          N043.58.58.139 W124.07.14.262 N043.59.02.818 W124.07.13.622 RVM 
                          N043.59.02.818 W124.07.13.622 N043.59.07.317 W124.07.11.726 RVM 
                          N043.59.07.317 W124.07.11.726 N043.59.11.464 W124.07.08.646 RVM 
                          N043.59.11.464 W124.07.08.646 N043.59.15.098 W124.07.04.501 RVM 
                          N043.59.15.098 W124.07.04.501 N043.59.18.081 W124.06.59.450 RVM 
                          N043.59.18.081 W124.06.59.450 N043.59.20.298 W124.06.53.687 RVM 
                          N043.59.20.298 W124.06.53.687 N043.59.21.663 W124.06.47.433 RVM 
                          N043.59.21.663 W124.06.47.433 N043.59.22.124 W124.06.40.930 RVM 
                          N043.59.22.124 W124.06.40.930 N043.59.34.116 W124.06.40.930 RVM 
                          N043.58.58.139 W124.06.07.598 N043.58.58.137 W124.05.50.932 RVM 
                          N043.58.34.156 W124.06.40.930 N043.58.22.164 W124.06.40.930 RVM 
                          N043.58.58.139 W124.07.14.262 N043.58.58.137 W124.07.30.928 RVM 
    ; S12                                                      
                          N044.38.40.084 W123.03.34.000 N044.38.39.623 W123.03.27.424 RVM 
                          N044.38.39.623 W123.03.27.424 N044.38.38.258 W123.03.21.100 RVM 
                          N044.38.38.258 W123.03.21.100 N044.38.36.041 W123.03.15.272 RVM 
