((GEG-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
    ; 68S
                          N047.39.36.895 W118.10.06.309 N047.39.36.434 W118.09.59.362 RVM
                          N047.39.36.434 W118.09.59.362 N047.39.35.069 W118.09.52.682 RVM
                          N047.39.35.069 W118.09.52.682 N047.39.32.852 W118.09.46.526 RVM
                          N047.39.32.852 W118.09.46.526 N047.39.29.869 W118.09.41.130 RVM
                          N047.39.29.869 W118.09.41.130 N047.39.26.235 W118.09.36.703 RVM
                          N047.39.26.235 W118.09.36.703 N047.39.22.088 W118.09.33.413 RVM
                          N047.39.22.088 W118.09.33.413 N047.39.17.589 W118.09.31.387 RVM
                          N047.39.17.589 W118.09.31.387 N047.39.12.909 W118.09.30.704 RVM
                          N047.39.12.909 W118.09.30.704 N047.39.08.231 W118.09.31.389 RVM
                          N047.39.08.231 W118.09.31.389 N047.39.03.731 W118.09.33.416 RVM
                          N047.39.03.731 W118.09.33.416 N047.38.59.585 W118.09.36.707 RVM
                          N047.38.59.585 W118.09.36.707 N047.38.55.951 W118.09.41.135 RVM
                          N047.38.55.951 W118.09.41.135 N047.38.52.969 W118.09.46.530 RVM
                          N047.38.52.969 W118.09.46.530 N047.38.50.753 W118.09.52.685 RVM
                          N047.38.50.753 W118.09.52.685 N047.38.49.388 W118.09.59.364 RVM
                          N047.38.49.388 W118.09.59.364 N047.38.48.927 W118.10.06.309 RVM
                          N047.38.48.927 W118.10.06.309 N047.38.49.388 W118.10.13.254 RVM
                          N047.38.49.388 W118.10.13.254 N047.38.50.753 W118.10.19.933 RVM
                          N047.38.50.753 W118.10.19.933 N047.38.52.969 W118.10.26.088 RVM
                          N047.38.52.969 W118.10.26.088 N047.38.55.951 W118.10.31.483 RVM
                          N047.38.55.951 W118.10.31.483 N047.38.59.585 W118.10.35.911 RVM
                          N047.38.59.585 W118.10.35.911 N047.39.03.731 W118.10.39.202 RVM
                          N047.39.03.731 W118.10.39.202 N047.39.08.231 W118.10.41.229 RVM
                          N047.39.08.231 W118.10.41.229 N047.39.12.909 W118.10.41.914 RVM
                          N047.39.12.909 W118.10.41.914 N047.39.17.589 W118.10.41.231 RVM
                          N047.39.17.589 W118.10.41.231 N047.39.22.088 W118.10.39.205 RVM
                          N047.39.22.088 W118.10.39.205 N047.39.26.235 W118.10.35.915 RVM
                          N047.39.26.235 W118.10.35.915 N047.39.29.869 W118.10.31.488 RVM
                          N047.39.29.869 W118.10.31.488 N047.39.32.852 W118.10.26.092 RVM
                          N047.39.32.852 W118.10.26.092 N047.39.35.069 W118.10.19.936 RVM
                          N047.39.35.069 W118.10.19.936 N047.39.36.434 W118.10.13.256 RVM
                          N047.39.36.434 W118.10.13.256 N047.39.36.895 W118.10.06.309 RVM
                          N047.39.36.895 W118.10.06.309 N047.39.48.887 W118.10.06.309 RVM
                          N047.39.12.909 W118.09.30.704 N047.39.12.908 W118.09.12.902 RVM
                          N047.38.48.927 W118.10.06.309 N047.38.36.935 W118.10.06.309 RVM
                          N047.39.12.909 W118.10.41.914 N047.39.12.908 W118.10.59.716 RVM
    ; 1W0
                          N047.43.43.520 W118.56.34.047 N047.43.43.059 W118.56.27.091 RVM
                          N047.43.43.059 W118.56.27.091 N047.43.41.694 W118.56.20.402 RVM
                          N047.43.41.694 W118.56.20.402 N047.43.39.477 W118.56.14.238 RVM
                          N047.43.39.477 W118.56.14.238 N047.43.36.494 W118.56.08.835 RVM
                          N047.43.36.494 W118.56.08.835 N047.43.32.860 W118.56.04.402 RVM
                          N047.43.32.860 W118.56.04.402 N047.43.28.713 W118.56.01.108 RVM
                          N047.43.28.713 W118.56.01.108 N047.43.24.214 W118.55.59.080 RVM
                          N047.43.24.214 W118.55.59.080 N047.43.19.534 W118.55.58.395 RVM
                          N047.43.19.534 W118.55.58.395 N047.43.14.856 W118.55.59.081 RVM
                          N047.43.14.856 W118.55.59.081 N047.43.10.356 W118.56.01.111 RVM
                          N047.43.10.356 W118.56.01.111 N047.43.06.210 W118.56.04.406 RVM
                          N047.43.06.210 W118.56.04.406 N047.43.02.576 W118.56.08.840 RVM
                          N047.43.02.576 W118.56.08.840 N047.42.59.594 W118.56.14.242 RVM
                          N047.42.59.594 W118.56.14.242 N047.42.57.378 W118.56.20.405 RVM
                          N047.42.57.378 W118.56.20.405 N047.42.56.013 W118.56.27.093 RVM
                          N047.42.56.013 W118.56.27.093 N047.42.55.552 W118.56.34.047 RVM
                          N047.42.55.552 W118.56.34.047 N047.42.56.013 W118.56.41.001 RVM
                          N047.42.56.013 W118.56.41.001 N047.42.57.378 W118.56.47.689 RVM
                          N047.42.57.378 W118.56.47.689 N047.42.59.594 W118.56.53.852 RVM
                          N047.42.59.594 W118.56.53.852 N047.43.02.576 W118.56.59.254 RVM
                          N047.43.02.576 W118.56.59.254 N047.43.06.210 W118.57.03.688 RVM
                          N047.43.06.210 W118.57.03.688 N047.43.10.356 W118.57.06.983 RVM
                          N047.43.10.356 W118.57.06.983 N047.43.14.856 W118.57.09.013 RVM
                          N047.43.14.856 W118.57.09.013 N047.43.19.534 W118.57.09.699 RVM
                          N047.43.19.534 W118.57.09.699 N047.43.24.214 W118.57.09.014 RVM
                          N047.43.24.214 W118.57.09.014 N047.43.28.713 W118.57.06.986 RVM
                          N047.43.28.713 W118.57.06.986 N047.43.32.860 W118.57.03.692 RVM
                          N047.43.32.860 W118.57.03.692 N047.43.36.494 W118.56.59.259 RVM
                          N047.43.36.494 W118.56.59.259 N047.43.39.477 W118.56.53.856 RVM
                          N047.43.39.477 W118.56.53.856 N047.43.41.694 W118.56.47.692 RVM
                          N047.43.41.694 W118.56.47.692 N047.43.43.059 W118.56.41.003 RVM
                          N047.43.43.059 W118.56.41.003 N047.43.43.520 W118.56.34.047 RVM
                          N047.43.43.520 W118.56.34.047 N047.43.55.512 W118.56.34.047 RVM
                          N047.43.19.534 W118.55.58.395 N047.43.19.533 W118.55.40.570 RVM
                          N047.42.55.552 W118.56.34.047 N047.42.43.560 W118.56.34.047 RVM
                          N047.43.19.534 W118.57.09.699 N047.43.19.533 W118.57.27.524 RVM
    ; 0S0
                          N046.59.00.615 W118.35.14.032 N046.59.00.154 W118.35.07.173 RVM
                          N046.59.00.154 W118.35.07.173 N046.58.58.789 W118.35.00.578 RVM
                          N046.58.58.789 W118.35.00.578 N046.58.56.572 W118.34.54.501 RVM
                          N046.58.56.572 W118.34.54.501 N046.58.53.589 W118.34.49.174 RVM
                          N046.58.53.589 W118.34.49.174 N046.58.49.955 W118.34.44.802 RVM
                          N046.58.49.955 W118.34.44.802 N046.58.45.808 W118.34.41.554 RVM
                          N046.58.45.808 W118.34.41.554 N046.58.41.309 W118.34.39.555 RVM
                          N046.58.41.309 W118.34.39.555 N046.58.36.629 W118.34.38.880 RVM
                          N046.58.36.629 W118.34.38.880 N046.58.31.951 W118.34.39.557 RVM
                          N046.58.31.951 W118.34.39.557 N046.58.27.452 W118.34.41.558 RVM
                          N046.58.27.452 W118.34.41.558 N046.58.23.305 W118.34.44.806 RVM
                          N046.58.23.305 W118.34.44.806 N046.58.19.671 W118.34.49.178 RVM
                          N046.58.19.671 W118.34.49.178 N046.58.16.689 W118.34.54.505 RVM
                          N046.58.16.689 W118.34.54.505 N046.58.14.473 W118.35.00.582 RVM
                          N046.58.14.473 W118.35.00.582 N046.58.13.108 W118.35.07.175 RVM
                          N046.58.13.108 W118.35.07.175 N046.58.12.647 W118.35.14.032 RVM
                          N046.58.12.647 W118.35.14.032 N046.58.13.108 W118.35.20.889 RVM
                          N046.58.13.108 W118.35.20.889 N046.58.14.473 W118.35.27.482 RVM
                          N046.58.14.473 W118.35.27.482 N046.58.16.689 W118.35.33.559 RVM
                          N046.58.16.689 W118.35.33.559 N046.58.19.671 W118.35.38.886 RVM
                          N046.58.19.671 W118.35.38.886 N046.58.23.305 W118.35.43.258 RVM
                          N046.58.23.305 W118.35.43.258 N046.58.27.452 W118.35.46.506 RVM
                          N046.58.27.452 W118.35.46.506 N046.58.31.951 W118.35.48.507 RVM
                          N046.58.31.951 W118.35.48.507 N046.58.36.629 W118.35.49.184 RVM
                          N046.58.36.629 W118.35.49.184 N046.58.41.309 W118.35.48.509 RVM
