((LMT-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
    ; 64S
                          N042.44.59.443 W122.29.17.125 N042.44.58.982 W122.29.10.753 RVM
                          N042.44.58.982 W122.29.10.753 N042.44.57.617 W122.29.04.626 RVM
                          N042.44.57.617 W122.29.04.626 N042.44.55.400 W122.28.58.980 RVM
                          N042.44.55.400 W122.28.58.980 N042.44.52.417 W122.28.54.031 RVM
                          N042.44.52.417 W122.28.54.031 N042.44.48.783 W122.28.49.970 RVM
                          N042.44.48.783 W122.28.49.970 N042.44.44.636 W122.28.46.952 RVM
                          N042.44.44.636 W122.28.46.952 N042.44.40.137 W122.28.45.094 RVM
                          N042.44.40.137 W122.28.45.094 N042.44.35.458 W122.28.44.467 RVM
                          N042.44.35.458 W122.28.44.467 N042.44.30.779 W122.28.45.096 RVM
                          N042.44.30.779 W122.28.45.096 N042.44.26.280 W122.28.46.955 RVM
                          N042.44.26.280 W122.28.46.955 N042.44.22.133 W122.28.49.973 RVM
                          N042.44.22.133 W122.28.49.973 N042.44.18.499 W122.28.54.034 RVM
                          N042.44.18.499 W122.28.54.034 N042.44.15.517 W122.28.58.983 RVM
                          N042.44.15.517 W122.28.58.983 N042.44.13.301 W122.29.04.629 RVM
                          N042.44.13.301 W122.29.04.629 N042.44.11.936 W122.29.10.755 RVM
                          N042.44.11.936 W122.29.10.755 N042.44.11.475 W122.29.17.125 RVM
                          N042.44.11.475 W122.29.17.125 N042.44.11.936 W122.29.23.496 RVM
                          N042.44.11.936 W122.29.23.496 N042.44.13.301 W122.29.29.621 RVM
                          N042.44.13.301 W122.29.29.621 N042.44.15.517 W122.29.35.267 RVM
                          N042.44.15.517 W122.29.35.267 N042.44.18.499 W122.29.40.216 RVM
                          N042.44.18.499 W122.29.40.216 N042.44.22.133 W122.29.44.277 RVM
                          N042.44.22.133 W122.29.44.277 N042.44.26.280 W122.29.47.295 RVM
                          N042.44.26.280 W122.29.47.295 N042.44.30.779 W122.29.49.154 RVM
                          N042.44.30.779 W122.29.49.154 N042.44.35.458 W122.29.49.783 RVM
                          N042.44.35.458 W122.29.49.783 N042.44.40.137 W122.29.49.156 RVM
                          N042.44.40.137 W122.29.49.156 N042.44.44.636 W122.29.47.298 RVM
                          N042.44.44.636 W122.29.47.298 N042.44.48.783 W122.29.44.280 RVM
                          N042.44.48.783 W122.29.44.280 N042.44.52.417 W122.29.40.219 RVM
                          N042.44.52.417 W122.29.40.219 N042.44.55.400 W122.29.35.270 RVM
                          N042.44.55.400 W122.29.35.270 N042.44.57.617 W122.29.29.624 RVM
                          N042.44.57.617 W122.29.29.624 N042.44.58.982 W122.29.23.497 RVM
                          N042.44.58.982 W122.29.23.497 N042.44.59.443 W122.29.17.125 RVM
                          N042.44.58.320 W122.29.07.249 N042.45.09.750 W122.29.02.311 RVM
                          N042.44.28.206 W122.28.45.997 N042.44.24.578 W122.28.30.434 RVM
                          N042.44.12.598 W122.29.26.999 N042.44.01.167 W122.29.31.935 RVM
                          N042.44.42.710 W122.29.48.255 N042.44.46.334 W122.30.03.821 RVM
    ; S03
                          N042.11.49.005 W122.39.38.262 N042.11.48.544 W122.39.31.946 RVM
                          N042.11.48.544 W122.39.31.946 N042.11.47.179 W122.39.25.873 RVM
                          N042.11.47.179 W122.39.25.873 N042.11.44.962 W122.39.20.276 RVM
                          N042.11.44.962 W122.39.20.276 N042.11.41.979 W122.39.15.371 RVM
                          N042.11.41.979 W122.39.15.371 N042.11.38.345 W122.39.11.345 RVM
                          N042.11.38.345 W122.39.11.345 N042.11.34.198 W122.39.08.354 RVM
                          N042.11.34.198 W122.39.08.354 N042.11.29.699 W122.39.06.513 RVM
                          N042.11.29.699 W122.39.06.513 N042.11.25.020 W122.39.05.892 RVM
                          N042.11.25.020 W122.39.05.892 N042.11.20.341 W122.39.06.514 RVM
                          N042.11.20.341 W122.39.06.514 N042.11.15.842 W122.39.08.357 RVM
                          N042.11.15.842 W122.39.08.357 N042.11.11.695 W122.39.11.349 RVM
                          N042.11.11.695 W122.39.11.349 N042.11.08.061 W122.39.15.374 RVM
                          N042.11.08.061 W122.39.15.374 N042.11.05.079 W122.39.20.280 RVM
                          N042.11.05.079 W122.39.20.280 N042.11.02.863 W122.39.25.876 RVM
                          N042.11.02.863 W122.39.25.876 N042.11.01.498 W122.39.31.947 RVM
                          N042.11.01.498 W122.39.31.947 N042.11.01.037 W122.39.38.262 RVM
                          N042.11.01.037 W122.39.38.262 N042.11.01.498 W122.39.44.576 RVM
                          N042.11.01.498 W122.39.44.576 N042.11.02.863 W122.39.50.648 RVM
                          N042.11.02.863 W122.39.50.648 N042.11.05.079 W122.39.56.244 RVM
                          N042.11.05.079 W122.39.56.244 N042.11.08.061 W122.40.01.150 RVM
                          N042.11.08.061 W122.40.01.150 N042.11.11.695 W122.40.05.175 RVM
                          N042.11.11.695 W122.40.05.175 N042.11.15.842 W122.40.08.167 RVM
                          N042.11.15.842 W122.40.08.167 N042.11.20.341 W122.40.10.010 RVM
                          N042.11.20.341 W122.40.10.010 N042.11.25.020 W122.40.10.632 RVM
                          N042.11.25.020 W122.40.10.632 N042.11.29.699 W122.40.10.011 RVM
                          N042.11.29.699 W122.40.10.011 N042.11.34.198 W122.40.08.170 RVM
                          N042.11.34.198 W122.40.08.170 N042.11.38.345 W122.40.05.179 RVM
                          N042.11.38.345 W122.40.05.179 N042.11.41.979 W122.40.01.153 RVM
                          N042.11.41.979 W122.40.01.153 N042.11.44.962 W122.39.56.248 RVM
                          N042.11.44.962 W122.39.56.248 N042.11.47.179 W122.39.50.651 RVM
                          N042.11.47.179 W122.39.50.651 N042.11.48.544 W122.39.44.578 RVM
                          N042.11.48.544 W122.39.44.578 N042.11.49.005 W122.39.38.262 RVM
                          N042.11.47.882 W122.39.28.473 N042.11.59.312 W122.39.23.578 RVM
                          N042.11.17.768 W122.39.07.408 N042.11.14.140 W122.38.51.982 RVM
                          N042.11.02.160 W122.39.48.049 N042.10.50.729 W122.39.52.942 RVM
                          N042.11.32.272 W122.40.09.118 N042.11.35.896 W122.40.24.547 RVM
    ; KSIY
                          N041.47.17.174 W122.28.05.194 N041.47.16.713 W122.27.58.919 RVM
                          N041.47.16.713 W122.27.58.919 N041.47.15.348 W122.27.52.884 RVM
                          N041.47.15.348 W122.27.52.884 N041.47.13.131 W122.27.47.324 RVM
                          N041.47.13.131 W122.27.47.324 N041.47.10.148 W122.27.42.450 RVM
                          N041.47.10.148 W122.27.42.450 N041.47.06.514 W122.27.38.450 RVM
                          N041.47.06.514 W122.27.38.450 N041.47.02.367 W122.27.35.478 RVM
                          N041.47.02.367 W122.27.35.478 N041.46.57.868 W122.27.33.648 RVM
                          N041.46.57.868 W122.27.33.648 N041.46.53.189 W122.27.33.031 RVM
                          N041.46.53.189 W122.27.33.031 N041.46.48.510 W122.27.33.649 RVM
                          N041.46.48.510 W122.27.33.649 N041.46.44.011 W122.27.35.480 RVM
                          N041.46.44.011 W122.27.35.480 N041.46.39.864 W122.27.38.453 RVM
                          N041.46.39.864 W122.27.38.453 N041.46.36.230 W122.27.42.453 RVM
                          N041.46.36.230 W122.27.42.453 N041.46.33.248 W122.27.47.327 RVM
                          N041.46.33.248 W122.27.47.327 N041.46.31.032 W122.27.52.887 RVM
                          N041.46.31.032 W122.27.52.887 N041.46.29.667 W122.27.58.920 RVM
                          N041.46.29.667 W122.27.58.920 N041.46.29.206 W122.28.05.194 RVM
                          N041.46.29.206 W122.28.05.194 N041.46.29.667 W122.28.11.468 RVM
                          N041.46.29.667 W122.28.11.468 N041.46.31.032 W122.28.17.501 RVM
                          N041.46.31.032 W122.28.17.501 N041.46.33.248 W122.28.23.061 RVM
                          N041.46.33.248 W122.28.23.061 N041.46.36.230 W122.28.27.935 RVM
                          N041.46.36.230 W122.28.27.935 N041.46.39.864 W122.28.31.935 RVM
                          N041.46.39.864 W122.28.31.935 N041.46.44.011 W122.28.34.908 RVM
                          N041.46.44.011 W122.28.34.908 N041.46.48.510 W122.28.36.738 RVM
                          N041.46.48.510 W122.28.36.738 N041.46.53.189 W122.28.37.357 RVM
                          N041.46.53.189 W122.28.37.357 N041.46.57.868 W122.28.36.740 RVM
                          N041.46.57.868 W122.28.36.740 N041.47.02.367 W122.28.34.910 RVM
                          N041.47.02.367 W122.28.34.910 N041.47.06.514 W122.28.31.938 RVM
                          N041.47.06.514 W122.28.31.938 N041.47.10.148 W122.28.27.938 RVM
                          N041.47.10.148 W122.28.27.938 N041.47.13.131 W122.28.23.064 RVM
                          N041.47.13.131 W122.28.23.064 N041.47.15.348 W122.28.17.503 RVM
                          N041.47.15.348 W122.28.17.503 N041.47.16.713 W122.28.11.469 RVM
                          N041.47.16.713 W122.28.11.469 N041.47.17.174 W122.28.05.194 RVM
                          N041.47.16.051 W122.27.55.468 N041.47.27.481 W122.27.50.604 RVM
                          N041.46.45.937 W122.27.34.537 N041.46.42.309 W122.27.19.210 RVM
                          N041.46.30.329 W122.28.14.918 N041.46.18.898 W122.28.19.780 RVM
                          N041.47.00.441 W122.28.35.853 N041.47.04.065 W122.28.51.183 RVM
    ; S03
                          N042.11.49.005 W122.39.38.262 N042.11.48.544 W122.39.31.946 RVM
                          N042.11.48.544 W122.39.31.946 N042.11.47.179 W122.39.25.873 RVM
                          N042.11.47.179 W122.39.25.873 N042.11.44.962 W122.39.20.276 RVM
                          N042.11.44.962 W122.39.20.276 N042.11.41.979 W122.39.15.371 RVM
                          N042.11.41.979 W122.39.15.371 N042.11.38.345 W122.39.11.345 RVM
                          N042.11.38.345 W122.39.11.345 N042.11.34.198 W122.39.08.354 RVM
                          N042.11.34.198 W122.39.08.354 N042.11.29.699 W122.39.06.513 RVM
                          N042.11.29.699 W122.39.06.513 N042.11.25.020 W122.39.05.892 RVM
                          N042.11.25.020 W122.39.05.892 N042.11.20.341 W122.39.06.514 RVM
                          N042.11.20.341 W122.39.06.514 N042.11.15.842 W122.39.08.357 RVM
                          N042.11.15.842 W122.39.08.357 N042.11.11.695 W122.39.11.349 RVM
                          N042.11.11.695 W122.39.11.349 N042.11.08.061 W122.39.15.374 RVM
                          N042.11.08.061 W122.39.15.374 N042.11.05.079 W122.39.20.280 RVM
                          N042.11.05.079 W122.39.20.280 N042.11.02.863 W122.39.25.876 RVM
                          N042.11.02.863 W122.39.25.876 N042.11.01.498 W122.39.31.947 RVM
                          N042.11.01.498 W122.39.31.947 N042.11.01.037 W122.39.38.262 RVM
                          N042.11.01.037 W122.39.38.262 N042.11.01.498 W122.39.44.576 RVM
                          N042.11.01.498 W122.39.44.576 N042.11.02.863 W122.39.50.648 RVM
                          N042.11.02.863 W122.39.50.648 N042.11.05.079 W122.39.56.244 RVM
                          N042.11.05.079 W122.39.56.244 N042.11.08.061 W122.40.01.150 RVM
                          N042.11.08.061 W122.40.01.150 N042.11.11.695 W122.40.05.175 RVM
                          N042.11.11.695 W122.40.05.175 N042.11.15.842 W122.40.08.167 RVM
                          N042.11.15.842 W122.40.08.167 N042.11.20.341 W122.40.10.010 RVM
                          N042.11.20.341 W122.40.10.010 N042.11.25.020 W122.40.10.632 RVM
                          N042.11.25.020 W122.40.10.632 N042.11.29.699 W122.40.10.011 RVM
                          N042.11.29.699 W122.40.10.011 N042.11.34.198 W122.40.08.170 RVM
                          N042.11.34.198 W122.40.08.170 N042.11.38.345 W122.40.05.179 RVM
                          N042.11.38.345 W122.40.05.179 N042.11.41.979 W122.40.01.153 RVM
                          N042.11.41.979 W122.40.01.153 N042.11.44.962 W122.39.56.248 RVM
                          N042.11.44.962 W122.39.56.248 N042.11.47.179 W122.39.50.651 RVM
                          N042.11.47.179 W122.39.50.651 N042.11.48.544 W122.39.44.578 RVM
                          N042.11.48.544 W122.39.44.578 N042.11.49.005 W122.39.38.262 RVM
                          N042.11.47.882 W122.39.28.473 N042.11.59.312 W122.39.23.578 RVM
                          N042.11.17.768 W122.39.07.408 N042.11.14.140 W122.38.51.982 RVM
                          N042.11.02.160 W122.39.48.049 N042.10.50.729 W122.39.52.942 RVM
                          N042.11.32.272 W122.40.09.118 N042.11.35.896 W122.40.24.547 RVM
    ; 2S2
                          N043.08.08.452 W121.49.04.085 N043.08.07.991 W121.48.57.673 RVM
                          N043.08.07.991 W121.48.57.673 N043.08.06.626 W121.48.51.508 RVM
                          N043.08.06.626 W121.48.51.508 N043.08.04.409 W121.48.45.826 RVM
                          N043.08.04.409 W121.48.45.826 N043.08.01.426 W121.48.40.846 RVM
                          N043.08.01.426 W121.48.40.846 N043.07.57.792 W121.48.36.759 RVM
                          N043.07.57.792 W121.48.36.759 N043.07.53.645 W121.48.33.722 RVM
                          N043.07.53.645 W121.48.33.722 N043.07.49.146 W121.48.31.853 RVM
                          N043.07.49.146 W121.48.31.853 N043.07.44.467 W121.48.31.222 RVM
