((MFR-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
    ; 64S
                          N042.44.59.443 W122.29.17.125 N042.44.58.982 W122.29.10.753 RVM
                          N042.44.58.982 W122.29.10.753 N042.44.57.617 W122.29.04.626 RVM
                          N042.44.57.617 W122.29.04.626 N042.44.55.400 W122.28.58.980 RVM
                          N042.44.55.400 W122.28.58.980 N042.44.52.417 W122.28.54.031 RVM
                          N042.44.52.417 W122.28.54.031 N042.44.48.783 W122.28.49.970 RVM
                          N042.44.48.783 W122.28.49.970 N042.44.44.636 W122.28.46.952 RVM
                          N042.44.44.636 W122.28.46.952 N042.44.40.137 W122.28.45.094 RVM
                          N042.44.40.137 W122.28.45.094 N042.44.35.458 W122.28.44.467 RVM
                          N042.44.35.458 W122.28.44.467 N042.44.30.779 W122.28.45.096 RVM
                          N042.44.30.779 W122.28.45.096 N042.44.26.280 W122.28.46.955 RVM
                          N042.44.26.280 W122.28.46.955 N042.44.22.133 W122.28.49.973 RVM
                          N042.44.22.133 W122.28.49.973 N042.44.18.499 W122.28.54.034 RVM
                          N042.44.18.499 W122.28.54.034 N042.44.15.517 W122.28.58.983 RVM
                          N042.44.15.517 W122.28.58.983 N042.44.13.301 W122.29.04.629 RVM
                          N042.44.13.301 W122.29.04.629 N042.44.11.936 W122.29.10.755 RVM
                          N042.44.11.936 W122.29.10.755 N042.44.11.475 W122.29.17.125 RVM
                          N042.44.11.475 W122.29.17.125 N042.44.11.936 W122.29.23.496 RVM
                          N042.44.11.936 W122.29.23.496 N042.44.13.301 W122.29.29.621 RVM
                          N042.44.13.301 W122.29.29.621 N042.44.15.517 W122.29.35.267 RVM
                          N042.44.15.517 W122.29.35.267 N042.44.18.499 W122.29.40.216 RVM
                          N042.44.18.499 W122.29.40.216 N042.44.22.133 W122.29.44.277 RVM
                          N042.44.22.133 W122.29.44.277 N042.44.26.280 W122.29.47.295 RVM
                          N042.44.26.280 W122.29.47.295 N042.44.30.779 W122.29.49.154 RVM
                          N042.44.30.779 W122.29.49.154 N042.44.35.458 W122.29.49.783 RVM
                          N042.44.35.458 W122.29.49.783 N042.44.40.137 W122.29.49.156 RVM
                          N042.44.40.137 W122.29.49.156 N042.44.44.636 W122.29.47.298 RVM
                          N042.44.44.636 W122.29.47.298 N042.44.48.783 W122.29.44.280 RVM
                          N042.44.48.783 W122.29.44.280 N042.44.52.417 W122.29.40.219 RVM
                          N042.44.52.417 W122.29.40.219 N042.44.55.400 W122.29.35.270 RVM
                          N042.44.55.400 W122.29.35.270 N042.44.57.617 W122.29.29.624 RVM
                          N042.44.57.617 W122.29.29.624 N042.44.58.982 W122.29.23.497 RVM
                          N042.44.58.982 W122.29.23.497 N042.44.59.443 W122.29.17.125 RVM
                          N042.44.59.443 W122.29.17.125 N042.45.11.435 W122.29.17.125 RVM
                          N042.44.35.458 W122.28.44.467 N042.44.35.456 W122.28.28.139 RVM
                          N042.44.11.475 W122.29.17.125 N042.43.59.483 W122.29.17.125 RVM
                          N042.44.35.458 W122.29.49.783 N042.44.35.456 W122.30.06.111 RVM
    ; 3S8
                          N042.31.00.406 W123.23.16.762 N042.30.59.945 W123.23.10.414 RVM
                          N042.30.59.945 W123.23.10.414 N042.30.58.580 W123.23.04.310 RVM
                          N042.30.58.580 W123.23.04.310 N042.30.56.363 W123.22.58.685 RVM
                          N042.30.56.363 W123.22.58.685 N042.30.53.380 W123.22.53.754 RVM
                          N042.30.53.380 W123.22.53.754 N042.30.49.746 W123.22.49.708 RVM
                          N042.30.49.746 W123.22.49.708 N042.30.45.599 W123.22.46.702 RVM
                          N042.30.45.599 W123.22.46.702 N042.30.41.100 W123.22.44.851 RVM
                          N042.30.41.100 W123.22.44.851 N042.30.36.421 W123.22.44.226 RVM
                          N042.30.36.421 W123.22.44.226 N042.30.31.742 W123.22.44.852 RVM
                          N042.30.31.742 W123.22.44.852 N042.30.27.243 W123.22.46.704 RVM
                          N042.30.27.243 W123.22.46.704 N042.30.23.096 W123.22.49.711 RVM
                          N042.30.23.096 W123.22.49.711 N042.30.19.462 W123.22.53.758 RVM
                          N042.30.19.462 W123.22.53.758 N042.30.16.480 W123.22.58.688 RVM
                          N042.30.16.480 W123.22.58.688 N042.30.14.264 W123.23.04.312 RVM
                          N042.30.14.264 W123.23.04.312 N042.30.12.899 W123.23.10.415 RVM
                          N042.30.12.899 W123.23.10.415 N042.30.12.438 W123.23.16.762 RVM
                          N042.30.12.438 W123.23.16.762 N042.30.12.899 W123.23.23.109 RVM
                          N042.30.12.899 W123.23.23.109 N042.30.14.264 W123.23.29.212 RVM
                          N042.30.14.264 W123.23.29.212 N042.30.16.480 W123.23.34.836 RVM
                          N042.30.16.480 W123.23.34.836 N042.30.19.462 W123.23.39.766 RVM
                          N042.30.19.462 W123.23.39.766 N042.30.23.096 W123.23.43.813 RVM
                          N042.30.23.096 W123.23.43.813 N042.30.27.243 W123.23.46.820 RVM
                          N042.30.27.243 W123.23.46.820 N042.30.31.742 W123.23.48.672 RVM
                          N042.30.31.742 W123.23.48.672 N042.30.36.421 W123.23.49.297 RVM
                          N042.30.36.421 W123.23.49.297 N042.30.41.100 W123.23.48.673 RVM
                          N042.30.41.100 W123.23.48.673 N042.30.45.599 W123.23.46.822 RVM
                          N042.30.45.599 W123.23.46.822 N042.30.49.746 W123.23.43.816 RVM
                          N042.30.49.746 W123.23.43.816 N042.30.53.380 W123.23.39.770 RVM
                          N042.30.53.380 W123.23.39.770 N042.30.56.363 W123.23.34.839 RVM
                          N042.30.56.363 W123.23.34.839 N042.30.58.580 W123.23.29.214 RVM
                          N042.30.58.580 W123.23.29.214 N042.30.59.945 W123.23.23.110 RVM
                          N042.30.59.945 W123.23.23.110 N042.31.00.406 W123.23.16.762 RVM
                          N042.31.00.406 W123.23.16.762 N042.31.12.398 W123.23.16.762 RVM
                          N042.30.36.421 W123.22.44.226 N042.30.36.419 W123.22.27.959 RVM
                          N042.30.12.438 W123.23.16.762 N042.30.00.446 W123.23.16.762 RVM
                          N042.30.36.421 W123.23.49.297 N042.30.36.419 W123.24.05.565 RVM
    ; S03
                          N042.11.49.005 W122.39.38.262 N042.11.48.544 W122.39.31.946 RVM
                          N042.11.48.544 W122.39.31.946 N042.11.47.179 W122.39.25.873 RVM
                          N042.11.47.179 W122.39.25.873 N042.11.44.962 W122.39.20.276 RVM
                          N042.11.44.962 W122.39.20.276 N042.11.41.979 W122.39.15.371 RVM
                          N042.11.41.979 W122.39.15.371 N042.11.38.345 W122.39.11.345 RVM
                          N042.11.38.345 W122.39.11.345 N042.11.34.198 W122.39.08.354 RVM
                          N042.11.34.198 W122.39.08.354 N042.11.29.699 W122.39.06.513 RVM
                          N042.11.29.699 W122.39.06.513 N042.11.25.020 W122.39.05.892 RVM
                          N042.11.25.020 W122.39.05.892 N042.11.20.341 W122.39.06.514 RVM
                          N042.11.20.341 W122.39.06.514 N042.11.15.842 W122.39.08.357 RVM
                          N042.11.15.842 W122.39.08.357 N042.11.11.695 W122.39.11.349 RVM
                          N042.11.11.695 W122.39.11.349 N042.11.08.061 W122.39.15.374 RVM
                          N042.11.08.061 W122.39.15.374 N042.11.05.079 W122.39.20.280 RVM
                          N042.11.05.079 W122.39.20.280 N042.11.02.863 W122.39.25.876 RVM
                          N042.11.02.863 W122.39.25.876 N042.11.01.498 W122.39.31.947 RVM
                          N042.11.01.498 W122.39.31.947 N042.11.01.037 W122.39.38.262 RVM
                          N042.11.01.037 W122.39.38.262 N042.11.01.498 W122.39.44.576 RVM
                          N042.11.01.498 W122.39.44.576 N042.11.02.863 W122.39.50.648 RVM
                          N042.11.02.863 W122.39.50.648 N042.11.05.079 W122.39.56.244 RVM
                          N042.11.05.079 W122.39.56.244 N042.11.08.061 W122.40.01.150 RVM
                          N042.11.08.061 W122.40.01.150 N042.11.11.695 W122.40.05.175 RVM
                          N042.11.11.695 W122.40.05.175 N042.11.15.842 W122.40.08.167 RVM
                          N042.11.15.842 W122.40.08.167 N042.11.20.341 W122.40.10.010 RVM
                          N042.11.20.341 W122.40.10.010 N042.11.25.020 W122.40.10.632 RVM
                          N042.11.25.020 W122.40.10.632 N042.11.29.699 W122.40.10.011 RVM
                          N042.11.29.699 W122.40.10.011 N042.11.34.198 W122.40.08.170 RVM
                          N042.11.34.198 W122.40.08.170 N042.11.38.345 W122.40.05.179 RVM
                          N042.11.38.345 W122.40.05.179 N042.11.41.979 W122.40.01.153 RVM
                          N042.11.41.979 W122.40.01.153 N042.11.44.962 W122.39.56.248 RVM
                          N042.11.44.962 W122.39.56.248 N042.11.47.179 W122.39.50.651 RVM
                          N042.11.47.179 W122.39.50.651 N042.11.48.544 W122.39.44.578 RVM
                          N042.11.48.544 W122.39.44.578 N042.11.49.005 W122.39.38.262 RVM
                          N042.11.49.005 W122.39.38.262 N042.12.00.997 W122.39.38.262 RVM
                          N042.11.25.020 W122.39.05.892 N042.11.25.018 W122.38.49.706 RVM
                          N042.11.01.037 W122.39.38.262 N042.10.49.045 W122.39.38.262 RVM
                          N042.11.25.020 W122.40.10.632 N042.11.25.018 W122.40.26.818 RVM
                          N042.23.10.380 W122.52.45.068 N042.21.49.355 W122.52.02.610 RVM
                          N042.21.49.355 W122.52.02.610 N042.23.10.380 W122.52.45.068 RVM
    ; KMFR 14 centerline
                          N042.24.06.296 W122.53.14.375 N042.25.02.210 W122.53.43.698 RVM
                          N042.25.58.123 W122.54.13.035 N042.26.54.033 W122.54.42.386 RVM
                          N042.27.49.941 W122.55.11.752 N042.28.45.847 W122.55.41.133 RVM
                          N042.29.41.751 W122.56.10.528 N042.30.37.653 W122.56.39.938 RVM
                          N042.31.33.553 W122.57.09.362 N042.32.29.451 W122.57.38.801 RVM
                          N042.33.25.346 W122.58.08.255 N042.34.21.240 W122.58.37.724 RVM
                          N042.35.17.131 W122.59.07.207 N042.36.13.021 W122.59.36.704 RVM
                          N042.37.08.908 W123.00.06.217 N042.38.04.793 W123.00.35.744 RVM
                          N042.39.00.676 W123.01.05.286 N042.39.56.557 W123.01.34.842 RVM
                          N042.40.52.436 W123.02.04.414 N042.41.48.312 W123.02.34.000 RVM
    ; KMFR 14 center cross at SAMIE
                          N042.38.33.589 W123.01.41.692 N042.38.58.694 W123.00.13.507 RVM
    ; KMFR 14 center cross at FISTA
                          N042.35.46.920 W123.00.13.611 N042.36.12.025 W122.58.45.492 RVM
    ; KMFR 14 center cross at AMASE
                          N042.32.29.445 W122.58.29.431 N042.32.54.549 W122.57.01.389 RVM
    ; KMFR 14 center cross at OSSAJ
                          N042.30.25.305 W122.57.24.041 N042.30.50.410 W122.55.56.048 RVM
                          N042.26.52.880 W122.55.25.337 N042.26.56.599 W122.55.22.810 RVM
                          N042.26.56.599 W122.55.22.810 N042.27.00.117 W122.55.19.800 RVM
                          N042.27.00.117 W122.55.19.800 N042.27.03.400 W122.55.16.338 RVM
                          N042.27.03.400 W122.55.16.338 N042.27.06.416 W122.55.12.456 RVM
                          N042.27.06.416 W122.55.12.456 N042.27.09.138 W122.55.08.193 RVM
                          N042.27.09.138 W122.55.08.193 N042.27.11.538 W122.55.03.588 RVM
                          N042.27.11.538 W122.55.03.588 N042.27.13.593 W122.54.58.686 RVM
                          N042.27.13.593 W122.54.58.686 N042.27.15.284 W122.54.53.534 RVM
                          N042.27.15.284 W122.54.53.534 N042.27.16.594 W122.54.48.183 RVM
                          N042.27.16.594 W122.54.48.183 N042.27.17.511 W122.54.42.684 RVM
                          N042.27.17.511 W122.54.42.684 N042.27.18.026 W122.54.37.089 RVM
                          N042.27.18.026 W122.54.37.089 N042.27.18.133 W122.54.31.453 RVM
                          N042.27.18.133 W122.54.31.453 N042.27.17.832 W122.54.25.829 RVM
                          N042.27.17.832 W122.54.25.829 N042.27.17.126 W122.54.20.273 RVM
                          N042.27.17.126 W122.54.20.273 N042.27.16.022 W122.54.14.837 RVM
                          N042.27.16.022 W122.54.14.837 N042.27.14.529 W122.54.09.574 RVM
                          N042.27.14.536 W122.54.09.595 N042.27.10.818 W122.54.12.124 RVM
                          N042.27.10.818 W122.54.12.124 N042.27.07.301 W122.54.15.135 RVM
                          N042.27.07.301 W122.54.15.135 N042.27.04.018 W122.54.18.598 RVM
                          N042.27.04.018 W122.54.18.598 N042.27.01.002 W122.54.22.480 RVM
                          N042.27.01.002 W122.54.22.480 N042.26.58.281 W122.54.26.745 RVM
                          N042.26.58.281 W122.54.26.745 N042.26.55.881 W122.54.31.350 RVM
                          N042.26.55.881 W122.54.31.350 N042.26.53.826 W122.54.36.251 RVM
                          N042.26.53.826 W122.54.36.251 N042.26.52.136 W122.54.41.402 RVM
                          N042.26.52.136 W122.54.41.402 N042.26.50.826 W122.54.46.753 RVM
                          N042.26.50.826 W122.54.46.753 N042.26.49.909 W122.54.52.252 RVM
                          N042.26.49.909 W122.54.52.252 N042.26.49.394 W122.54.57.846 RVM
