((MWH-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
    ; 80T
                          N047.13.05.784 W119.50.23.400 N047.13.05.323 W119.50.16.511 RVM
                          N047.13.05.323 W119.50.16.511 N047.13.03.958 W119.50.09.887 RVM
                          N047.13.03.958 W119.50.09.887 N047.13.01.741 W119.50.03.782 RVM
                          N047.13.01.741 W119.50.03.782 N047.12.58.758 W119.49.58.432 RVM
                          N047.12.58.758 W119.49.58.432 N047.12.55.124 W119.49.54.041 RVM
                          N047.12.55.124 W119.49.54.041 N047.12.50.977 W119.49.50.779 RVM
                          N047.12.50.977 W119.49.50.779 N047.12.46.478 W119.49.48.771 RVM
                          N047.12.46.478 W119.49.48.771 N047.12.41.798 W119.49.48.093 RVM
                          N047.12.41.798 W119.49.48.093 N047.12.37.120 W119.49.48.772 RVM
                          N047.12.37.120 W119.49.48.772 N047.12.32.621 W119.49.50.782 RVM
                          N047.12.32.621 W119.49.50.782 N047.12.28.474 W119.49.54.045 RVM
                          N047.12.28.474 W119.49.54.045 N047.12.24.840 W119.49.58.436 RVM
                          N047.12.24.840 W119.49.58.436 N047.12.21.858 W119.50.03.787 RVM
                          N047.12.21.858 W119.50.03.787 N047.12.19.642 W119.50.09.890 RVM
                          N047.12.19.642 W119.50.09.890 N047.12.18.277 W119.50.16.513 RVM
                          N047.12.18.277 W119.50.16.513 N047.12.17.816 W119.50.23.400 RVM
                          N047.12.17.816 W119.50.23.400 N047.12.18.277 W119.50.30.287 RVM
                          N047.12.18.277 W119.50.30.287 N047.12.19.642 W119.50.36.910 RVM
                          N047.12.19.642 W119.50.36.910 N047.12.21.858 W119.50.43.013 RVM
                          N047.12.21.858 W119.50.43.013 N047.12.24.840 W119.50.48.364 RVM
                          N047.12.24.840 W119.50.48.364 N047.12.28.474 W119.50.52.755 RVM
                          N047.12.28.474 W119.50.52.755 N047.12.32.621 W119.50.56.018 RVM
                          N047.12.32.621 W119.50.56.018 N047.12.37.120 W119.50.58.028 RVM
                          N047.12.37.120 W119.50.58.028 N047.12.41.798 W119.50.58.707 RVM
                          N047.12.41.798 W119.50.58.707 N047.12.46.478 W119.50.58.029 RVM
                          N047.12.46.478 W119.50.58.029 N047.12.50.977 W119.50.56.021 RVM
                          N047.12.50.977 W119.50.56.021 N047.12.55.124 W119.50.52.759 RVM
                          N047.12.55.124 W119.50.52.759 N047.12.58.758 W119.50.48.368 RVM
                          N047.12.58.758 W119.50.48.368 N047.13.01.741 W119.50.43.018 RVM
                          N047.13.01.741 W119.50.43.018 N047.13.03.958 W119.50.36.913 RVM
                          N047.13.03.958 W119.50.36.913 N047.13.05.323 W119.50.30.289 RVM
                          N047.13.05.323 W119.50.30.289 N047.13.05.784 W119.50.23.400 RVM
                          N047.13.05.784 W119.50.23.400 N047.13.17.776 W119.50.23.400 RVM
                          N047.12.41.798 W119.49.48.093 N047.12.41.797 W119.49.30.439 RVM
                          N047.12.17.816 W119.50.23.400 N047.12.05.824 W119.50.23.400 RVM
                          N047.12.41.798 W119.50.58.707 N047.12.41.797 W119.51.16.361 RVM
    ; 2S4
                          N046.58.20.919 W119.03.58.794 N046.58.20.458 W119.03.51.937 RVM
                          N046.58.20.458 W119.03.51.937 N046.58.19.093 W119.03.45.343 RVM
                          N046.58.19.093 W119.03.45.343 N046.58.16.876 W119.03.39.267 RVM
                          N046.58.16.876 W119.03.39.267 N046.58.13.893 W119.03.33.941 RVM
                          N046.58.13.893 W119.03.33.941 N046.58.10.258 W119.03.29.571 RVM
                          N046.58.10.258 W119.03.29.571 N046.58.06.112 W119.03.26.323 RVM
                          N046.58.06.112 W119.03.26.323 N046.58.01.612 W119.03.24.324 RVM
                          N046.58.01.612 W119.03.24.324 N046.57.56.933 W119.03.23.650 RVM
                          N046.57.56.933 W119.03.23.650 N046.57.52.254 W119.03.24.326 RVM
                          N046.57.52.254 W119.03.24.326 N046.57.47.755 W119.03.26.326 RVM
                          N046.57.47.755 W119.03.26.326 N046.57.43.609 W119.03.29.575 RVM
                          N046.57.43.609 W119.03.29.575 N046.57.39.975 W119.03.33.945 RVM
                          N046.57.39.975 W119.03.33.945 N046.57.36.993 W119.03.39.271 RVM
                          N046.57.36.993 W119.03.39.271 N046.57.34.776 W119.03.45.347 RVM
                          N046.57.34.776 W119.03.45.347 N046.57.33.412 W119.03.51.939 RVM
                          N046.57.33.412 W119.03.51.939 N046.57.32.951 W119.03.58.794 RVM
                          N046.57.32.951 W119.03.58.794 N046.57.33.412 W119.04.05.650 RVM
                          N046.57.33.412 W119.04.05.650 N046.57.34.776 W119.04.12.242 RVM
                          N046.57.34.776 W119.04.12.242 N046.57.36.993 W119.04.18.317 RVM
                          N046.57.36.993 W119.04.18.317 N046.57.39.975 W119.04.23.643 RVM
                          N046.57.39.975 W119.04.23.643 N046.57.43.609 W119.04.28.014 RVM
                          N046.57.43.609 W119.04.28.014 N046.57.47.755 W119.04.31.262 RVM
                          N046.57.47.755 W119.04.31.262 N046.57.52.254 W119.04.33.263 RVM
                          N046.57.52.254 W119.04.33.263 N046.57.56.933 W119.04.33.939 RVM
                          N046.57.56.933 W119.04.33.939 N046.58.01.612 W119.04.33.264 RVM
                          N046.58.01.612 W119.04.33.264 N046.58.06.112 W119.04.31.265 RVM
                          N046.58.06.112 W119.04.31.265 N046.58.10.258 W119.04.28.018 RVM
                          N046.58.10.258 W119.04.28.018 N046.58.13.893 W119.04.23.647 RVM
                          N046.58.13.893 W119.04.23.647 N046.58.16.876 W119.04.18.321 RVM
                          N046.58.16.876 W119.04.18.321 N046.58.19.093 W119.04.12.245 RVM
                          N046.58.19.093 W119.04.12.245 N046.58.20.458 W119.04.05.651 RVM
                          N046.58.20.458 W119.04.05.651 N046.58.20.919 W119.03.58.794 RVM
                          N046.58.20.919 W119.03.58.794 N046.58.32.910 W119.03.58.794 RVM
                          N046.57.56.933 W119.03.23.650 N046.57.56.931 W119.03.06.077 RVM
                          N046.57.32.951 W119.03.58.794 N046.57.20.959 W119.03.58.794 RVM
                          N046.57.56.933 W119.04.33.939 N046.57.56.931 W119.04.51.511 RVM
    ; S70
                          N046.48.05.485 W119.04.45.187 N046.48.05.024 W119.04.38.352 RVM
                          N046.48.05.024 W119.04.38.352 N046.48.03.659 W119.04.31.780 RVM
                          N046.48.03.659 W119.04.31.780 N046.48.01.443 W119.04.25.722 RVM
                          N046.48.01.443 W119.04.25.722 N046.47.58.460 W119.04.20.413 RVM
                          N046.47.58.460 W119.04.20.413 N046.47.54.825 W119.04.16.057 RVM
                          N046.47.54.825 W119.04.16.057 N046.47.50.678 W119.04.12.820 RVM
                          N046.47.50.678 W119.04.12.820 N046.47.46.179 W119.04.10.827 RVM
                          N046.47.46.179 W119.04.10.827 N046.47.41.500 W119.04.10.155 RVM
                          N046.47.41.500 W119.04.10.155 N046.47.36.821 W119.04.10.829 RVM
                          N046.47.36.821 W119.04.10.829 N046.47.32.322 W119.04.12.823 RVM
                          N046.47.32.322 W119.04.12.823 N046.47.28.176 W119.04.16.061 RVM
                          N046.47.28.176 W119.04.16.061 N046.47.24.542 W119.04.20.418 RVM
                          N046.47.24.542 W119.04.20.418 N046.47.21.559 W119.04.25.726 RVM
                          N046.47.21.559 W119.04.25.726 N046.47.19.343 W119.04.31.783 RVM
                          N046.47.19.343 W119.04.31.783 N046.47.17.978 W119.04.38.354 RVM
                          N046.47.17.978 W119.04.38.354 N046.47.17.518 W119.04.45.187 RVM
                          N046.47.17.518 W119.04.45.187 N046.47.17.978 W119.04.52.021 RVM
                          N046.47.17.978 W119.04.52.021 N046.47.19.343 W119.04.58.592 RVM
                          N046.47.19.343 W119.04.58.592 N046.47.21.559 W119.05.04.649 RVM
                          N046.47.21.559 W119.05.04.649 N046.47.24.542 W119.05.09.957 RVM
                          N046.47.24.542 W119.05.09.957 N046.47.28.176 W119.05.14.314 RVM
                          N046.47.28.176 W119.05.14.314 N046.47.32.322 W119.05.17.552 RVM
                          N046.47.32.322 W119.05.17.552 N046.47.36.821 W119.05.19.546 RVM
                          N046.47.36.821 W119.05.19.546 N046.47.41.500 W119.05.20.220 RVM
                          N046.47.41.500 W119.05.20.220 N046.47.46.179 W119.05.19.548 RVM
                          N046.47.46.179 W119.05.19.548 N046.47.50.678 W119.05.17.555 RVM
                          N046.47.50.678 W119.05.17.555 N046.47.54.825 W119.05.14.318 RVM
                          N046.47.54.825 W119.05.14.318 N046.47.58.460 W119.05.09.962 RVM
                          N046.47.58.460 W119.05.09.962 N046.48.01.443 W119.05.04.653 RVM
                          N046.48.01.443 W119.05.04.653 N046.48.03.659 W119.04.58.595 RVM
                          N046.48.03.659 W119.04.58.595 N046.48.05.024 W119.04.52.023 RVM
                          N046.48.05.024 W119.04.52.023 N046.48.05.485 W119.04.45.187 RVM
                          N046.48.05.485 W119.04.45.187 N046.48.17.477 W119.04.45.187 RVM
                          N046.47.41.500 W119.04.10.155 N046.47.41.498 W119.03.52.639 RVM
                          N046.47.17.518 W119.04.45.187 N046.47.05.526 W119.04.45.187 RVM
                          N046.47.41.500 W119.05.20.220 N046.47.41.498 W119.05.37.736 RVM
    ; KRLD
                          N046.18.44.284 W119.18.15.100 N046.18.43.823 W119.18.08.326 RVM
                          N046.18.43.823 W119.18.08.326 N046.18.42.458 W119.18.01.812 RVM
                          N046.18.42.458 W119.18.01.812 N046.18.40.241 W119.17.55.810 RVM
                          N046.18.40.241 W119.17.55.810 N046.18.37.258 W119.17.50.548 RVM
                          N046.18.37.258 W119.17.50.548 N046.18.33.624 W119.17.46.231 RVM
                          N046.18.33.624 W119.17.46.231 N046.18.29.477 W119.17.43.023 RVM
                          N046.18.29.477 W119.17.43.023 N046.18.24.978 W119.17.41.048 RVM
                          N046.18.24.978 W119.17.41.048 N046.18.20.299 W119.17.40.382 RVM
                          N046.18.20.299 W119.17.40.382 N046.18.15.620 W119.17.41.050 RVM
                          N046.18.15.620 W119.17.41.050 N046.18.11.121 W119.17.43.026 RVM
                          N046.18.11.121 W119.17.43.026 N046.18.06.974 W119.17.46.235 RVM
                          N046.18.06.974 W119.17.46.235 N046.18.03.340 W119.17.50.553 RVM
                          N046.18.03.340 W119.17.50.553 N046.18.00.358 W119.17.55.813 RVM
                          N046.18.00.358 W119.17.55.813 N046.17.58.142 W119.18.01.815 RVM
                          N046.17.58.142 W119.18.01.815 N046.17.56.777 W119.18.08.328 RVM
                          N046.17.56.777 W119.18.08.328 N046.17.56.316 W119.18.15.100 RVM
                          N046.17.56.316 W119.18.15.100 N046.17.56.777 W119.18.21.872 RVM
                          N046.17.56.777 W119.18.21.872 N046.17.58.142 W119.18.28.385 RVM
                          N046.17.58.142 W119.18.28.385 N046.18.00.358 W119.18.34.386 RVM
                          N046.18.00.358 W119.18.34.386 N046.18.03.340 W119.18.39.647 RVM
                          N046.18.03.340 W119.18.39.647 N046.18.06.974 W119.18.43.965 RVM
                          N046.18.06.974 W119.18.43.965 N046.18.11.121 W119.18.47.174 RVM
                          N046.18.11.121 W119.18.47.174 N046.18.15.620 W119.18.49.150 RVM
                          N046.18.15.620 W119.18.49.150 N046.18.20.299 W119.18.49.818 RVM
                          N046.18.20.299 W119.18.49.818 N046.18.24.978 W119.18.49.152 RVM
                          N046.18.24.978 W119.18.49.152 N046.18.29.477 W119.18.47.177 RVM
                          N046.18.29.477 W119.18.47.177 N046.18.33.624 W119.18.43.969 RVM
                          N046.18.33.624 W119.18.43.969 N046.18.37.258 W119.18.39.652 RVM
                          N046.18.37.258 W119.18.39.652 N046.18.40.241 W119.18.34.390 RVM
                          N046.18.40.241 W119.18.34.390 N046.18.42.458 W119.18.28.388 RVM
                          N046.18.42.458 W119.18.28.388 N046.18.43.823 W119.18.21.874 RVM
                          N046.18.43.823 W119.18.21.874 N046.18.44.284 W119.18.15.100 RVM
                          N046.18.44.284 W119.18.15.100 N046.18.56.276 W119.18.15.100 RVM
                          N046.18.20.299 W119.17.40.382 N046.18.20.297 W119.17.23.023 RVM
                          N046.17.56.316 W119.18.15.100 N046.17.44.324 W119.18.15.100 RVM
                          N046.18.20.299 W119.18.49.818 N046.18.20.297 W119.19.07.177 RVM
    ; KPSC
                          N046.16.16.884 W119.07.08.500 N046.16.16.423 W119.07.01.731 RVM
                          N046.16.16.423 W119.07.01.731 N046.16.15.058 W119.06.55.222 RVM
                          N046.16.15.058 W119.06.55.222 N046.16.12.841 W119.06.49.224 RVM
                          N046.16.12.841 W119.06.49.224 N046.16.09.858 W119.06.43.967 RVM
                          N046.16.09.858 W119.06.43.967 N046.16.06.224 W119.06.39.652 RVM
                          N046.16.06.224 W119.06.39.652 N046.16.02.077 W119.06.36.447 RVM
                          N046.16.02.077 W119.06.36.447 N046.15.57.578 W119.06.34.473 RVM
                          N046.15.57.578 W119.06.34.473 N046.15.52.899 W119.06.33.808 RVM
                          N046.15.52.899 W119.06.33.808 N046.15.48.220 W119.06.34.475 RVM
                          N046.15.48.220 W119.06.34.475 N046.15.43.721 W119.06.36.450 RVM
                          N046.15.43.721 W119.06.36.450 N046.15.39.574 W119.06.39.656 RVM
                          N046.15.39.574 W119.06.39.656 N046.15.35.940 W119.06.43.971 RVM
                          N046.15.35.940 W119.06.43.971 N046.15.32.958 W119.06.49.228 RVM
                          N046.15.32.958 W119.06.49.228 N046.15.30.742 W119.06.55.225 RVM
                          N046.15.30.742 W119.06.55.225 N046.15.29.377 W119.07.01.733 RVM
                          N046.15.29.377 W119.07.01.733 N046.15.28.916 W119.07.08.500 RVM
                          N046.15.28.916 W119.07.08.500 N046.15.29.377 W119.07.15.267 RVM
                          N046.15.29.377 W119.07.15.267 N046.15.30.742 W119.07.21.775 RVM
                          N046.15.30.742 W119.07.21.775 N046.15.32.958 W119.07.27.772 RVM
                          N046.15.32.958 W119.07.27.772 N046.15.35.940 W119.07.33.029 RVM
                          N046.15.35.940 W119.07.33.029 N046.15.39.574 W119.07.37.344 RVM
                          N046.15.39.574 W119.07.37.344 N046.15.43.721 W119.07.40.550 RVM
                          N046.15.43.721 W119.07.40.550 N046.15.48.220 W119.07.42.525 RVM
                          N046.15.48.220 W119.07.42.525 N046.15.52.899 W119.07.43.192 RVM
                          N046.15.52.899 W119.07.43.192 N046.15.57.578 W119.07.42.527 RVM
                          N046.15.57.578 W119.07.42.527 N046.16.02.077 W119.07.40.553 RVM
                          N046.16.02.077 W119.07.40.553 N046.16.06.224 W119.07.37.348 RVM
                          N046.16.06.224 W119.07.37.348 N046.16.09.858 W119.07.33.033 RVM
                          N046.16.09.858 W119.07.33.033 N046.16.12.841 W119.07.27.776 RVM
                          N046.16.12.841 W119.07.27.776 N046.16.15.058 W119.07.21.778 RVM
                          N046.16.15.058 W119.07.21.778 N046.16.16.423 W119.07.15.269 RVM
                          N046.16.16.423 W119.07.15.269 N046.16.16.884 W119.07.08.500 RVM
                          N046.16.16.884 W119.07.08.500 N046.16.28.876 W119.07.08.500 RVM
