((NUW-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
    ; 0S9
                          N048.03.37.695 W122.48.38.317 N048.03.37.234 W122.48.31.316 RVM
                          N048.03.37.234 W122.48.31.316 N048.03.35.869 W122.48.24.584 RVM
                          N048.03.35.869 W122.48.24.584 N048.03.33.652 W122.48.18.381 RVM
                          N048.03.33.652 W122.48.18.381 N048.03.30.669 W122.48.12.943 RVM
                          N048.03.30.669 W122.48.12.943 N048.03.27.035 W122.48.08.481 RVM
                          N048.03.27.035 W122.48.08.481 N048.03.22.888 W122.48.05.166 RVM
                          N048.03.22.888 W122.48.05.166 N048.03.18.389 W122.48.03.125 RVM
                          N048.03.18.389 W122.48.03.125 N048.03.13.709 W122.48.02.436 RVM
                          N048.03.13.709 W122.48.02.436 N048.03.09.030 W122.48.03.127 RVM
                          N048.03.09.030 W122.48.03.127 N048.03.04.531 W122.48.05.169 RVM
                          N048.03.04.531 W122.48.05.169 N048.03.00.385 W122.48.08.485 RVM
                          N048.03.00.385 W122.48.08.485 N048.02.56.751 W122.48.12.948 RVM
                          N048.02.56.751 W122.48.12.948 N048.02.53.769 W122.48.18.385 RVM
                          N048.02.53.769 W122.48.18.385 N048.02.51.553 W122.48.24.588 RVM
                          N048.02.51.553 W122.48.24.588 N048.02.50.188 W122.48.31.318 RVM
                          N048.02.50.188 W122.48.31.318 N048.02.49.727 W122.48.38.317 RVM
                          N048.02.49.727 W122.48.38.317 N048.02.50.188 W122.48.45.316 RVM
                          N048.02.50.188 W122.48.45.316 N048.02.51.553 W122.48.52.046 RVM
                          N048.02.51.553 W122.48.52.046 N048.02.53.769 W122.48.58.249 RVM
                          N048.02.53.769 W122.48.58.249 N048.02.56.751 W122.49.03.686 RVM
                          N048.02.56.751 W122.49.03.686 N048.03.00.385 W122.49.08.149 RVM
                          N048.03.00.385 W122.49.08.149 N048.03.04.531 W122.49.11.465 RVM
                          N048.03.04.531 W122.49.11.465 N048.03.09.030 W122.49.13.507 RVM
                          N048.03.09.030 W122.49.13.507 N048.03.13.709 W122.49.14.198 RVM
                          N048.03.13.709 W122.49.14.198 N048.03.18.389 W122.49.13.509 RVM
                          N048.03.18.389 W122.49.13.509 N048.03.22.888 W122.49.11.468 RVM
                          N048.03.22.888 W122.49.11.468 N048.03.27.035 W122.49.08.153 RVM
                          N048.03.27.035 W122.49.08.153 N048.03.30.669 W122.49.03.691 RVM
                          N048.03.30.669 W122.49.03.691 N048.03.33.652 W122.48.58.253 RVM
                          N048.03.33.652 W122.48.58.253 N048.03.35.869 W122.48.52.050 RVM
                          N048.03.35.869 W122.48.52.050 N048.03.37.234 W122.48.45.318 RVM
                          N048.03.37.234 W122.48.45.318 N048.03.37.695 W122.48.38.317 RVM
                          N048.03.37.695 W122.48.38.317 N048.03.49.687 W122.48.38.317 RVM
                          N048.03.13.709 W122.48.02.436 N048.03.13.708 W122.47.44.496 RVM
                          N048.02.49.727 W122.48.38.317 N048.02.37.735 W122.48.38.317 RVM
                          N048.03.13.709 W122.49.14.198 N048.03.13.708 W122.49.32.138 RVM
    ; 1S2
                          N048.15.54.989 W121.36.36.733 N048.15.54.528 W121.36.29.704 RVM
                          N048.15.54.528 W121.36.29.704 N048.15.53.163 W121.36.22.945 RVM
                          N048.15.53.163 W121.36.22.945 N048.15.50.946 W121.36.16.717 RVM
                          N048.15.50.946 W121.36.16.717 N048.15.47.963 W121.36.11.258 RVM
                          N048.15.47.963 W121.36.11.258 N048.15.44.329 W121.36.06.778 RVM
                          N048.15.44.329 W121.36.06.778 N048.15.40.182 W121.36.03.449 RVM
                          N048.15.40.182 W121.36.03.449 N048.15.35.683 W121.36.01.400 RVM
                          N048.15.35.683 W121.36.01.400 N048.15.31.003 W121.36.00.709 RVM
                          N048.15.31.003 W121.36.00.709 N048.15.26.324 W121.36.01.402 RVM
                          N048.15.26.324 W121.36.01.402 N048.15.21.825 W121.36.03.453 RVM
                          N048.15.21.825 W121.36.03.453 N048.15.17.679 W121.36.06.782 RVM
                          N048.15.17.679 W121.36.06.782 N048.15.14.045 W121.36.11.262 RVM
                          N048.15.14.045 W121.36.11.262 N048.15.11.063 W121.36.16.721 RVM
                          N048.15.11.063 W121.36.16.721 N048.15.08.847 W121.36.22.949 RVM
                          N048.15.08.847 W121.36.22.949 N048.15.07.482 W121.36.29.706 RVM
                          N048.15.07.482 W121.36.29.706 N048.15.07.021 W121.36.36.733 RVM
                          N048.15.07.021 W121.36.36.733 N048.15.07.482 W121.36.43.760 RVM
                          N048.15.07.482 W121.36.43.760 N048.15.08.847 W121.36.50.517 RVM
                          N048.15.08.847 W121.36.50.517 N048.15.11.063 W121.36.56.745 RVM
                          N048.15.11.063 W121.36.56.745 N048.15.14.045 W121.37.02.204 RVM
