((PSC-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
    ; S98
                          N046.13.30.856 W119.12.36.054 N046.13.30.395 W119.12.29.291 RVM 
                          N046.13.30.395 W119.12.29.291 N046.13.29.030 W119.12.22.787 RVM 
                          N046.13.29.030 W119.12.22.787 N046.13.26.813 W119.12.16.794 RVM 
                          N046.13.26.813 W119.12.16.794 N046.13.23.830 W119.12.11.541 RVM 
                          N046.13.23.830 W119.12.11.541 N046.13.20.196 W119.12.07.231 RVM 
                          N046.13.20.196 W119.12.07.231 N046.13.16.049 W119.12.04.028 RVM 
                          N046.13.16.049 W119.12.04.028 N046.13.11.550 W119.12.02.056 RVM 
                          N046.13.11.550 W119.12.02.056 N046.13.06.871 W119.12.01.391 RVM 
                          N046.13.06.871 W119.12.01.391 N046.13.02.192 W119.12.02.058 RVM 
                          N046.13.02.192 W119.12.02.058 N046.12.57.693 W119.12.04.031 RVM 
                          N046.12.57.693 W119.12.04.031 N046.12.53.546 W119.12.07.235 RVM 
                          N046.12.53.546 W119.12.07.235 N046.12.49.912 W119.12.11.546 RVM 
                          N046.12.49.912 W119.12.11.546 N046.12.46.930 W119.12.16.798 RVM 
                          N046.12.46.930 W119.12.16.798 N046.12.44.714 W119.12.22.790 RVM 
                          N046.12.44.714 W119.12.22.790 N046.12.43.349 W119.12.29.292 RVM 
                          N046.12.43.349 W119.12.29.292 N046.12.42.888 W119.12.36.054 RVM 
                          N046.12.42.888 W119.12.36.054 N046.12.43.349 W119.12.42.816 RVM 
                          N046.12.43.349 W119.12.42.816 N046.12.44.714 W119.12.49.318 RVM 
                          N046.12.44.714 W119.12.49.318 N046.12.46.930 W119.12.55.310 RVM 
                          N046.12.46.930 W119.12.55.310 N046.12.49.912 W119.13.00.562 RVM 
                          N046.12.49.912 W119.13.00.562 N046.12.53.546 W119.13.04.873 RVM 
                          N046.12.53.546 W119.13.04.873 N046.12.57.693 W119.13.08.077 RVM 
