((YKM-APP))               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
    ; KELN
                          N047.02.22.884 W120.31.50.500 N047.02.22.423 W120.31.43.634 RVM
                          N047.02.22.423 W120.31.43.634 N047.02.21.058 W120.31.37.032 RVM
                          N047.02.21.058 W120.31.37.032 N047.02.18.841 W120.31.30.948 RVM
                          N047.02.18.841 W120.31.30.948 N047.02.15.858 W120.31.25.616 RVM
                          N047.02.15.858 W120.31.25.616 N047.02.12.224 W120.31.21.240 RVM
                          N047.02.12.224 W120.31.21.240 N047.02.08.077 W120.31.17.988 RVM
                          N047.02.08.077 W120.31.17.988 N047.02.03.578 W120.31.15.987 RVM
                          N047.02.03.578 W120.31.15.987 N047.01.58.899 W120.31.15.311 RVM
                          N047.01.58.899 W120.31.15.311 N047.01.54.220 W120.31.15.988 RVM
                          N047.01.54.220 W120.31.15.988 N047.01.49.721 W120.31.17.991 RVM
                          N047.01.49.721 W120.31.17.991 N047.01.45.574 W120.31.21.244 RVM
                          N047.01.45.574 W120.31.21.244 N047.01.41.940 W120.31.25.620 RVM
                          N047.01.41.940 W120.31.25.620 N047.01.38.958 W120.31.30.952 RVM
                          N047.01.38.958 W120.31.30.952 N047.01.36.742 W120.31.37.035 RVM
                          N047.01.36.742 W120.31.37.035 N047.01.35.377 W120.31.43.636 RVM
                          N047.01.35.377 W120.31.43.636 N047.01.34.916 W120.31.50.500 RVM
                          N047.01.34.916 W120.31.50.500 N047.01.35.377 W120.31.57.364 RVM
                          N047.01.35.377 W120.31.57.364 N047.01.36.742 W120.32.03.965 RVM
                          N047.01.36.742 W120.32.03.965 N047.01.38.958 W120.32.10.048 RVM
                          N047.01.38.958 W120.32.10.048 N047.01.41.940 W120.32.15.380 RVM
                          N047.01.41.940 W120.32.15.380 N047.01.45.574 W120.32.19.756 RVM
                          N047.01.45.574 W120.32.19.756 N047.01.49.721 W120.32.23.009 RVM
                          N047.01.49.721 W120.32.23.009 N047.01.54.220 W120.32.25.012 RVM
                          N047.01.54.220 W120.32.25.012 N047.01.58.899 W120.32.25.689 RVM
                          N047.01.58.899 W120.32.25.689 N047.02.03.578 W120.32.25.013 RVM
                          N047.02.03.578 W120.32.25.013 N047.02.08.077 W120.32.23.012 RVM
                          N047.02.08.077 W120.32.23.012 N047.02.12.224 W120.32.19.760 RVM
                          N047.02.12.224 W120.32.19.760 N047.02.15.858 W120.32.15.384 RVM
                          N047.02.15.858 W120.32.15.384 N047.02.18.841 W120.32.10.052 RVM
