Map 2- ILS Finals         N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N044.54.11.008 W122.59.45.857 N044.55.00.737 W123.00.26.117 
                          N044.55.00.737 W123.00.26.117 N044.54.11.008 W122.59.45.857 
                          N044.54.07.198 W123.00.12.859 N044.54.57.994 W123.00.11.895 
                          N044.54.57.994 W123.00.11.895 N044.54.07.198 W123.00.12.859 
    ; KSLE 31 centerline                                   
                          N044.48.17.561 W122.55.00.267 N044.47.25.516 W122.54.18.310 
                          N044.46.33.467 W122.53.36.373 N044.45.41.413 W122.52.54.458 
                          N044.44.49.355 W122.52.12.563 N044.43.57.293 W122.51.30.689 
                          N044.43.05.226 W122.50.48.837 N044.42.13.155 W122.50.07.005 
                          N044.41.21.080 W122.49.25.194 N044.40.29.001 W122.48.43.404 
                          N044.39.36.918 W122.48.01.635 N044.38.44.830 W122.47.19.886 
                          N044.37.52.738 W122.46.38.159 N044.37.00.642 W122.45.56.452 
    ; KSLE 31 center cross at LOTKE                        
                          N044.49.26.900 W122.54.59.712 N044.48.52.300 W122.56.24.773 
    ; KSLE 31 center cross at SCIOS                        
                          N044.45.40.688 W122.51.57.463 N044.45.06.088 W122.53.22.431 
    ; KSLE 31 center cross at SCIOS                        
                          N044.51.05.591 W122.56.27.138 N044.51.01.633 W122.56.28.952 
                          N044.51.01.633 W122.56.28.952 N044.50.57.820 W122.56.31.305 
                          N044.50.57.820 W122.56.31.305 N044.50.54.189 W122.56.34.173 
                          N044.50.54.189 W122.56.34.173 N044.50.50.774 W122.56.37.530 
                          N044.50.50.774 W122.56.37.530 N044.50.47.610 W122.56.41.342 
                          N044.50.47.610 W122.56.41.342 N044.50.44.725 W122.56.45.574 
                          N044.50.44.725 W122.56.45.574 N044.50.42.149 W122.56.50.184 
                          N044.50.42.149 W122.56.50.184 N044.50.39.905 W122.56.55.127 
                          N044.50.39.905 W122.56.55.127 N044.50.38.015 W122.57.00.357 
                          N044.50.38.015 W122.57.00.357 N044.50.36.498 W122.57.05.823 
                          N044.50.36.498 W122.57.05.823 N044.50.35.368 W122.57.11.472 
                          N044.50.35.368 W122.57.11.472 N044.50.34.636 W122.57.17.250 
                          N044.50.34.636 W122.57.17.250 N044.50.34.309 W122.57.23.102 
                          N044.50.34.309 W122.57.23.102 N044.50.34.390 W122.57.28.971 
                          N044.50.34.390 W122.57.28.971 N044.50.34.878 W122.57.34.800 
                          N044.50.34.878 W122.57.34.800 N044.50.35.769 W122.57.40.533 
                          N044.50.35.776 W122.57.40.565 N044.50.39.734 W122.57.38.753 
                          N044.50.39.734 W122.57.38.753 N044.50.43.547 W122.57.36.401 
                          N044.50.43.547 W122.57.36.401 N044.50.47.179 W122.57.33.534 
                          N044.50.47.179 W122.57.33.534 N044.50.50.594 W122.57.30.178 
                          N044.50.50.594 W122.57.30.178 N044.50.53.759 W122.57.26.366 
                          N044.50.53.759 W122.57.26.366 N044.50.56.644 W122.57.22.135 
                          N044.50.56.644 W122.57.22.135 N044.50.59.221 W122.57.17.526 
