RNT LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.29.09.482 W122.12.55.132 N047.29.10.008 W122.12.55.384
                          N047.29.09.510 W122.12.54.760 N047.29.10.064 W122.12.54.522
                          N047.29.09.747 W122.12.55.258 N047.29.09.733 W122.12.55.477
                          N047.29.09.770 W122.12.53.283 N047.29.09.775 W122.12.53.171
                          N047.29.09.775 W122.12.53.171 N047.29.09.836 W122.12.53.069
                          N047.29.09.817 W122.12.53.390 N047.29.09.770 W122.12.53.283
                          N047.29.09.836 W122.12.53.069 N047.29.09.892 W122.12.53.017
                          N047.29.09.864 W122.12.53.451 N047.29.09.817 W122.12.53.390
                          N047.29.09.892 W122.12.53.017 N047.29.09.999 W122.12.53.027
                          N047.29.09.961 W122.12.52.808 N047.29.10.353 W122.12.52.561
                          N047.29.09.971 W122.12.51.122 N047.29.09.989 W122.12.50.884
                          N047.29.09.989 W122.12.52.375 N047.29.09.961 W122.12.52.808
                          N047.29.09.989 W122.12.50.884 N047.29.10.031 W122.12.50.809
                          N047.29.09.999 W122.12.53.027 N047.29.10.050 W122.12.53.083
                          N047.29.10.008 W122.12.55.384 N047.29.09.454 W122.12.55.566
                          N047.29.10.008 W122.12.50.530 N047.29.10.418 W122.12.50.358
                          N047.29.10.031 W122.12.50.809 N047.29.10.190 W122.12.50.819
                          N047.29.10.050 W122.12.53.083 N047.29.10.097 W122.12.53.194
                          N047.29.10.064 W122.12.54.522 N047.29.10.036 W122.12.54.955
                          N047.29.10.092 W122.12.53.302 N047.29.10.320 W122.12.53.101
                          N047.29.10.097 W122.12.53.194 N047.29.10.092 W122.12.53.302
                          N047.29.10.190 W122.12.50.819 N047.29.10.227 W122.12.50.903
                          N047.29.10.208 W122.12.51.135 N047.29.10.227 W122.12.50.903
                          N047.29.10.227 W122.12.50.903 N047.29.10.269 W122.12.50.865
                          N047.29.10.269 W122.12.50.865 N047.29.10.343 W122.12.50.870
                          N047.29.10.320 W122.12.53.101 N047.29.10.302 W122.12.53.423
                          N047.29.10.343 W122.12.50.870 N047.29.10.381 W122.12.50.912
                          N047.29.10.353 W122.12.52.561 N047.29.09.817 W122.12.52.528
                          N047.29.10.367 W122.12.51.149 N047.29.09.971 W122.12.51.122
                          N047.29.10.381 W122.12.50.912 N047.29.10.367 W122.12.51.149
                          N047.29.10.418 W122.12.50.358 N047.29.10.399 W122.12.50.674
                          N047.29.14.052 W122.12.57.634 N047.29.14.573 W122.12.57.885
                          N047.29.14.312 W122.12.57.760 N047.29.14.298 W122.12.57.974
                          N047.29.14.573 W122.12.57.885 N047.29.14.024 W122.12.58.067
                          N047.29.16.003 W122.12.48.830 N047.29.16.022 W122.12.48.508
                          N047.29.16.022 W122.12.48.508 N047.29.16.083 W122.12.48.406
                          N047.29.16.083 W122.12.48.406 N047.29.16.302 W122.12.48.415
                          N047.29.16.302 W122.12.48.415 N047.29.16.348 W122.12.48.527
                          N047.29.16.325 W122.12.48.853 N047.29.16.348 W122.12.48.527
                          N047.29.16.348 W122.12.48.527 N047.29.16.404 W122.12.48.476
                          N047.29.16.404 W122.12.48.476 N047.29.16.511 W122.12.48.485
                          N047.29.16.511 W122.12.48.485 N047.29.16.562 W122.12.48.541
                          N047.29.16.544 W122.12.48.867 N047.29.16.003 W122.12.48.830
                          N047.29.16.562 W122.12.48.541 N047.29.16.544 W122.12.48.867
                          N047.29.21.319 W122.12.52.840 N047.29.21.333 W122.12.52.603
                          N047.29.21.333 W122.12.52.603 N047.29.21.379 W122.12.52.528
                          N047.29.21.356 W122.12.52.291 N047.29.21.365 W122.12.52.132
                          N047.29.21.365 W122.12.52.132 N047.29.21.449 W122.12.52.058
                          N047.29.21.379 W122.12.52.528 N047.29.21.538 W122.12.52.538
                          N047.29.21.430 W122.12.52.375 N047.29.21.356 W122.12.52.291
                          N047.29.21.449 W122.12.52.058 N047.29.21.528 W122.12.52.063
