BFI LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.30.59.335 W122.17.31.819 N047.30.59.461 W122.17.31.521
                          N047.30.59.461 W122.17.31.521 N047.30.59.554 W122.17.31.441
                          N047.30.59.554 W122.17.31.441 N047.30.59.750 W122.17.31.525
                          N047.30.59.633 W122.17.31.944 N047.30.59.759 W122.17.31.646
                          N047.30.59.750 W122.17.31.525 N047.30.59.759 W122.17.31.646
                          N047.30.59.759 W122.17.31.646 N047.30.59.829 W122.17.31.618
                          N047.30.59.829 W122.17.32.033 N047.30.59.335 W122.17.31.819
                          N047.30.59.829 W122.17.31.618 N047.30.59.927 W122.17.31.660
                          N047.30.59.908 W122.17.30.477 N047.30.59.950 W122.17.30.379
                          N047.30.59.913 W122.17.30.598 N047.30.59.908 W122.17.30.477
                          N047.30.59.913 W122.17.30.598 N047.30.59.913 W122.17.30.598
                          N047.30.59.927 W122.17.31.660 N047.30.59.955 W122.17.31.735
                          N047.30.59.950 W122.17.30.379 N047.31.00.039 W122.17.30.300
                          N047.30.59.955 W122.17.31.735 N047.30.59.829 W122.17.32.033
                          N047.30.59.955 W122.17.31.320 N047.31.00.169 W122.17.31.236
                          N047.30.59.992 W122.17.30.691 N047.30.59.913 W122.17.30.598
                          N047.31.00.039 W122.17.30.300 N047.31.00.160 W122.17.30.295
                          N047.31.00.155 W122.17.29.396 N047.31.00.197 W122.17.29.294
                          N047.31.00.160 W122.17.30.295 N047.31.00.360 W122.17.30.379
                          N047.31.00.160 W122.17.29.513 N047.31.00.155 W122.17.29.396
                          N047.31.00.169 W122.17.31.236 N047.30.59.671 W122.17.31.022
                          N047.31.00.188 W122.17.29.587 N047.31.00.160 W122.17.29.513
                          N047.31.00.192 W122.17.30.775 N047.30.59.992 W122.17.30.691
                          N047.31.00.197 W122.17.29.294 N047.31.00.290 W122.17.29.215
                          N047.31.00.290 W122.17.29.215 N047.31.00.360 W122.17.29.187
                          N047.31.00.309 W122.17.30.771 N047.31.00.192 W122.17.30.775
                          N047.31.00.346 W122.17.28.949 N047.31.00.444 W122.17.28.991
                          N047.31.00.360 W122.17.30.379 N047.31.00.439 W122.17.30.472
                          N047.31.00.360 W122.17.29.187 N047.31.00.458 W122.17.29.229
                          N047.31.00.402 W122.17.30.691 N047.31.00.309 W122.17.30.771
                          N047.31.00.439 W122.17.30.472 N047.31.00.444 W122.17.30.594
                          N047.31.00.444 W122.17.30.594 N047.31.00.402 W122.17.30.691
                          N047.31.00.444 W122.17.28.991 N047.31.00.863 W122.17.28.698
                          N047.31.00.453 W122.17.29.522 N047.31.00.733 W122.17.29.406
                          N047.31.00.458 W122.17.29.229 N047.31.00.486 W122.17.29.303
                          N047.31.00.486 W122.17.29.303 N047.31.00.495 W122.17.29.424
                          N047.31.00.495 W122.17.29.424 N047.31.00.453 W122.17.29.522
                          N047.31.00.514 W122.17.28.548 N047.31.00.346 W122.17.28.949
                          N047.31.00.598 W122.17.28.353 N047.31.01.096 W122.17.28.562
                          N047.31.00.733 W122.17.29.406 N047.31.00.607 W122.17.29.704
                          N047.31.00.770 W122.17.27.957 N047.31.00.598 W122.17.28.353
                          N047.31.00.863 W122.17.28.698 N047.31.00.961 W122.17.28.740
                          N047.31.00.882 W122.17.29.061 N047.31.00.793 W122.17.29.140
                          N047.31.00.961 W122.17.28.740 N047.31.00.970 W122.17.28.861
