TIW LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.15.39.908 W122.34.43.123 N047.15.40.234 W122.34.43.254
                          N047.15.40.006 W122.34.42.993 N047.15.40.229 W122.34.42.830
                          N047.15.40.006 W122.34.42.737 N047.15.40.006 W122.34.42.993
                          N047.15.40.071 W122.34.43.188 N047.15.40.071 W122.34.43.319
                          N047.15.40.229 W122.34.42.830 N047.15.39.908 W122.34.42.834
                          N047.15.40.234 W122.34.43.254 N047.15.39.912 W122.34.43.384
                          N047.15.40.374 W122.34.45.341 N047.15.40.406 W122.34.45.275
                          N047.15.40.374 W122.34.45.466 N047.15.40.374 W122.34.45.341
                          N047.15.40.378 W122.34.45.760 N047.15.40.411 W122.34.45.695
                          N047.15.40.378 W122.34.45.825 N047.15.40.378 W122.34.45.760
                          N047.15.40.406 W122.34.45.275 N047.15.40.569 W122.34.45.271
                          N047.15.40.406 W122.34.45.532 N047.15.40.374 W122.34.45.466
                          N047.15.40.411 W122.34.45.695 N047.15.40.444 W122.34.45.662
                          N047.15.40.411 W122.34.45.890 N047.15.40.378 W122.34.45.825
                          N047.15.40.444 W122.34.45.662 N047.15.40.504 W122.34.45.662
                          N047.15.40.444 W122.34.45.923 N047.15.40.411 W122.34.45.890
                          N047.15.40.504 W122.34.45.662 N047.15.40.537 W122.34.45.695
                          N047.15.40.537 W122.34.45.695 N047.15.40.574 W122.34.45.760
                          N047.15.40.537 W122.34.45.532 N047.15.40.700 W122.34.45.532
                          N047.15.40.569 W122.34.45.466 N047.15.40.537 W122.34.45.532
                          N047.15.40.569 W122.34.45.336 N047.15.40.569 W122.34.45.466
                          N047.15.40.569 W122.34.45.271 N047.15.40.569 W122.34.45.336
                          N047.15.40.574 W122.34.45.825 N047.15.40.700 W122.34.45.695
                          N047.15.40.574 W122.34.45.760 N047.15.40.574 W122.34.45.825
                          N047.15.40.700 W122.34.45.695 N047.15.40.700 W122.34.45.886
                          N047.15.40.700 W122.34.45.532 N047.15.40.700 W122.34.45.271
                          N047.15.45.917 W122.34.39.378 N047.15.46.243 W122.34.39.504
                          N047.15.46.080 W122.34.39.443 N047.15.46.085 W122.34.39.569
                          N047.15.46.243 W122.34.39.504 N047.15.45.922 W122.34.39.639
                          N047.15.52.383 W122.34.36.746 N047.15.52.411 W122.34.36.681
                          N047.15.52.383 W122.34.36.937 N047.15.52.383 W122.34.36.746
                          N047.15.52.411 W122.34.36.681 N047.15.52.541 W122.34.36.676
                          N047.15.52.476 W122.34.36.550 N047.15.52.704 W122.34.36.387
                          N047.15.52.476 W122.34.36.289 N047.15.52.476 W122.34.36.550
                          N047.15.52.541 W122.34.36.676 N047.15.52.574 W122.34.36.741
                          N047.15.52.574 W122.34.36.741 N047.15.52.607 W122.34.36.709
                          N047.15.52.579 W122.34.36.937 N047.15.52.574 W122.34.36.741
                          N047.15.52.607 W122.34.36.709 N047.15.52.672 W122.34.36.709
                          N047.15.52.672 W122.34.36.709 N047.15.52.704 W122.34.36.741
                          N047.15.52.704 W122.34.36.937 N047.15.52.383 W122.34.36.937
                          N047.15.52.704 W122.34.36.741 N047.15.52.704 W122.34.36.937
                          N047.15.52.704 W122.34.36.387 N047.15.52.378 W122.34.36.387
                          N047.15.52.886 W122.34.41.297 N047.15.53.212 W122.34.41.423
                          N047.15.52.886 W122.34.41.004 N047.15.52.914 W122.34.40.938
                          N047.15.52.886 W122.34.41.069 N047.15.52.886 W122.34.41.004
                          N047.15.52.914 W122.34.40.938 N047.15.52.947 W122.34.40.906
                          N047.15.52.919 W122.34.41.134 N047.15.52.886 W122.34.41.069
                          N047.15.52.947 W122.34.40.906 N047.15.53.012 W122.34.40.906
                          N047.15.52.951 W122.34.41.167 N047.15.52.919 W122.34.41.134
                          N047.15.53.012 W122.34.40.906 N047.15.53.044 W122.34.40.938
                          N047.15.53.044 W122.34.40.938 N047.15.53.077 W122.34.41.004
                          N047.15.53.049 W122.34.41.358 N047.15.53.049 W122.34.41.488
                          N047.15.53.077 W122.34.41.069 N047.15.53.207 W122.34.40.938
                          N047.15.53.077 W122.34.41.004 N047.15.53.077 W122.34.41.069
                          N047.15.53.207 W122.34.40.938 N047.15.53.207 W122.34.41.134
                          N047.15.53.212 W122.34.41.423 N047.15.52.886 W122.34.41.553
                          N047.15.57.926 W122.34.37.193 N047.15.58.248 W122.34.37.319
                          N047.15.58.085 W122.34.37.258 N047.15.58.089 W122.34.37.384
                          N047.15.58.248 W122.34.37.319 N047.15.57.926 W122.34.37.454
                          N047.16.04.276 W122.34.39.341 N047.16.04.602 W122.34.39.466
                          N047.16.04.276 W122.34.39.210 N047.16.04.341 W122.34.39.210
                          N047.16.04.276 W122.34.38.949 N047.16.04.276 W122.34.39.210
                          N047.16.04.341 W122.34.39.210 N047.16.04.499 W122.34.38.949
                          N047.16.04.439 W122.34.39.406 N047.16.04.439 W122.34.39.532
                          N047.16.04.499 W122.34.38.949 N047.16.04.565 W122.34.38.949
                          N047.16.04.565 W122.34.38.949 N047.16.04.597 W122.34.39.015
                          N047.16.04.597 W122.34.39.145 N047.16.04.569 W122.34.39.210
                          N047.16.04.597 W122.34.39.015 N047.16.04.597 W122.34.39.145
                          N047.16.04.602 W122.34.39.466 N047.16.04.276 W122.34.39.597
                          N047.16.07.826 W122.34.34.114 N047.16.07.858 W122.34.34.049
                          N047.16.07.826 W122.34.34.174 N047.16.07.826 W122.34.34.114
                          N047.16.07.830 W122.34.34.468 N047.16.07.858 W122.34.34.403
                          N047.16.07.830 W122.34.34.664 N047.16.07.830 W122.34.34.468
                          N047.16.07.858 W122.34.34.403 N047.16.07.989 W122.34.34.403
                          N047.16.07.858 W122.34.34.049 N047.16.07.891 W122.34.34.016
                          N047.16.07.858 W122.34.34.240 N047.16.07.826 W122.34.34.174
                          N047.16.07.891 W122.34.34.016 N047.16.07.956 W122.34.34.016
                          N047.16.07.891 W122.34.34.272 N047.16.07.858 W122.34.34.240
                          N047.16.07.956 W122.34.34.016 N047.16.07.989 W122.34.34.044
                          N047.16.07.989 W122.34.34.403 N047.16.08.021 W122.34.34.468
                          N047.16.07.989 W122.34.34.044 N047.16.08.021 W122.34.34.109
                          N047.16.08.021 W122.34.34.468 N047.16.08.054 W122.34.34.435
                          N047.16.08.021 W122.34.34.174 N047.16.08.152 W122.34.34.044
                          N047.16.08.021 W122.34.34.109 N047.16.08.021 W122.34.34.174
                          N047.16.08.026 W122.34.34.659 N047.16.08.021 W122.34.34.468
                          N047.16.08.054 W122.34.34.435 N047.16.08.119 W122.34.34.435
                          N047.16.08.119 W122.34.34.435 N047.16.08.152 W122.34.34.468
                          N047.16.08.152 W122.34.34.659 N047.16.07.830 W122.34.34.664
                          N047.16.08.152 W122.34.34.468 N047.16.08.152 W122.34.34.659
