OLM LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.57.41.890 W122.54.18.388 N046.57.41.863 W122.54.18.192
                          N046.57.41.895 W122.54.23.792 N046.57.41.932 W122.54.23.675
                          N046.57.41.928 W122.54.24.006 N046.57.41.895 W122.54.23.792
                          N046.57.41.932 W122.54.23.675 N046.57.42.198 W122.54.23.633
                          N046.57.41.998 W122.54.18.048 N046.57.42.049 W122.54.18.360
                          N046.57.41.998 W122.54.24.104 N046.57.41.928 W122.54.24.006
                          N046.57.42.002 W122.54.24.486 N046.57.42.040 W122.54.24.369
                          N046.57.42.021 W122.54.24.593 N046.57.42.002 W122.54.24.486
                          N046.57.42.040 W122.54.24.369 N046.57.42.086 W122.54.24.309
                          N046.57.42.049 W122.54.18.360 N046.57.41.658 W122.54.18.421
                          N046.57.42.086 W122.54.24.309 N046.57.42.193 W122.54.24.290
                          N046.57.42.091 W122.54.24.691 N046.57.42.021 W122.54.24.593
                          N046.57.42.151 W122.54.24.737 N046.57.42.091 W122.54.24.691
                          N046.57.42.193 W122.54.24.290 N046.57.42.254 W122.54.24.337
                          N046.57.42.198 W122.54.23.633 N046.57.42.217 W122.54.23.740
                          N046.57.42.212 W122.54.24.071 N046.57.42.477 W122.54.24.029
                          N046.57.42.217 W122.54.23.740 N046.57.42.249 W122.54.23.955
                          N046.57.42.249 W122.54.23.955 N046.57.42.212 W122.54.24.071
                          N046.57.42.254 W122.54.24.337 N046.57.42.324 W122.54.24.435
                          N046.57.42.324 W122.54.24.435 N046.57.42.338 W122.54.24.542
                          N046.57.42.338 W122.54.24.542 N046.57.42.519 W122.54.24.295
                          N046.57.42.477 W122.54.24.029 N046.57.42.412 W122.54.23.601
                          N046.57.42.519 W122.54.24.295 N046.57.42.571 W122.54.24.616
                          N046.57.43.922 W122.54.29.200 N046.57.44.322 W122.54.29.219
                          N046.57.43.945 W122.54.29.358 N046.57.44.350 W122.54.29.377
                          N046.57.44.299 W122.54.29.065 N046.57.43.922 W122.54.29.200
                          N046.57.44.322 W122.54.29.219 N046.57.43.945 W122.54.29.358
                          N046.57.48.776 W122.54.16.497 N046.57.48.776 W122.54.16.334
                          N046.57.48.906 W122.54.16.497 N046.57.48.585 W122.54.16.497
                          N046.57.48.906 W122.54.16.236 N046.57.48.906 W122.54.16.497
                          N046.57.49.255 W122.54.26.144 N046.57.49.260 W122.54.26.461
                          N046.57.49.260 W122.54.26.461 N046.57.49.656 W122.54.26.456
                          N046.57.50.639 W122.54.07.226 N046.57.50.639 W122.54.07.063
                          N046.57.50.769 W122.54.07.226 N046.57.50.448 W122.54.07.226
                          N046.57.50.769 W122.54.06.966 N046.57.50.769 W122.54.07.226
                          N046.57.55.940 W122.54.28.161 N046.57.56.336 W122.54.28.240
                          N046.57.55.940 W122.54.28.008 N046.57.56.336 W122.54.28.082
                          N046.57.56.336 W122.54.28.082 N046.57.55.940 W122.54.28.161
                          N046.57.56.336 W122.54.27.924 N046.57.55.940 W122.54.28.008
                          N046.58.00.254 W122.54.04.408 N046.58.00.254 W122.54.04.245
                          N046.58.00.384 W122.54.04.408 N046.58.00.058 W122.54.04.408
                          N046.58.00.384 W122.54.04.147 N046.58.00.384 W122.54.04.408
                          N046.58.01.824 W122.53.42.994 N046.58.01.903 W122.53.43.073
                          N046.58.01.824 W122.53.42.835 N046.58.01.824 W122.53.42.994
                          N046.58.01.898 W122.54.10.525 N046.58.01.977 W122.54.10.604
                          N046.58.01.898 W122.54.10.366 N046.58.01.898 W122.54.10.525
                          N046.58.01.903 W122.53.43.073 N046.58.02.140 W122.53.43.068
                          N046.58.01.903 W122.53.42.756 N046.58.01.824 W122.53.42.835
                          N046.58.01.931 W122.54.24.728 N046.58.02.010 W122.54.24.807
                          N046.58.01.931 W122.54.24.570 N046.58.01.931 W122.54.24.728
                          N046.58.01.977 W122.54.10.604 N046.58.02.215 W122.54.10.604
                          N046.58.01.977 W122.54.10.287 N046.58.01.898 W122.54.10.366
                          N046.58.02.010 W122.54.24.807 N046.58.02.248 W122.54.24.807
                          N046.58.02.010 W122.54.24.490 N046.58.01.931 W122.54.24.570
                          N046.58.02.024 W122.53.42.751 N046.58.01.903 W122.53.42.756
                          N046.58.02.024 W122.53.42.910 N046.58.02.024 W122.53.42.751
                          N046.58.02.099 W122.54.10.287 N046.58.01.977 W122.54.10.287
                          N046.58.02.099 W122.54.10.445 N046.58.02.099 W122.54.10.287
