PDX LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N000.00.00.000
                          N000.00.00.000
                          N045.34.45.539 W122.35.05.790 N045.34.45.590 W122.35.05.646
                          N045.34.45.590 W122.35.05.646 N045.34.45.637 W122.35.05.622
                          N045.34.45.637 W122.35.05.622 N045.34.45.805 W122.35.05.720
                          N045.34.45.637 W122.35.05.986 N045.34.45.539 W122.35.05.790
                          N045.34.45.781 W122.35.06.032 N045.34.45.637 W122.35.05.986
                          N045.34.45.805 W122.35.05.720 N045.34.45.856 W122.35.05.813
                          N045.34.45.805 W122.35.05.720 N045.34.45.833 W122.35.05.525
                          N045.34.45.828 W122.35.06.372 N045.34.45.879 W122.35.06.223
                          N045.34.45.828 W122.35.06.009 N045.34.45.781 W122.35.06.032
                          N045.34.45.833 W122.35.05.525 N045.34.45.879 W122.35.05.501
                          N045.34.45.856 W122.35.05.813 N045.34.45.828 W122.35.06.009
                          N045.34.45.879 W122.35.05.501 N045.34.46.024 W122.35.05.548
                          N045.34.45.926 W122.35.06.563 N045.34.45.828 W122.35.06.372
                          N045.34.46.024 W122.35.05.911 N045.34.45.856 W122.35.05.813
                          N045.34.46.024 W122.35.05.548 N045.34.46.121 W122.35.05.744
                          N045.34.46.070 W122.35.06.610 N045.34.45.926 W122.35.06.563
                          N045.34.46.070 W122.35.05.888 N045.34.46.024 W122.35.05.911
                          N045.34.46.121 W122.35.05.744 N045.34.46.070 W122.35.05.888
                          N045.34.46.168 W122.35.06.084 N045.34.46.312 W122.35.06.130
                          N045.34.46.312 W122.35.06.130 N045.34.46.410 W122.35.06.321
                          N045.34.46.359 W122.35.06.470 N045.34.46.070 W122.35.06.610
                          N045.34.46.410 W122.35.06.321 N045.34.46.359 W122.35.06.470
                          N045.34.49.680 W122.35.02.613 N045.34.49.876 W122.35.03.000
                          N045.34.49.876 W122.35.03.000 N045.34.50.356 W122.35.02.762
                          N045.34.50.016 W122.35.03.289 N045.34.50.067 W122.35.03.144
                          N045.34.50.067 W122.35.03.144 N045.34.50.114 W122.35.03.121
                          N045.34.50.114 W122.35.03.121 N045.34.50.286 W122.35.03.219
                          N045.34.50.114 W122.35.03.484 N045.34.50.016 W122.35.03.289
                          N045.34.50.258 W122.35.03.773 N045.34.50.449 W122.35.04.160
                          N045.34.50.258 W122.35.03.531 N045.34.50.114 W122.35.03.484
                          N045.34.50.286 W122.35.03.219 N045.34.50.333 W122.35.03.317
                          N045.34.50.286 W122.35.03.219 N045.34.50.309 W122.35.03.028
                          N045.34.50.309 W122.35.03.508 N045.34.50.258 W122.35.03.531
                          N045.34.50.309 W122.35.03.028 N045.34.50.356 W122.35.03.000
                          N045.34.50.333 W122.35.03.317 N045.34.50.309 W122.35.03.508
                          N045.34.50.356 W122.35.03.000 N045.34.50.500 W122.35.03.051
                          N045.34.50.449 W122.35.04.160 N045.34.50.547 W122.35.04.113
                          N045.34.50.500 W122.35.03.414 N045.34.50.333 W122.35.03.317
                          N045.34.50.500 W122.35.03.051 N045.34.50.598 W122.35.03.242
                          N045.34.50.547 W122.35.04.113 N045.34.50.598 W122.35.03.605
                          N045.34.50.547 W122.35.03.386 N045.34.50.500 W122.35.03.414
                          N045.34.50.598 W122.35.03.605 N045.34.50.696 W122.35.03.559
                          N045.34.50.598 W122.35.03.242 N045.34.50.547 W122.35.03.386
                          N045.34.50.696 W122.35.03.559 N045.34.50.789 W122.35.03.629
                          N045.34.50.789 W122.35.03.629 N045.34.50.887 W122.35.03.824
                          N045.34.50.887 W122.35.03.824 N045.34.50.887 W122.35.03.945
                          N045.34.51.036 W122.35.01.570 N045.34.51.087 W122.35.01.425
                          N045.34.51.087 W122.35.01.425 N045.34.51.134 W122.35.01.397
                          N045.34.51.134 W122.35.01.397 N045.34.51.306 W122.35.01.495
                          N045.34.51.134 W122.35.01.761 N045.34.51.036 W122.35.01.570
                          N045.34.51.278 W122.35.01.812 N045.34.51.134 W122.35.01.761
                          N045.34.51.306 W122.35.01.495 N045.34.51.353 W122.35.01.593
                          N045.34.51.306 W122.35.01.495 N045.34.51.329 W122.35.01.304
                          N045.34.51.325 W122.35.02.026 N045.34.51.520 W122.35.01.933
                          N045.34.51.325 W122.35.02.147 N045.34.51.325 W122.35.02.026
                          N045.34.51.329 W122.35.01.784 N045.34.51.278 W122.35.01.812
                          N045.34.51.329 W122.35.01.304 N045.34.51.376 W122.35.01.281
                          N045.34.51.353 W122.35.01.593 N045.34.51.329 W122.35.01.784
                          N045.34.51.376 W122.35.01.281 N045.34.51.520 W122.35.01.327
                          N045.34.51.469 W122.35.02.436 N045.34.51.325 W122.35.02.147
                          N045.34.51.520 W122.35.01.933 N045.34.51.618 W122.35.02.003
                          N045.34.51.520 W122.35.01.691 N045.34.51.353 W122.35.01.593
                          N045.34.51.520 W122.35.01.327 N045.34.51.618 W122.35.01.523
                          N045.34.51.567 W122.35.01.667 N045.34.51.520 W122.35.01.691
                          N045.34.51.618 W122.35.02.003 N045.34.51.642 W122.35.01.933
                          N045.34.51.618 W122.35.01.523 N045.34.51.567 W122.35.01.667
                          N045.34.51.642 W122.35.01.933 N045.34.51.739 W122.35.01.882
                          N045.34.51.739 W122.35.01.882 N045.34.51.809 W122.35.01.910
                          N045.34.51.763 W122.35.02.296 N045.34.51.618 W122.35.02.003
                          N045.34.51.809 W122.35.01.910 N045.34.51.954 W122.35.02.199
                          N045.34.51.954 W122.35.02.199 N045.34.51.469 W122.35.02.436
                          N045.34.52.107 W122.36.53.605 N045.34.52.158 W122.36.53.456
                          N045.34.52.158 W122.36.53.456 N045.34.52.256 W122.36.53.409
                          N045.34.52.205 W122.36.53.796 N045.34.52.107 W122.36.53.605
                          N045.34.52.256 W122.36.53.409 N045.34.52.400 W122.36.53.461
                          N045.34.52.294 W122.35.20.655 N045.34.52.340 W122.35.20.511
                          N045.34.52.349 W122.36.53.843 N045.34.52.205 W122.36.53.796
                          N045.34.52.392 W122.35.20.851 N045.34.52.294 W122.35.20.655
                          N045.34.52.400 W122.36.53.461 N045.34.52.494 W122.36.53.651
                          N045.34.52.494 W122.36.53.651 N045.34.52.447 W122.36.53.796
                          N045.34.52.498 W122.36.53.288 N045.34.52.591 W122.36.53.363
                          N045.34.52.536 W122.35.20.897 N045.34.52.392 W122.35.20.851
                          N045.34.52.540 W122.36.54.471 N045.34.52.349 W122.36.54.085
                          N045.34.52.591 W122.36.53.363 N045.34.52.689 W122.36.53.554
                          N045.34.52.634 W122.35.20.366 N045.34.52.778 W122.35.20.417
                          N045.34.52.638 W122.36.53.703 N045.34.52.349 W122.36.53.843
                          N045.34.52.689 W122.36.53.554 N045.34.52.638 W122.36.53.703
                          N045.34.52.778 W122.35.20.417 N045.34.52.871 W122.35.20.608
                          N045.34.52.782 W122.36.54.350 N045.34.52.638 W122.36.54.061
                          N045.34.52.825 W122.35.20.753 N045.34.52.536 W122.35.20.897
                          N045.34.52.834 W122.36.53.847 N045.34.53.025 W122.36.54.234
                          N045.34.52.871 W122.35.20.608 N045.34.52.825 W122.35.20.753
                          N045.34.53.025 W122.36.54.234 N045.34.52.540 W122.36.54.471
                          N045.34.54.898 W122.35.36.489 N045.34.54.944 W122.35.36.344
                          N045.34.54.944 W122.35.36.344 N045.34.55.042 W122.35.36.298
                          N045.34.54.996 W122.35.36.685 N045.34.54.898 W122.35.36.489
                          N045.34.55.042 W122.35.36.298 N045.34.55.187 W122.35.36.344
                          N045.34.55.140 W122.35.36.731 N045.34.54.996 W122.35.36.685
                          N045.34.55.187 W122.35.37.071 N045.34.55.233 W122.35.36.927
                          N045.34.55.187 W122.35.36.344 N045.34.55.284 W122.35.36.540
                          N045.34.55.280 W122.35.37.262 N045.34.55.187 W122.35.37.071
                          N045.34.55.284 W122.35.36.540 N045.34.55.233 W122.35.36.685
                          N045.34.55.284 W122.35.36.177 N045.34.55.382 W122.35.36.251
                          N045.34.55.382 W122.35.36.251 N045.34.55.475 W122.35.36.442
                          N045.34.55.429 W122.35.37.313 N045.34.55.280 W122.35.37.262
                          N045.34.55.429 W122.35.36.587 N045.34.55.140 W122.35.36.731
                          N045.34.55.475 W122.35.36.442 N045.34.55.429 W122.35.36.587
                          N045.34.55.527 W122.35.36.782 N045.34.55.671 W122.35.36.829
                          N045.34.55.671 W122.35.36.829 N045.34.55.764 W122.35.37.025
                          N045.34.55.718 W122.35.37.169 N045.34.55.429 W122.35.37.313
                          N045.34.55.764 W122.35.37.025 N045.34.55.718 W122.35.37.169
                          N045.34.56.807 W122.37.00.066 N045.34.56.835 W122.36.59.992
                          N045.34.56.807 W122.37.00.187 N045.34.56.807 W122.37.00.066
                          N045.34.56.835 W122.36.59.992 N045.34.56.928 W122.36.59.945
                          N045.34.56.854 W122.36.46.962 N045.34.57.096 W122.36.46.841
                          N045.34.56.854 W122.36.47.083 N045.34.56.854 W122.36.46.962
                          N045.34.56.858 W122.37.00.285 N045.34.56.807 W122.37.00.187
                          N045.34.56.928 W122.36.59.945 N045.34.57.003 W122.36.59.968
                          N045.34.56.947 W122.36.47.274 N045.34.56.854 W122.36.47.083
                          N045.34.56.952 W122.37.00.355 N045.34.56.858 W122.37.00.285
                          N045.34.57.003 W122.36.59.968 N045.34.57.101 W122.37.00.043
                          N045.34.57.026 W122.37.00.378 N045.34.56.952 W122.37.00.355
                          N045.34.57.045 W122.36.47.349 N045.34.56.947 W122.36.47.274
                          N045.34.57.096 W122.36.46.841 N045.34.57.143 W122.36.46.939
                          N045.34.57.101 W122.37.00.043 N045.34.57.147 W122.37.00.141
                          N045.34.57.143 W122.36.46.939 N045.34.57.236 W122.36.47.130
                          N045.34.57.147 W122.37.00.141 N045.34.57.245 W122.36.59.852
                          N045.34.57.236 W122.36.47.251 N045.34.57.478 W122.36.47.130
                          N045.34.57.236 W122.36.47.130 N045.34.57.236 W122.36.47.251
                          N045.34.57.245 W122.36.59.852 N045.34.57.389 W122.37.00.141
                          N045.34.57.282 W122.36.47.950 N045.34.57.091 W122.36.47.563
                          N045.34.57.478 W122.36.47.130 N045.34.57.287 W122.36.46.743
                          N045.34.57.525 W122.36.47.833 N045.34.57.380 W122.36.47.540
                          N045.34.57.576 W122.36.47.325 N045.34.57.767 W122.36.47.712
                          N045.34.57.767 W122.36.47.712 N045.34.57.282 W122.36.47.950
                          N045.34.58.224 W122.34.05.860 N045.34.58.802 W122.34.05.809
                          N045.34.58.513 W122.34.05.832 N045.34.58.611 W122.34.06.028
                          N045.34.58.802 W122.34.05.809 N045.34.58.415 W122.34.06.247
