SFF LABELS                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.40.43.622 W117.19.46.519 N047.40.44.018 W117.19.46.678
                          N047.40.43.818 W117.19.46.599 N047.40.43.818 W117.19.46.757
                          N047.40.44.018 W117.19.46.678 N047.40.43.622 W117.19.46.836
                          N047.40.44.316 W117.19.51.737 N047.40.44.712 W117.19.51.895
                          N047.40.44.512 W117.19.51.816 N047.40.44.512 W117.19.51.974
                          N047.40.44.712 W117.19.51.895 N047.40.44.316 W117.19.52.053
                          N047.40.45.299 W117.19.52.356 N047.40.45.839 W117.19.52.356
                          N047.40.45.299 W117.19.51.923 N047.40.45.299 W117.19.52.356
                          N047.40.45.462 W117.19.53.004 N047.40.45.839 W117.19.52.734
                          N047.40.45.462 W117.19.52.571 N047.40.45.462 W117.19.53.004
                          N047.40.45.839 W117.19.52.734 N047.40.45.299 W117.19.52.734
                          N047.40.47.074 W117.19.30.634 N047.40.47.470 W117.19.30.793
                          N047.40.47.269 W117.19.30.713 N047.40.47.269 W117.19.30.872
                          N047.40.47.470 W117.19.30.793 N047.40.47.074 W117.19.30.951
                          N047.40.48.634 W117.19.30.774 N047.40.48.714 W117.19.30.695
                          N047.40.48.634 W117.19.30.932 N047.40.48.634 W117.19.30.774
                          N047.40.48.714 W117.19.31.012 N047.40.48.634 W117.19.30.932
                          N047.40.48.951 W117.19.31.012 N047.40.48.714 W117.19.31.012
                          N047.40.48.951 W117.19.30.695 N047.40.49.030 W117.19.30.774
                          N047.40.49.030 W117.19.30.932 N047.40.48.951 W117.19.31.012
                          N047.40.49.030 W117.19.30.774 N047.40.49.030 W117.19.30.932
                          N047.40.49.813 W117.19.24.718 N047.40.49.813 W117.19.24.457
                          N047.40.49.976 W117.19.24.718 N047.40.49.976 W117.19.24.522
                          N047.40.50.134 W117.19.24.718 N047.40.49.813 W117.19.24.718
                          N047.40.50.134 W117.19.24.457 N047.40.50.134 W117.19.24.718
                          N047.40.50.903 W117.19.15.821 N047.40.51.299 W117.19.15.984
                          N047.40.51.103 W117.19.15.900 N047.40.51.103 W117.19.16.063
                          N047.40.51.248 W117.19.26.404 N047.40.51.248 W117.19.26.144
                          N047.40.51.299 W117.19.15.984 N047.40.50.903 W117.19.16.137
                          N047.40.51.406 W117.19.26.404 N047.40.51.406 W117.19.26.209
                          N047.40.51.499 W117.19.21.462 N047.40.51.541 W117.19.21.383
                          N047.40.51.499 W117.19.21.699 N047.40.51.499 W117.19.21.462
                          N047.40.51.541 W117.19.21.383 N047.40.51.700 W117.19.21.383
                          N047.40.51.569 W117.19.26.404 N047.40.51.248 W117.19.26.404
                          N047.40.51.569 W117.19.26.144 N047.40.51.569 W117.19.26.404
                          N047.40.51.700 W117.19.21.383 N047.40.51.737 W117.19.21.462
                          N047.40.51.737 W117.19.21.462 N047.40.51.779 W117.19.21.425
                          N047.40.51.737 W117.19.21.699 N047.40.51.737 W117.19.21.462
                          N047.40.51.779 W117.19.21.425 N047.40.51.858 W117.19.21.425
                          N047.40.51.783 W117.19.26.148 N047.40.51.984 W117.19.26.227
                          N047.40.51.858 W117.19.21.425 N047.40.51.895 W117.19.21.462
                          N047.40.51.895 W117.19.21.699 N047.40.51.499 W117.19.21.699
                          N047.40.51.895 W117.19.21.462 N047.40.51.895 W117.19.21.699
                          N047.40.51.905 W117.19.26.940 N047.40.52.179 W117.19.26.744
                          N047.40.51.905 W117.19.26.623 N047.40.51.905 W117.19.26.940
                          N047.40.51.984 W117.19.26.227 N047.40.52.021 W117.19.26.148
                          N047.40.51.984 W117.19.26.465 N047.40.51.984 W117.19.26.227
                          N047.40.52.021 W117.19.26.148 N047.40.52.142 W117.19.26.148
                          N047.40.52.142 W117.19.26.148 N047.40.52.179 W117.19.26.227
                          N047.40.52.179 W117.19.26.744 N047.40.51.783 W117.19.26.744
                          N047.40.52.179 W117.19.26.465 N047.40.51.783 W117.19.26.465
                          N047.40.52.179 W117.19.26.227 N047.40.52.179 W117.19.26.465
                          N047.40.52.277 W117.19.13.743 N047.40.52.356 W117.19.13.664
                          N047.40.52.277 W117.19.13.981 N047.40.52.277 W117.19.13.743
                          N047.40.52.277 W117.19.13.981 N047.40.52.277 W117.19.13.981
                          N047.40.52.356 W117.19.13.664 N047.40.52.594 W117.19.13.664
                          N047.40.52.496 W117.19.34.859 N047.40.52.575 W117.19.34.780
                          N047.40.52.496 W117.19.35.018 N047.40.52.496 W117.19.34.859
                          N047.40.52.575 W117.19.35.097 N047.40.52.496 W117.19.35.018
                          N047.40.52.594 W117.19.13.664 N047.40.52.673 W117.19.13.743
                          N047.40.52.673 W117.19.13.981 N047.40.52.277 W117.19.13.981
                          N047.40.52.673 W117.19.13.743 N047.40.52.673 W117.19.13.981
                          N047.40.52.813 W117.19.35.097 N047.40.52.575 W117.19.35.097
                          N047.40.52.813 W117.19.34.780 N047.40.52.892 W117.19.34.859
                          N047.40.52.892 W117.19.35.018 N047.40.52.813 W117.19.35.097
                          N047.40.52.892 W117.19.34.859 N047.40.52.892 W117.19.35.018
                          N047.40.55.450 W117.19.16.892 N047.40.55.529 W117.19.16.813
                          N047.40.55.450 W117.19.17.130 N047.40.55.450 W117.19.16.892
                          N047.40.55.450 W117.19.17.130 N047.40.55.450 W117.19.17.130
                          N047.40.55.529 W117.19.16.813 N047.40.55.766 W117.19.16.813
                          N047.40.55.752 W117.18.57.378 N047.40.56.148 W117.18.57.536
                          N047.40.55.766 W117.19.16.813 N047.40.55.846 W117.19.16.892
                          N047.40.55.846 W117.19.17.130 N047.40.55.450 W117.19.17.130
                          N047.40.55.846 W117.19.16.892 N047.40.55.846 W117.19.17.130
                          N047.40.55.948 W117.18.57.457 N047.40.55.948 W117.18.57.616
                          N047.40.56.148 W117.18.57.536 N047.40.55.752 W117.18.57.695
                          N047.40.58.217 W117.19.08.022 N047.40.58.254 W117.19.07.943
                          N047.40.58.217 W117.19.08.260 N047.40.58.217 W117.19.08.022
                          N047.40.58.254 W117.19.07.943 N047.40.58.412 W117.19.07.943
                          N047.40.58.412 W117.19.07.943 N047.40.58.454 W117.19.08.022
