PAE_DEVYN                 N000.00.00.000 W000.00.00.000 N000.00.00.000 W000.00.00.000
                          N047.44.51.200 W118.06.19.180 N047.52.06.000 W119.27.46.000
                          N047.52.06.000 W119.27.46.000 N047.57.00.000 W120.30.00.000
                          N047.57.00.000 W120.30.00.000 N047.59.27.000 W121.10.22.000
                          N047.59.27.000 W121.10.22.000 N048.00.40.000 W121.33.36.000
                          N048.00.40.000 W121.33.36.000 N047.59.39.030 W121.39.49.300
                          N047.59.39.030 W121.39.49.300 N047.58.06.000 W121.49.55.590
                          N047.58.06.000 W121.49.55.590 N047.58.05.640 W122.05.14.520
                          N047.58.05.640 W122.05.14.520 N048.03.04.920 W122.09.50.150
                          N047.58.06.000 W121.49.55.590 N047.50.37.070 W121.59.37.880
                          N047.50.37.070 W121.59.37.880 N047.44.47.510 W122.07.10.180
                          N047.44.47.510 W122.07.10.180 N047.44.50.350 W122.16.55.130
