;(S16)                     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N046.04.03.000 W121.57.15.000 N046.27.38.000 W120.57.19.000 sector  ;9-12
                          N046.27.38.000 W120.57.19.000 N045.43.00.000 W119.29.00.000 sector  ;12-13
                          N045.43.00.000 W119.29.00.000 N045.07.48.000 W118.03.42.000 sector  ;13-15
                          N045.07.48.000 W118.03.42.000 N044.51.00.000 W118.27.00.000 sector  ;15-16
                          N044.51.00.000 W118.27.00.000 N043.44.00.000 W119.13.00.000 sector  ;16-18
                          N043.44.00.000 W119.13.00.000 N044.10.00.000 W119.45.00.000 sector  ;18-19
                          N044.10.00.000 W119.45.00.000 N044.10.00.000 W121.15.49.000 sector  ;19-20
                          N044.10.00.000 W121.15.49.000 N044.50.52.000 W121.26.04.000 sector  ;20-33
                          N044.50.52.000 W121.26.04.000 N045.00.13.000 W121.42.17.000 sector  ;33-32
                          N045.00.13.000 W121.42.17.000 N046.04.03.000 W121.57.15.000 sector  ;32-9


