;(BL)                      N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N045.48.35.000 W126.50.49.000 N046.20.25.000 W125.43.37.000  ; 1-3
                          N046.20.25.000 W125.43.37.000 N046.20.00.000 W123.50.00.000  ; 3-5
                          N046.20.00.000 W123.50.00.000 N046.50.00.000 W123.14.00.000  ; 5-6
                          N046.50.00.000 W123.14.00.000 N046.42.30.000 W122.31.30.000  ; 6-7
                          N046.42.30.000 W122.31.30.000 N046.20.00.000 W122.35.00.000  ; 7-8
                          N046.20.00.000 W122.35.00.000 N046.00.00.000 W122.30.00.000  ; 8-10
                          N046.00.00.000 W122.30.00.000 N046.00.00.000 W122.24.00.000  ; 10-Nonumber
                          N046.00.00.000 W122.24.00.000 N046.00.00.000 W122.10.00.000  ; Nonumber-11
                          N046.00.00.000 W122.10.00.000 N046.16.49.000 W121.23.53.000  ; 11-13
                          N046.16.49.000 W121.23.53.000 N045.45.00.000 W120.24.00.000  ; 13-14
                          N045.45.00.000 W120.24.00.000 N045.16.00.000 W118.27.00.000  ; 14-15
                          N045.16.00.000 W118.27.00.000 N044.51.00.000 W118.27.00.000  ; 15-16
                          N044.51.00.000 W118.27.00.000 N043.38.00.000 W119.17.00.000  ; 16-19
                          N043.38.00.000 W119.17.00.000 N043.32.00.000 W119.15.00.000  ; 19-20
                          N043.32.00.000 W119.15.00.000 N043.25.00.000 W119.23.00.000  ; 20-21
                          N043.25.00.000 W119.23.00.000 N043.26.12.000 W120.18.00.000  ; 21-46
                          N043.26.12.000 W120.18.00.000 N043.26.00.000 W121.54.00.000  ; 46-22
                          N043.26.00.000 W121.54.00.000 N043.47.21.000 W121.58.59.000  ; 22-23
                          N043.47.21.000 W121.58.59.000 N044.03.00.000 W122.59.00.000  ; 23-25
                          N044.03.00.000 W122.59.00.000 N044.05.00.000 W123.17.00.000  ; 25-26
                          N044.05.00.000 W123.17.00.000 N044.00.00.000 W123.38.00.000  ; 26-28
                          N044.00.00.000 W123.38.00.000 N044.00.00.000 W125.30.00.000  ; 28-29
                          N044.00.00.000 W125.30.00.000 N043.32.00.000 W126.40.00.000  ; 29-30
                          N043.32.00.000 W126.40.00.000 N045.00.00.000 W126.30.00.000  ; 30-33
                          N045.00.00.000 W126.30.00.000 N045.48.35.000 W126.50.49.000  ; 33-1


