;(CH) 128.45               N048.44.32.820 W119.47.33.047 N048.44.32.820 W119.47.33.047 sector
                          N048.06.30.000 W120.28.40.000 N049.00.00.000 W120.00.00.000 sector  ; 23-1
                          N047.25.10.000 W120.14.00.000 N048.06.30.000 W120.28.40.000 sector  ; 22-23
                          N049.00.00.000 W116.48.04.000 N049.00.00.000 W114.40.00.000 sector  ; 2-3
                          N049.00.00.000 W120.00.00.000 N049.00.00.000 W116.48.04.000 sector  ; 1-2
                          N049.00.00.000 W114.40.00.000 N048.25.00.000 W115.00.00.000 sector  ; 3-6
                          N048.25.00.000 W115.00.00.000 N047.09.00.000 W115.00.00.000 sector  ; 6-7
                          N045.20.00.000 W115.00.00.000 N047.09.00.000 W115.00.00.000 sector  ; 8-7
                          N047.08.00.000 W120.22.00.000 N047.17.54.000 W120.08.03.000 sector  ; 19-20
                          N047.17.54.000 W120.08.03.000 N047.36.17.000 W120.06.08.000 sector  ; 20-21
                          N048.06.30.000 W120.28.40.000 N047.36.17.000 W120.06.08.000 sector  ; 23-21
                          N047.25.10.000 W120.14.00.000 N047.36.17.000 W120.06.08.000 sector  ; 22-21
                          N047.08.00.000 W120.22.00.000 N046.35.00.000 W120.40.00.000 sector  ; 19-16
                          N046.27.38.000 W120.57.19.000 N046.35.00.000 W120.40.00.000 sector  ; 15-16
                          N046.35.00.000 W120.40.00.000 N046.27.38.000 W120.57.19.000 sector
                          N046.27.38.000 W120.57.19.000 N045.43.00.000 W119.29.00.000 sector  ; 15-14
                          N045.43.00.000 W119.29.00.000 N045.19.00.000 W118.30.00.000 sector  ; 14-13
                          N045.19.00.000 W118.30.00.000 N045.07.48.000 W117.55.00.000 sector  ; 13-12
                          N045.07.48.000 W117.55.00.000 N045.20.00.000 W117.45.00.000 sector  ; 12-10
                          N045.20.00.000 W117.45.00.000 N045.20.00.000 W117.00.36.000 sector  ; 10-9
                          N045.20.00.000 W115.00.00.000 N045.20.00.000 W117.00.36.000 sector  ; 8-9


