;(S47)                    N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N047.08.00.000 W120.22.00.000 N046.35.00.000 W120.40.00.000 sector  ; 19-16
                          N046.27.38.000 W120.57.19.000 N046.35.00.000 W120.40.00.000 sector  ; 15-16
                          N046.35.00.000 W120.40.00.000 N046.27.38.000 W120.57.19.000 sector
                          N046.27.38.000 W120.57.19.000 N045.43.00.000 W119.29.00.000 sector  ; 15-14
                          N045.43.00.000 W119.29.00.000 N045.19.00.000 W118.30.00.000 sector  ; 14-13
                          N045.19.00.000 W118.30.00.000 N045.07.48.000 W117.55.00.000 sector  ; 13-12
                          N045.07.48.000 W117.55.00.000 N045.20.00.000 W117.45.00.000 sector  ; 12-10
                          N045.20.00.000 W117.45.00.000 N045.20.00.000 W117.00.36.000 sector  ; 10-9
                          N047.08.00.000 W120.22.00.000 N046.38.45.000 W118.54.50.000 sector  ; 19-26
                          N046.25.26.000 W118.16.43.000 N046.38.45.000 W118.54.50.000 sector  ; 27-26
                          N046.25.26.000 W118.16.43.000 N045.20.00.000 W117.00.36.000 sector  ; 27-9


