;(CL)                      N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N049.00.00.000 W116.48.04.000 N049.00.00.000 W114.40.00.000  ; 2-3
                          N049.00.00.000 W120.00.00.000 N049.00.00.000 W116.48.04.000  ; 1-2
                          N049.00.00.000 W114.40.00.000 N048.25.00.000 W115.00.00.000  ; 3-4
                          N048.25.00.000 W115.00.00.000 N045.20.00.000 W115.00.00.000  ; 4-5
                          N045.20.00.000 W117.30.00.000 N045.20.00.000 W115.00.00.000  ; 6-5
                          N045.20.00.000 W117.30.00.000 N045.20.00.000 W117.45.00.000  ; 6-7
                          N044.51.00.000 W118.27.00.000 N045.20.00.000 W117.45.00.000  ; 10-7
                          N044.51.00.000 W118.27.00.000 N045.16.00.000 W119.54.00.000  ; 10-11
                          N045.16.00.000 W119.54.00.000 N045.45.00.000 W120.24.00.000  ; 11-12
                          N045.45.00.000 W120.24.00.000 N046.16.49.000 W121.23.53.000  ; 12-13
                          N046.16.49.000 W121.23.53.000 N046.23.20.000 W121.07.34.000  ; 13-14
                          N046.23.20.000 W121.07.34.000 N046.35.00.000 W120.40.00.000  ; 14-29
                          N046.35.00.000 W120.40.00.000 N046.55.20.000 W120.28.58.000  ; 29-27
                          N046.55.20.000 W120.28.58.000 N047.08.00.000 W120.22.00.000  ; 27-26
                          N047.08.00.000 W120.22.00.000 N047.17.54.000 W120.08.03.000  ; 26-25
                          N047.17.54.000 W120.08.03.000 N047.36.17.000 W120.06.08.000  ; 25-24
                          N047.36.17.000 W120.06.08.000 N047.52.10.000 W120.14.00.000  ; 24-23
                          N047.52.10.000 W120.14.00.000 N048.06.30.000 W120.28.40.000  ; 23-20
                          N048.06.30.000 W120.28.40.000 N049.00.00.000 W120.00.00.000  ; 20-1
                          N046.23.20.000 W121.07.34.000 N046.24.30.000 W121.11.30.000  ; 14-15
                          N046.24.30.000 W121.11.30.000 N046.42.00.000 W121.03.00.000  ; 15-16
                          N046.42.00.000 W121.03.00.000 N046.56.30.000 W120.54.45.000  ; 16-17
                          N046.56.30.000 W120.54.45.000 N047.13.00.000 W120.45.00.000  ; 17-18
                          N047.13.00.000 W120.45.00.000 N047.44.00.000 W120.39.00.000  ; 18-19
                          N048.06.30.000 W120.28.40.000 N047.44.00.000 W120.39.00.000  ; 19-20
                          N047.13.00.000 W120.45.00.000 N047.08.00.000 W120.22.00.000  ; 18-26
                          N046.56.30.000 W120.54.45.000 N046.55.20.000 W120.28.58.000  ; 17-27
                          N046.42.00.000 W121.03.00.000 N046.35.00.000 W120.40.00.000  ; 16-29


