;(S8)                      N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N049.00.00.000 W116.48.04.000 N049.00.00.000 W114.40.00.000 sector  ; 2-3
                          N049.00.00.000 W114.40.00.000 N048.25.00.000 W115.00.00.000 sector  ; 3-4
                          N048.25.00.000 W115.00.00.000 N045.20.00.000 W115.00.00.000 sector  ; 4-5
                          N045.20.00.000 W117.30.00.000 N045.20.00.000 W115.00.00.000 sector  ; 6-5
                          N045.20.00.000 W117.30.00.000 N045.43.00.000 W117.30.00.000 sector  ; 6-37
                          N045.43.00.000 W117.30.00.000 N046.00.00.000 W118.20.00.000 sector  ; 37-35
                          N046.00.00.000 W118.20.00.000 N046.22.00.000 W118.52.00.000 sector  ; 35-34
                          N046.22.00.000 W118.52.00.000 N046.23.00.000 W118.42.00.000 sector  ; 34-38
                          N046.23.00.000 W118.42.00.000 N047.14.33.000 W117.57.27.000 sector  ; 38-41
                          N047.14.33.000 W117.57.27.000 N047.29.00.000 W117.35.30.000 sector  ; 41-42
                          N047.29.00.000 W117.35.30.000 N047.33.45.000 W117.35.30.000 sector  ; 42-43
                          N047.33.45.000 W117.35.30.000 N047.39.01.000 W117.43.43.000 sector  ; 43-44
                          N047.39.01.000 W117.43.43.000 N049.00.00.000 W116.48.04.000 sector  ; 44-2


