;(S18R)                    N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N049.00.00.000 W120.00.00.000 N049.00.00.000 W116.48.04.000 sector ; 1-2
                          N048.06.30.000 W120.28.40.000 N049.00.00.000 W120.00.00.000 sector ; 20-1
                          N046.22.00.000 W118.52.00.000 N046.23.00.000 W118.42.00.000 sector ; 34-38
                          N046.23.00.000 W118.42.00.000 N047.14.33.000 W117.57.27.000 sector ; 38-41
                          N047.14.33.000 W117.57.27.000 N047.29.00.000 W117.35.30.000 sector ; 41-42
                          N047.29.00.000 W117.35.30.000 N047.33.45.000 W117.35.30.000 sector ; 42-43
                          N047.33.45.000 W117.35.30.000 N047.39.01.000 W117.43.43.000 sector ; 43-44
                          N047.39.01.000 W117.43.43.000 N049.00.00.000 W116.48.04.000 sector ; 44-2
                          N047.08.00.000 W120.22.00.000 N047.09.00.000 W119.58.00.000 sector ; 26-31
                          N047.09.00.000 W119.58.00.000 N046.22.00.000 W118.52.00.000 sector ; 31-34
                          N047.13.00.000 W120.45.00.000 N047.44.00.000 W120.39.00.000 sector ; 18-19
                          N048.06.30.000 W120.28.40.000 N047.44.00.000 W120.39.00.000 sector ; 19-20
                          N047.08.00.000 W120.22.00.000 N047.17.54.000 W120.08.03.000 sector ; 26-25
                          N047.17.54.000 W120.08.03.000 N047.36.17.000 W120.06.08.000 sector ; 25-24
                          N047.36.17.000 W120.06.08.000 N047.52.10.000 W120.14.00.000 sector ; 24-23
                          N047.52.10.000 W120.14.00.000 N048.06.30.000 W120.28.40.000 sector ; 23-20
                          N047.13.00.000 W120.45.00.000 N047.08.00.000 W120.22.00.000 sector ; 18-26


