;(DL)                      N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N043.32.00.000 W126.40.00.000 N044.00.00.000 W125.30.00.000 ; 1-2
                          N044.00.00.000 W125.30.00.000 N044.00.00.000 W123.38.00.000 ; 2-3
                          N044.00.00.000 W123.38.00.000 N044.05.00.000 W123.17.00.000 ; 3-5
                          N044.05.00.000 W123.17.00.000 N044.03.00.000 W122.59.00.000 ; 5-6
                          N044.03.00.000 W122.59.00.000 N043.55.49.000 W122.35.11.000 ; 6-7
                          N043.55.49.000 W122.35.11.000 N043.47.21.000 W121.58.59.000 ; 7-8
                          N043.47.21.000 W121.58.59.000 N043.26.00.000 W121.54.00.000 ; 8-9
                          N043.26.00.000 W121.54.00.000 N043.26.00.000 W119.23.00.000 ; 9-10
                          N043.26.00.000 W119.23.00.000 N043.32.00.000 W119.15.00.000 ; 10-11
                          N043.32.00.000 W119.15.00.000 N042.40.00.000 W119.00.00.000 ; 11-12
                          N042.40.00.000 W119.00.00.000 N041.00.00.000 W119.30.00.000 ; 12-14
                          N041.00.00.000 W119.30.00.000 N041.00.00.000 W121.15.00.000 ; 14-16
                          N041.00.00.000 W121.15.00.000 N041.17.30.000 W122.16.30.000 ; 16-19
                          N041.17.30.000 W122.16.30.000 N041.20.00.000 W122.25.00.000 ; 19-20
                          N041.20.00.000 W122.25.00.000 N041.20.00.000 W123.32.00.000 ; 20-21
                          N041.20.00.000 W123.32.00.000 N040.23.15.000 W123.32.00.000 ; 21-22
                          N040.23.15.000 W123.32.00.000 N040.13.00.000 W123.50.00.000 ; 22-23
                          N040.13.00.000 W123.50.00.000 N040.13.00.000 W125.20.00.000 ; 23-24
                          N040.13.00.000 W125.20.00.000 N040.59.00.000 W126.54.00.000 ; 24-26
                          N040.59.00.000 W126.54.00.000 N042.25.00.000 W126.47.00.000 ; 26-28
                          N043.32.00.000 W126.40.00.000 N042.25.00.000 W126.47.00.000 ; 1-28


