(SEA-ZSE)                 N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000 ZSEHO
                          N046.00.00.477 W122.29.59.230 N046.05.42.432 W122.32.16.124
                          N046.05.42.432 W122.32.16.124 N046.20.00.672 W122.34.59.279
                          N046.20.00.672 W122.34.59.279 N046.42.30.612 W122.31.29.189
                          N046.35.00.260 W120.40.01.509 N046.42.00.440 W121.03.01.063
                          N046.42.00.440 W121.03.01.063 N047.00.26.206 W121.51.33.268
                          N046.42.30.612 W122.31.29.189 N046.56.10.299 W122.29.11.177
                          N046.56.10.299 W122.29.11.177 N047.23.00.058 W122.29.59.230
                          N046.59.23.308 W122.10.21.602 N046.59.23.308 W122.10.08.830
                          N046.59.23.308 W122.08.54.456 N046.59.32.323 W122.08.41.685
                          N046.59.23.308 W122.10.08.830 N046.59.32.323 W122.09.56.059
                          N046.59.23.308 W122.15.42.386 N046.59.41.338 W122.15.30.366
                          N046.59.23.308 W122.16.07.929 N046.59.23.308 W122.15.42.386
                          N046.59.23.308 W122.09.19.999 N046.59.23.308 W122.08.54.456
                          N046.59.23.308 W122.05.30.116 N046.59.32.323 W122.05.18.096
                          N046.59.23.308 W122.05.55.658 N046.59.23.308 W122.05.30.116
                          N046.59.23.308 W122.08.05.625 N046.59.23.308 W122.08.05.625
                          N046.59.23.308 W122.07.58.864 N046.59.32.323 W122.07.58.864
                          N046.59.23.308 W122.08.05.625 N046.59.23.308 W122.07.58.864
                          N046.59.32.323 W122.08.41.685 N047.00.17.398 W122.08.41.685
                          N046.59.32.323 W122.09.32.019 N046.59.23.308 W122.09.19.999
                          N046.59.32.323 W122.09.56.059 N046.59.41.338 W122.09.50.049
                          N046.59.32.323 W122.10.34.373 N046.59.23.308 W122.10.21.602
                          N046.59.32.323 W122.05.18.096 N047.00.17.398 W122.05.18.096
                          N046.59.32.323 W122.06.08.430 N046.59.23.308 W122.05.55.658
                          N046.59.32.323 W122.08.05.625 N046.59.23.308 W122.08.05.625
                          N046.59.32.323 W122.07.58.864 N046.59.32.323 W122.08.05.625
                          N046.59.41.338 W122.16.20.700 N046.59.23.308 W122.16.07.929
                          N046.59.41.338 W122.15.30.366 N046.59.59.368 W122.15.30.366
                          N046.59.41.338 W122.10.40.383 N046.59.32.323 W122.10.34.373
                          N046.59.41.338 W122.09.50.049 N046.59.59.368 W122.09.50.049
                          N046.59.50.353 W122.07.16.042 N047.00.53.459 W122.06.44.490
