(YKM-ZSE)                 N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000 ZSEHO
						  N045.16.00.000 W119.54.00.000 N045.45.00.000 W120.24.00.000 ZSEHO
                          N045.43.00.000 W119.28.60.000 N046.27.38.000 W120.57.19.000 ZSEHO
                          N045.45.00.000 W120.24.00.000 N046.16.49.000 W121.23.53.000 ZSEHO
                          N045.48.41.820 W120.47.05.158 N045.48.41.820 W120.47.29.949 ZSEHO
                          N045.48.41.820 W120.46.09.565 N045.48.50.835 W120.46.09.565 ZSEHO
                          N045.48.41.820 W120.47.29.949 N045.48.50.835 W120.47.42.721 ZSEHO
                          N045.48.41.820 W120.55.07.462 N045.48.50.835 W120.54.54.691 ZSEHO
                          N045.48.41.820 W120.55.20.233 N045.48.41.820 W120.55.07.462 ZSEHO
                          N045.48.41.820 W120.46.15.575 N045.48.41.820 W120.46.09.565 ZSEHO
                          N045.48.41.820 W120.43.40.817 N045.48.50.835 W120.43.28.046 ZSEHO
                          N045.48.41.820 W120.44.06.360 N045.48.41.820 W120.43.40.817 ZSEHO
                          N045.48.41.820 W120.45.13.973 N045.48.41.820 W120.44.49.181 ZSEHO
                          N045.48.41.820 W120.46.15.575 N045.48.41.820 W120.46.15.575 ZSEHO
                          N045.48.41.820 W120.44.49.181 N045.48.59.850 W120.44.36.410 ZSEHO
                          N045.48.50.835 W120.46.15.575 N045.48.41.820 W120.46.15.575 ZSEHO
                          N045.48.50.835 W120.55.32.253 N045.48.41.820 W120.55.20.233 ZSEHO
                          N045.48.50.835 W120.54.54.691 N045.48.59.850 W120.54.48.681 ZSEHO
                          N045.48.50.835 W120.44.18.380 N045.48.41.820 W120.44.06.360 ZSEHO
                          N045.48.50.835 W120.43.28.046 N045.49.35.910 W120.43.28.046 ZSEHO
                          N045.48.50.835 W120.46.09.565 N045.48.50.835 W120.46.15.575 ZSEHO
                          N045.48.59.850 W120.55.39.014 N045.48.50.835 W120.55.32.253 ZSEHO
                          N045.48.59.850 W120.54.48.681 N045.49.17.880 W120.54.48.681 ZSEHO
                          N045.48.59.850 W120.46.52.387 N045.48.41.820 W120.47.05.158 ZSEHO
                          N045.48.59.850 W120.45.26.744 N045.48.41.820 W120.45.13.973 ZSEHO
                          N045.48.59.850 W120.44.36.410 N045.49.17.880 W120.44.36.410 ZSEHO
                          N045.49.08.865 W120.54.30.651 N045.50.11.219 W120.53.59.098 ZSEHO
                          N045.49.08.865 W120.53.40.317 N045.49.08.865 W120.54.30.651 ZSEHO
                          N045.49.17.880 W120.51.30.350 N045.49.17.880 W120.52.08.664 ZSEHO
                          N045.49.17.880 W120.54.48.681 N045.49.26.895 W120.54.54.691 ZSEHO
                          N045.49.17.880 W120.47.29.949 N045.49.35.910 W120.47.42.721 ZSEHO
                          N045.49.17.880 W120.44.36.410 N045.49.35.910 W120.44.49.181 ZSEHO
                          N045.49.17.880 W120.47.05.158 N045.49.17.880 W120.47.29.949 ZSEHO
                          N045.49.26.895 W120.54.54.691 N045.49.35.910 W120.55.07.462 ZSEHO
                          N045.49.26.895 W120.44.18.380 N045.50.11.219 W120.44.18.380 ZSEHO
                          N045.49.35.910 W120.47.42.721 N045.49.53.940 W120.47.42.721 ZSEHO
                          N045.49.35.910 W120.46.52.387 N045.49.17.880 W120.47.05.158 ZSEHO
                          N045.49.35.910 W120.55.20.233 N045.50.11.219 W120.54.54.691 ZSEHO
                          N045.49.35.910 W120.55.07.462 N045.49.35.910 W120.55.20.233 ZSEHO
                          N045.49.35.910 W120.45.13.973 N045.49.17.880 W120.45.26.744 ZSEHO
                          N045.49.35.910 W120.43.40.817 N045.49.35.910 W120.44.06.360 ZSEHO
                          N045.49.35.910 W120.43.28.046 N045.49.35.910 W120.43.40.817 ZSEHO
                          N045.49.35.910 W120.44.49.181 N045.49.35.910 W120.45.13.973 ZSEHO
                          N045.49.35.910 W120.44.06.360 N045.49.26.895 W120.44.18.380 ZSEHO
                          N045.49.44.925 W120.49.52.687 N045.50.11.219 W120.49.33.155 ZSEHO
