; Bodies of water (2021-04-07)
water N049.00.12.717 W123.05.22.064
      N048.58.21.741 W123.04.47.952
      N048.58.44.414 W123.02.20.762
      N048.58.30.228 W123.01.35.773
      N048.56.34.899 W122.49.06.121
      N048.53.20.249 W122.47.15.599
      N048.51.49.419 W122.44.46.981
      N048.51.14.194 W122.43.19.530
      N048.50.39.766 W122.42.46.324
      N048.49.33.463 W122.42.29.268
      N048.47.23.591 W122.42.32.179
      N048.43.57.721 W122.40.17.267
      N048.44.08.378 W122.41.21.537
      N048.44.55.207 W122.42.51.707
      N048.43.56.581 W122.43.16.729
      N048.43.38.440 W122.43.06.237
      N048.43.23.252 W122.43.20.491
      N048.42.53.630 W122.42.59.782
      N048.42.56.074 W122.42.10.701
      N048.42.33.566 W122.41.20.768
      N048.41.27.744 W122.40.34.323
      N048.40.44.705 W122.40.20.590
      N048.40.44.980 W122.40.03.397
      N048.39.02.134 W122.37.57.136
      N048.38.59.525 W122.37.10.417
      N048.38.25.165 W122.36.32.404
      N048.38.41.864 W122.36.28.065
      N048.38.46.355 W122.29.25.860
      N048.35.18.507 W122.33.17.397
      N048.35.22.009 W122.38.38.939
      N048.36.31.003 W122.39.32.745
      N048.36.42.786 W122.39.23.324
      N048.36.50.875 W122.39.38.348
      N048.37.14.193 W122.39.36.672
      N048.37.43.541 W122.40.14.465
      N048.39.42.605 W122.44.28.991
      N048.40.29.929 W122.47.07.908
      N048.42.04.864 W122.50.22.971
      N048.42.22.209 W122.51.20.127
      N048.42.21.577 W122.51.56.986
      N048.42.44.319 W122.52.29.780
      N048.42.58.107 W122.53.39.104
      N048.42.39.045 W122.56.00.965
      N048.42.43.261 W122.56.45.377
      N048.45.56.387 W123.01.20.887
      N048.46.08.761 W123.00.39.551
      N048.49.30.126 W123.00.40.045
      N049.00.13.033 W123.19.31.609
      N049.00.12.717 W123.05.26.486
background N048.47.14.830 W122.57.59.700
      N048.46.55.823 W122.57.04.823
      N048.46.59.792 W122.56.28.074
      N048.47.14.843 W122.56.23.707
      N048.47.12.069 W122.57.27.592
      N048.47.24.759 W122.58.02.529
      N048.47.18.029 W122.58.07.198
background N048.46.01.290 W122.55.07.104
      N048.45.54.588 W122.55.09.329
      N048.45.50.153 W122.54.37.167
      N048.46.03.707 W122.54.22.912
      N048.45.48.875 W122.52.36.592
      N048.45.58.681 W122.52.46.782
      N048.45.54.945 W122.53.11.254
      N048.46.03.213 W122.53.14.028
      N048.46.17.220 W122.54.11.129
      N048.46.09.887 W122.54.50.213
background N048.45.14.323 W122.53.51.546
      N048.44.49.838 W122.53.23.586
      N048.44.58.572 W122.52.59.306
      N048.45.26.216 W122.53.37.236
      N048.45.19.473 W122.53.41.906
      N048.45.40.375 W122.54.24.505
      N048.45.33.440 W122.54.41.479
      N048.45.43.025 W122.55.03.973
      N048.45.18.388 W122.54.45.818
      N048.45.12.209 W122.54.18.545
      N048.45.05.095 W122.54.45.324
      N048.44.47.888 W122.53.40.724
      N048.45.08.954 W122.54.13.491
      N048.45.14.282 W122.53.54.018
background N048.44.55.949 W122.50.39.038
      N048.44.49.165 W122.50.46.152
      N048.44.31.738 W122.49.53.884
      N048.44.42.079 W122.49.32.131
      N048.44.51.980 W122.49.37.405
      N048.45.02.966 W122.50.17.148
      N048.44.54.370 W122.50.34.067
background N048.42.23.967 W122.46.10.505
      N048.41.42.644 W122.45.54.300
      N048.41.41.175 W122.45.41.968
      N048.42.27.331 W122.46.08.170
water N049.00.11.838 W122.45.14.474
      N048.58.58.147 W122.47.22.712
      N048.58.17.786 W122.47.45.948
      N048.57.33.442 W122.48.50.988
      N048.56.34.899 W122.49.06.121
      N048.58.30.269 W123.01.33.301
      N048.58.45.650 W123.01.11.686
      N049.00.12.936 W123.02.06.974
      N049.00.11.852 W122.45.18.127
water N048.59.34.333 W122.46.07.456
      N049.00.11.838 W122.45.14.474
      N048.59.13.940 W122.44.50.222
      N048.58.30.022 W122.43.44.496
      N048.57.49.977 W122.43.48.040
      N048.57.32.550 W122.44.36.791
      N048.58.18.679 W122.46.51.676
      N048.58.48.438 W122.47.05.079
      N048.59.24.349 W122.46.07.099
water N049.00.04.436 W115.12.04.191
      N049.00.03.571 W115.10.49.979
      N048.59.05.590 W115.09.48.922
      N048.58.42.684 W115.08.45.504
      N048.58.22.647 W115.08.46.520
      N048.57.25.656 W115.09.46.588
      N048.56.57.476 W115.09.42.083
      N048.56.36.835 W115.09.10.937
      N048.56.16.717 W115.09.14.425
      N048.55.47.891 W115.09.29.614
      N048.55.30.203 W115.10.00.403
      N048.55.09.123 W115.11.22.800
      N048.54.12.036 W115.12.25.258
      N048.53.04.470 W115.12.52.366
      N048.52.54.678 W115.13.36.064
      N048.52.34.065 W115.13.54.274
      N048.51.29.163 W115.13.51.940
      N048.50.25.607 W115.14.48.904
      N048.49.45.301 W115.14.58.242
      N048.48.27.285 W115.16.28.577
      N048.47.03.349 W115.17.36.226
      N048.45.39.290 W115.17.59.489
      N048.44.43.383 W115.17.38.093
      N048.43.46.886 W115.18.23.110
      N048.39.31.179 W115.18.50.713
      N048.38.43.279 W115.18.39.727
      N048.38.03.110 W115.17.57.402
      N048.37.29.670 W115.17.13.127
      N048.36.55.558 W115.15.59.354
      N048.35.13.715 W115.14.30.776
      N048.34.23.892 W115.12.48.906
      N048.33.35.511 W115.12.52.723
      N048.32.33.589 W115.12.13.832
      N048.32.16.244 W115.12.34.651
      N048.32.18.249 W115.13.14.037
      N048.30.29.787 W115.15.50.427
      N048.29.49.714 W115.15.54.822
      N048.29.02.088 W115.15.36.584
      N048.28.50.305 W115.16.29.676
      N048.28.34.774 W115.16.45.661
      N048.28.11.881 W115.16.34.153
      N048.27.35.695 W115.17.59.709
      N048.27.12.294 W115.18.02.867
      N048.27.03.326 W115.18.21.819
      N048.26.05.002 W115.18.24.813
      N048.25.26.028 W115.17.57.402
      N048.24.38.485 W115.18.25.719
      N048.23.12.957 W115.18.46.263
      N048.22.59.361 W115.18.55.052
      N048.23.12.091 W115.19.59.652
