; KALW labels
"20" N046.06.07.420 W118.16.25.768 twyrwy_labels
"2" N046.04.53.222 W118.17.45.240 twyrwy_labels
"A1" N046.05.56.538 W118.16.32.150 twyrwy_labels
"A2" N046.05.37.834 W118.16.52.111 twyrwy_labels
"A3" N046.05.26.341 W118.17.03.745 twyrwy_labels
"A5" N046.05.14.260 W118.17.16.702 twyrwy_labels
"A6" N046.05.05.248 W118.17.25.938 twyrwy_labels
"A" N046.05.48.264 W118.16.38.058 twyrwy_labels
"A" N046.05.30.918 W118.16.56.184 twyrwy_labels
"A" N046.05.08.638 W118.17.19.694 twyrwy_labels
"Terminal" N046.05.12.365 W118.17.06.068 building_labels
"FBO" N046.05.35.080 W118.16.36.630 building_labels
"TWR" N046.05.31.808 W118.16.44.154 building_labels
