; KBFI labels
"A" N047.32.24.890 W122.18.30.994 twyrwy_labels
"A" N047.32.03.485 W122.18.11.791 twyrwy_labels
"A" N047.31.42.199 W122.17.54.387 twyrwy_labels
"A" N047.31.19.019 W122.17.38.698 twyrwy_labels
"A1" N047.32.27.276 W122.18.36.982 twyrwy_labels
"A2" N047.32.15.583 W122.18.29.917 twyrwy_labels
"B2" N047.32.13.794 W122.18.34.518 twyrwy_labels
"A3" N047.32.06.853 W122.18.16.205 twyrwy_labels
"A4" N047.32.02.214 W122.18.18.735 twyrwy_labels
"B3" N047.32.01.607 W122.18.23.924 twyrwy_labels
"A5" N047.31.58.427 W122.18.08.773 twyrwy_labels
"A7" N047.31.49.357 W122.18.07.723 twyrwy_labels
"B4" N047.31.47.703 W122.18.12.295 twyrwy_labels
"A8" N047.31.44.207 W122.18.03.479 twyrwy_labels
"A9" N047.31.37.656 W122.17.58.057 twyrwy_labels
"A10" N047.31.22.912 W122.17.45.580 twyrwy_labels
"A11" N047.31.09.405 W122.17.32.711 twyrwy_labels
"B5" N047.31.36.094 W122.18.02.648 twyrwy_labels
"B9" N047.31.07.906 W122.17.38.894 twyrwy_labels
"B7" N047.31.21.156 W122.17.49.856 twyrwy_labels
"B10" N047.31.00.789 W122.17.32.776 twyrwy_labels
"Z" N047.32.28.536 W122.18.49.088 twyrwy_labels
"B1" N047.32.24.409 W122.18.43.317 twyrwy_labels
"B" N047.32.18.012 W122.18.40.259 twyrwy_labels
"B" N047.31.57.972 W122.18.23.442 twyrwy_labels
"B" N047.31.15.050 W122.17.47.548 twyrwy_labels
"B" N047.31.41.576 W122.18.09.457 twyrwy_labels
"B6" N047.31.27.903 W122.17.58.995 twyrwy_labels
"32L" N047.30.59.860 W122.17.22.563 twyrwy_labels
"32R" N047.31.41.928 W122.18.01.274 twyrwy_labels
"14L" N047.32.18.007 W122.18.31.397 twyrwy_labels
"14R" N047.32.34.975 W122.18.57.253 twyrwy_labels
"Transient" N047.32.16.750 W122.18.20.063 ramp_labels
"Military" N047.30.53.302 W122.17.39.793 ramp_labels
"GA" N047.31.12.849 W122.17.53.990 ramp_labels
"Terminal" N047.32.12.929 W122.18.14.495 building_labels
"Modern Aviation" N047.31.39.511 W122.17.46.641 building_labels
"Signature" N047.32.15.858 W122.18.14.828 building_labels
"Customs" N047.32.10.948 W122.18.13.101 building_labels
"Museum of Flight" N047.31.05.350 W122.17.50.567 building_labels
"TWR" N047.31.46.196 W122.18.16.997 building_labels
