; KBLI labels
"16" N048.48.16.212 W122.32.16.390 twyrwy_labels
"34" N048.46.50.928 W122.32.15.923 twyrwy_labels
"B" N048.48.05.972 W122.32.13.117 twyrwy_labels
"A" N048.48.00.725 W122.32.09.350 twyrwy_labels
"A" N048.47.44.589 W122.32.09.533 twyrwy_labels
"A" N048.47.31.159 W122.32.09.477 twyrwy_labels
"A" N048.47.11.250 W122.32.09.306 twyrwy_labels
"G" N048.47.01.073 W122.32.13.111 twyrwy_labels
"F" N048.47.25.093 W122.32.12.846 twyrwy_labels
"F" N048.47.30.394 W122.32.06.121 twyrwy_labels
"F" N048.47.34.214 W122.32.04.035 twyrwy_labels
"F" N048.47.36.919 W122.32.01.511 twyrwy_labels
"E" N048.47.34.082 W122.32.12.731 twyrwy_labels
"E" N048.47.39.923 W122.32.05.691 twyrwy_labels
"H" N048.47.39.576 W122.32.01.527 twyrwy_labels
"H" N048.47.45.858 W122.32.06.636 twyrwy_labels
"D" N048.47.43.329 W122.32.12.573 twyrwy_labels
"D" N048.47.37.527 W122.32.05.376 twyrwy_labels
"C" N048.47.47.828 W122.32.13.059 twyrwy_labels
"Cargo" N048.47.57.116 W122.32.00.439 ramp_labels
"Transient" N048.47.28.224 W122.32.00.253 ramp_labels
"Terminal" N048.47.44.814 W122.31.58.223 building_labels
"BLI Air Services" N048.47.37.522 W122.31.51.380 building_labels
"TWR" N048.47.39.518 W122.31.55.538 building_labels
