; KEUG labels
"A" N044.06.38.308 W123.13.01.066 twyrwy_labels
"A" N044.06.58.694 W123.13.01.366 twyrwy_labels
"A" N044.07.22.978 W123.13.01.839 twyrwy_labels
"A" N044.07.50.367 W123.13.02.032 twyrwy_labels
"A1" N044.08.07.048 W123.13.07.313 twyrwy_labels
"A2" N044.08.04.534 W123.13.07.447 twyrwy_labels
"A3" N044.07.41.063 W123.13.07.156 twyrwy_labels
"A4" N044.07.32.995 W123.13.06.378 twyrwy_labels
"A5" N044.07.15.112 W123.13.06.589 twyrwy_labels
"A6" N044.07.13.298 W123.13.06.351 twyrwy_labels
"A7" N044.06.48.795 W123.13.06.087 twyrwy_labels
"D" N044.07.25.301 W123.12.59.407 twyrwy_labels
"D" N044.07.18.677 W123.12.53.760 twyrwy_labels
"P" N044.07.21.129 W123.12.59.534 twyrwy_labels
"P" N044.07.28.488 W123.12.48.834 twyrwy_labels
"C" N044.07.34.714 W123.12.48.114 twyrwy_labels
"C" N044.07.34.904 W123.12.19.863 twyrwy_labels
"M" N044.07.33.444 W123.12.19.808 twyrwy_labels
"M" N044.07.33.242 W123.12.38.819 twyrwy_labels
"K" N044.07.30.117 W123.12.38.617 twyrwy_labels
"K" N044.07.20.144 W123.12.46.600 twyrwy_labels
"G" N044.07.13.187 W123.12.56.282 twyrwy_labels
"G" N044.07.05.109 W123.12.59.294 twyrwy_labels
"F" N044.07.09.515 W123.12.59.398 twyrwy_labels
"B" N044.07.44.640 W123.12.15.388 twyrwy_labels
"B" N044.07.07.183 W123.12.14.983 twyrwy_labels
"B" N044.07.26.476 W123.12.15.187 twyrwy_labels
"B1" N044.07.58.233 W123.12.12.794 twyrwy_labels
"B2" N044.07.35.065 W123.12.12.457 twyrwy_labels
"B3" N044.07.18.088 W123.12.12.343 twyrwy_labels
"B4" N044.06.59.725 W123.12.12.025 twyrwy_labels
"L" N044.06.42.551 W123.12.58.417 twyrwy_labels
"J" N044.06.35.506 W123.12.59.439 twyrwy_labels
"34L" N044.06.37.629 W123.13.18.054 twyrwy_labels
"34R" N044.06.47.594 W123.12.02.562 twyrwy_labels
"16L" N044.08.07.012 W123.12.03.799 twyrwy_labels
"16R" N044.08.17.083 W123.13.18.760 twyrwy_labels
"H" N044.06.55.754 W123.13.00.081 twyrwy_labels
"E" N044.07.15.205 W123.12.58.384 twyrwy_labels
"R" N044.07.18.020 W123.12.16.440 twyrwy_labels
"GA North" N044.07.23.319 W123.12.41.578 ramp_labels
"GA South" N044.07.01.886 W123.12.58.117 ramp_labels
"Cargo" N044.06.38.231 W123.12.55.297 ramp_labels
"Atlantic Aviation" N044.07.00.396 W123.12.52.462 building_labels
"Lawrence Air Service" N044.06.40.932 W123.12.50.159 building_labels
"LCC Aviation" N044.06.51.583 W123.12.56.933 building_labels
"CAP - OR Wing HQ" N044.06.51.350 W123.12.47.659 building_labels
"TWR" N044.07.03.333 W123.12.44.024 building_labels
"Terminal" N044.07.09.055 W123.12.46.394 building_labels
"Fire Station" N044.07.25.468 W123.12.32.669 building_labels
"Weyerhaeuser" N044.07.40.782 W123.12.32.610 building_labels
"Maintenance" N044.07.37.563 W123.12.46.407 building_labels
"LCC Maintenance" N044.06.46.581 W123.12.51.481 building_labels
"Sky Harbor Aviation" N044.07.22.889 W123.12.25.025 building_labels
