; KGEG labels
"A" N047.37.53.477 W117.31.20.101 twyrwy_labels
"A1" N047.37.54.902 W117.31.11.208 twyrwy_labels
"A" N047.37.32.671 W117.31.50.315 twyrwy_labels
"T1" N047.37.41.510 W117.31.39.953 twyrwy_labels
"T2" N047.37.39.872 W117.31.42.654 twyrwy_labels
"T3" N047.37.36.604 W117.31.47.373 twyrwy_labels
"A" N047.37.14.350 W117.32.17.800 twyrwy_labels
"T4" N047.37.30.268 W117.31.58.168 twyrwy_labels
"T5" N047.37.26.779 W117.32.03.588 twyrwy_labels
"T6" N047.37.23.576 W117.32.08.700 twyrwy_labels
"T7" N047.37.19.326 W117.32.14.736 twyrwy_labels
"21" N047.37.54.868 W117.30.56.490 twyrwy_labels
"3" N047.36.29.582 W117.33.04.280 twyrwy_labels
"26" N047.36.58.838 W117.31.08.490 twyrwy_labels
"8" N047.36.58.928 W117.33.16.914 twyrwy_labels
"A2" N047.37.40.089 W117.31.32.255 twyrwy_labels
"A3" N047.37.24.212 W117.31.53.133 twyrwy_labels
"A4" N047.37.12.497 W117.32.11.524 twyrwy_labels
"C" N047.37.05.217 W117.32.25.454 twyrwy_labels
"C" N047.37.05.145 W117.32.12.608 twyrwy_labels
"C" N047.37.05.367 W117.32.51.875 twyrwy_labels
"A" N047.36.54.595 W117.32.47.602 twyrwy_labels
"A" N047.36.46.897 W117.32.59.339 twyrwy_labels
"A5" N047.36.50.699 W117.32.47.437 twyrwy_labels
"A6" N047.36.39.726 W117.33.05.104 twyrwy_labels
"C4" N047.37.02.903 W117.33.11.633 twyrwy_labels
"G" N047.37.45.653 W117.31.04.008 twyrwy_labels
"G1" N047.37.49.190 W117.31.03.084 twyrwy_labels
"G2" N047.37.35.034 W117.31.24.571 twyrwy_labels
"G3" N047.37.14.283 W117.31.55.565 twyrwy_labels
"G" N047.37.20.105 W117.31.42.429 twyrwy_labels
"G" N047.37.07.879 W117.32.00.729 twyrwy_labels
"H" N047.37.08.587 W117.31.51.051 twyrwy_labels
"C" N047.37.04.585 W117.32.00.942 twyrwy_labels
"C3" N047.37.01.829 W117.31.57.485 twyrwy_labels
"C3" N047.36.56.655 W117.31.57.432 twyrwy_labels
"C" N047.37.04.400 W117.31.42.407 twyrwy_labels
"C2" N047.37.02.102 W117.31.36.270 twyrwy_labels
"C" N047.37.04.304 W117.31.24.308 twyrwy_labels
"C1" N047.37.01.869 W117.31.13.647 twyrwy_labels
"K" N047.36.54.590 W117.31.29.092 twyrwy_labels
"K" N047.36.55.947 W117.31.13.631 twyrwy_labels
"K" N047.36.54.518 W117.32.05.692 twyrwy_labels
"G" N047.36.51.751 W117.32.24.983 twyrwy_labels
"G5" N047.36.47.580 W117.32.35.516 twyrwy_labels
"G" N047.36.38.107 W117.32.45.498 twyrwy_labels
"G6" N047.36.33.980 W117.32.56.850 twyrwy_labels
"A" N047.37.09.356 W117.32.25.611 twyrwy_labels
"Terminal" N047.37.29.961 W117.32.19.546 building_labels
"USPS Sort Facility" N047.37.33.687 W117.30.52.449 building_labels
"TWR" N047.36.49.816 W117.31.37.501 building_labels
"N Pilot" N047.37.15.004 W117.31.44.324 ramp_labels
"Triangle" N047.37.31.009 W117.31.07.782 ramp_labels
"East Air Cargo" N047.37.24.741 W117.31.11.593 ramp_labels
"Central" N047.37.18.679 W117.31.25.099 ramp_labels
"S Pilot" N047.37.07.749 W117.31.43.453 ramp_labels
"S Maint" N047.36.48.800 W117.32.07.871 ramp_labels
"West Air Cargo" N047.37.48.997 W117.31.56.976 ramp_labels
"Customs" N047.37.09.211 W117.31.24.201 ramp_labels
"Signature" N047.37.12.365 W117.31.40.470 ramp_labels
; GEG terminals
"A" N047.37.31.792 W117.32.06.904 building_labels
"B" N047.37.28.862 W117.32.10.407 building_labels
"C" N047.37.25.973 W117.32.23.438 building_labels
