; KGRF labels
"A"    N047.04.33.932 W122.34.39.139 twyrwy_labels
"A"    N047.04.50.801 W122.34.44.783 twyrwy_labels
"A"    N047.05.10.516 W122.34.51.450 twyrwy_labels
"B"    N047.05.12.392 W122.35.09.742 twyrwy_labels
"B"    N047.05.15.512 W122.34.50.388 twyrwy_labels
"C"    N047.04.53.687 W122.34.49.543 twyrwy_labels
"D"    N047.04.15.282 W122.34.45.389 twyrwy_labels
"D"    N047.04.16.650 W122.34.36.710 twyrwy_labels
"E"    N047.04.21.205 W122.34.50.561 twyrwy_labels
"E"    N047.04.40.024 W122.34.56.865 twyrwy_labels
"F"    N047.04.49.553 W122.34.58.071 twyrwy_labels
"H"    N047.05.08.756 W122.35.16.313 twyrwy_labels
"West ramp" N047.04.59.548 W122.35.18.690 building_labels
"Rose"      N047.05.17.600 W122.35.14.500 building_labels
"TWR"       N047.04.48.603 W122.35.06.275 building_labels
"Base ops"  N047.04.44.900 W122.35.06.558 building_labels
"SW ramp"   N047.04.28.815 W122.35.02.489 building_labels
"SE ramp"   N047.04.42.083 W122.34.35.170 building_labels
"East ramp" N047.05.06.690 W122.34.40.865 building_labels
"NE ramp"   N047.05.17.701 W122.34.38.629 building_labels
