; KLMT labels
"14" N042.10.24.364 W121.44.35.760 twyrwy_labels
"32" N042.08.20.108 W121.43.27.571 twyrwy_labels
"25" N042.09.21.327 W121.43.11.735 twyrwy_labels
"7" N042.09.22.517 W121.44.51.453 twyrwy_labels
"G" N042.08.53.343 W121.43.56.899 twyrwy_labels
"G" N042.09.12.839 W121.44.07.367 twyrwy_labels
"K" N042.09.05.532 W121.43.59.338 twyrwy_labels
"F" N042.09.27.575 W121.43.43.332 twyrwy_labels
"F" N042.09.27.625 W121.44.24.313 twyrwy_labels
"G" N042.09.35.995 W121.44.19.146 twyrwy_labels
"D" N042.09.32.205 W121.44.32.641 twyrwy_labels
"D" N042.09.51.046 W121.44.32.774 twyrwy_labels
"E" N042.09.47.995 W121.44.21.914 twyrwy_labels
"D" N042.10.06.573 W121.44.32.810 twyrwy_labels
"C" N042.10.05.390 W121.44.30.044 twyrwy_labels
"A" N042.10.08.562 W121.44.29.617 twyrwy_labels
"B" N042.10.05.453 W121.44.18.098 twyrwy_labels
"H" N042.09.20.451 W121.43.29.547 twyrwy_labels
"B" N042.09.54.421 W121.44.12.091 twyrwy_labels
"B3" N042.09.47.685 W121.44.11.210 twyrwy_labels
"B1" N042.10.09.317 W121.44.22.925 twyrwy_labels
"B2" N042.10.00.785 W121.44.13.701 twyrwy_labels
"G" N042.08.38.242 W121.43.48.812 twyrwy_labels
"ANG Alert" N042.10.14.133 W121.44.46.025 ramp_labels
"ANG" N042.09.42.023 W121.44.38.067 ramp_labels
"Ag facility" N042.09.18.165 W121.43.27.397 ramp_labels
"Tanker base" N042.10.17.045 W121.44.15.678 ramp_labels
"TWR" N042.09.32.035 W121.43.43.501 building_labels
"Terminal" N042.09.49.268 W121.44.52.030 building_labels
