; KLWS labels
"D" N046.22.33.773 W117.01.06.836 twyrwy_labels
"A" N046.22.28.048 W117.01.26.999 twyrwy_labels
"C" N046.22.51.123 W117.01.13.879 twyrwy_labels
"D" N046.22.40.101 W117.00.58.557 twyrwy_labels
"D" N046.22.40.855 W117.00.54.823 twyrwy_labels
"C" N046.22.36.819 W117.00.51.157 twyrwy_labels
"F" N046.22.32.629 W117.00.46.884 twyrwy_labels
"F" N046.22.27.275 W117.00.53.721 twyrwy_labels
"A" N046.22.26.271 W117.01.10.517 twyrwy_labels
"A2" N046.22.23.279 W117.01.06.259 twyrwy_labels
"Z" N046.22.18.149 W117.01.13.137 twyrwy_labels
"Z" N046.22.20.941 W117.01.38.396 twyrwy_labels
"Z1" N046.22.23.324 W117.01.39.671 twyrwy_labels
"Z2" N046.22.18.502 W117.01.07.610 twyrwy_labels
"C" N046.22.30.380 W117.00.40.522 twyrwy_labels
"B" N046.22.29.490 W117.00.34.595 twyrwy_labels
"K" N046.22.26.308 W117.00.36.750 twyrwy_labels
"K" N046.22.26.329 W117.00.31.495 twyrwy_labels
"G" N046.22.22.907 W117.00.30.992 twyrwy_labels
"G" N046.22.25.275 W117.00.29.233 twyrwy_labels
"B" N046.22.23.673 W117.00.24.226 twyrwy_labels
"C" N046.22.22.090 W117.00.27.059 twyrwy_labels
"C" N046.22.20.130 W117.00.16.502 twyrwy_labels
"8" N046.22.26.168 W117.01.54.177 twyrwy_labels
"26" N046.22.13.440 W116.59.52.598 twyrwy_labels
"30" N046.22.12.518 W117.00.19.825 twyrwy_labels
"12" N046.23.00.147 W117.01.36.325 twyrwy_labels
"A1" N046.22.26.799 W117.01.38.748 twyrwy_labels
"Terminal" N046.22.38.511 W117.00.39.561 building_labels
"Stout" N046.22.40.372 W117.00.43.680 building_labels
"Hillcrest" N046.22.37.902 W117.01.15.527 building_labels
"TWR" N046.22.32.423 W117.00.31.224 building_labels
"Tiedown" N046.22.18.081 W117.01.31.764 ramp_labels
