; KMFR labels
"C2" N042.22.48.906 W122.52.41.731 twyrwy_labels
"A" N042.22.58.763 W122.52.45.125 twyrwy_labels
"A" N042.22.40.321 W122.52.35.427 twyrwy_labels
"A" N042.22.15.637 W122.52.22.980 twyrwy_labels
"A" N042.21.55.909 W122.52.12.161 twyrwy_labels
"B" N042.22.19.629 W122.52.28.111 twyrwy_labels
"B" N042.22.24.417 W122.52.42.743 twyrwy_labels
"B2" N042.22.22.900 W122.52.41.054 twyrwy_labels
"B1" N042.22.23.424 W122.52.47.183 twyrwy_labels
"B1" N042.22.27.342 W122.52.45.169 twyrwy_labels
"C1" N042.22.34.299 W122.52.37.735 twyrwy_labels
"C" N042.22.38.571 W122.52.38.073 twyrwy_labels
"C" N042.22.46.247 W122.52.42.019 twyrwy_labels
"C" N042.22.53.932 W122.52.45.558 twyrwy_labels
"A4" N042.22.34.243 W122.52.29.334 twyrwy_labels
"A3" N042.22.24.240 W122.52.24.193 twyrwy_labels
"A3" N042.22.27.342 W122.52.13.308 twyrwy_labels
"A5" N042.22.50.129 W122.52.37.548 twyrwy_labels
"A6" N042.23.09.301 W122.52.47.643 twyrwy_labels
"A2" N042.22.01.520 W122.52.12.331 twyrwy_labels
"A1" N042.21.49.083 W122.52.05.753 twyrwy_labels
"32" N042.21.42.687 W122.52.00.033 twyrwy_labels
"14" N042.23.17.438 W122.52.49.298 twyrwy_labels
"B3" N042.22.26.012 W122.52.31.218 twyrwy_labels
"C3" N042.22.56.128 W122.52.45.187 twyrwy_labels
"Transient" N042.22.17.922 W122.52.38.461 ramp_labels
"GA Parking" N042.22.29.705 W122.52.42.043 ramp_labels
"South Cargo" N042.21.57.156 W122.52.18.132 ramp_labels
"Transient" N042.22.49.294 W122.52.46.645 ramp_labels
"East" N042.22.26.275 W122.52.04.758 ramp_labels
"Terminal" N042.22.05.756 W122.52.29.170 building_labels
"TWR" N042.22.12.510 W122.52.32.187 building_labels
"Million Air" N042.22.13.954 W122.52.38.628 building_labels
"Fire Station" N042.22.01.445 W122.52.21.446 building_labels
"Fedex" N042.21.59.134 W122.52.23.301 building_labels
"US Forest Service" N042.22.32.429 W122.52.52.775 building_labels
"CAP" N042.22.52.533 W122.52.48.383 building_labels
