; KMWH labels
"E" N047.13.31.011 W119.19.45.220 twyrwy_labels
"A2" N047.11.32.458 W119.19.20.036 twyrwy_labels
"A3" N047.11.32.404 W119.19.26.021 twyrwy_labels
"A" N047.11.29.635 W119.19.42.931 twyrwy_labels
"B" N047.11.40.544 W119.19.54.836 twyrwy_labels
"C" N047.11.53.968 W119.20.04.711 twyrwy_labels
"J" N047.11.54.416 W119.19.36.364 twyrwy_labels
"J1" N047.12.00.329 W119.19.29.825 twyrwy_labels
"J2" N047.12.04.313 W119.19.22.275 twyrwy_labels
"J3" N047.12.12.032 W119.19.06.508 twyrwy_labels
"J4" N047.12.21.278 W119.18.47.467 twyrwy_labels
"J" N047.12.17.194 W119.18.50.052 twyrwy_labels
"D" N047.13.01.710 W119.19.30.075 twyrwy_labels
"C" N047.12.41.745 W119.19.42.053 twyrwy_labels
"F" N047.13.05.470 W119.19.12.619 twyrwy_labels
"F" N047.12.49.402 W119.18.05.915 twyrwy_labels
"G" N047.12.28.325 W119.18.01.246 twyrwy_labels
"G" N047.12.09.232 W119.18.10.389 twyrwy_labels
"G" N047.11.46.834 W119.18.21.164 twyrwy_labels
"H" N047.11.28.969 W119.18.28.302 twyrwy_labels
"A" N047.11.29.597 W119.18.49.853 twyrwy_labels
"A1" N047.11.32.416 W119.19.08.477 twyrwy_labels
"32R" N047.11.06.006 W119.18.27.394 twyrwy_labels
"32L" N047.12.50.046 W119.19.33.254 twyrwy_labels
"14L" N047.13.51.613 W119.19.43.870 twyrwy_labels
"14R" N047.13.36.266 W119.19.59.539 twyrwy_labels
"22" N047.12.55.359 W119.17.39.225 twyrwy_labels
"4" N047.11.33.736 W119.20.29.999 twyrwy_labels
"18" N047.12.31.551 W119.19.42.630 twyrwy_labels
"36" N047.11.50.148 W119.20.10.536 twyrwy_labels
"6" N047.13.08.588 W119.19.07.918 twyrwy_labels
"27" N047.12.53.884 W119.18.04.351 twyrwy_labels
"Transient" N047.11.26.759 W119.19.47.340 ramp_labels
"East" N047.11.39.785 W119.18.17.774 ramp_labels
"Military" N047.11.26.565 W119.19.11.406 ramp_labels
"Terminal" N047.11.20.385 W119.19.28.447 building_labels
"TWR" N047.11.45.075 W119.19.21.219 building_labels
