; KNUW labels
"P-3" N048.20.23.165 W122.39.44.835 ramp_labels
"Transient" N048.20.44.643 W122.40.09.214 ramp_labels
"North" N048.20.51.993 W122.40.23.382 ramp_labels
"South" N048.20.12.818 W122.39.33.142 ramp_labels
"Direct Fueling" N048.20.45.748 W122.39.48.532 ramp_labels
"Hot Cargo" N048.20.59.690 W122.38.53.266 ramp_labels
"Hot Cargo" N048.20.26.395 W122.39.03.667 ramp_labels
"C" N048.20.48.484 W122.39.20.361 twyrwy_labels
"C" N048.20.56.845 W122.39.02.219 twyrwy_labels
"F" N048.21.02.450 W122.38.55.476 twyrwy_labels
"K" N048.20.47.448 W122.39.38.346 twyrwy_labels
"G" N048.20.52.610 W122.39.43.327 twyrwy_labels
"J" N048.20.52.791 W122.39.51.048 twyrwy_labels
"C" N048.20.42.645 W122.39.44.857 twyrwy_labels
"M" N048.21.00.483 W122.40.03.209 twyrwy_labels
"B" N048.21.20.990 W122.40.07.611 twyrwy_labels
"E" N048.20.46.217 W122.39.55.731 twyrwy_labels
"E" N048.20.35.740 W122.39.44.956 twyrwy_labels
"N" N048.20.33.672 W122.39.05.426 twyrwy_labels
"P" N048.20.29.319 W122.39.01.952 twyrwy_labels
"D" N048.20.24.791 W122.39.16.935 twyrwy_labels
"L" N048.20.28.299 W122.39.45.336 twyrwy_labels
"A" N048.21.00.767 W122.40.19.659 twyrwy_labels
"14" N048.21.48.709 W122.39.53.487 twyrwy_labels
"32" N048.20.23.183 W122.38.52.368 twyrwy_labels
"25" N048.21.07.610 W122.38.12.906 twyrwy_labels
"7" N048.21.01.539 W122.40.36.318 twyrwy_labels
"C" N048.21.01.764 W122.38.40.815 twyrwy_labels
"TWR" N048.20.41.433 W122.40.08.352 twyrwy_labels
