; KOLM labels
"Terminal" N046.58.32.254 W122.54.40.349 building_labels
"FBO" N046.58.39.421 W122.53.55.165 building_labels
"FBO" N046.58.24.431 W122.53.39.656 building_labels
"Museum" N046.58.36.613 W122.53.52.983 building_labels
"FBO" N046.58.33.282 W122.53.49.666 building_labels
"OLM Heliport" N046.57.48.406 W122.53.27.906 building_labels
"TWR" N046.58.25.975 W122.54.30.955 building_labels
"Transient" N046.58.34.256 W122.53.59.703 ramp_labels
"A" N046.58.37.961 W122.54.08.114 twyrwy_labels
"B" N046.58.34.278 W122.54.06.132 twyrwy_labels
"D" N046.58.32.190 W122.54.05.187 twyrwy_labels
"E" N046.58.30.976 W122.53.57.780 twyrwy_labels
"E" N046.58.24.232 W122.53.49.956 twyrwy_labels
"E" N046.58.16.483 W122.53.41.076 twyrwy_labels
"G" N046.58.03.395 W122.53.30.976 twyrwy_labels
"G" N046.58.01.926 W122.53.44.289 twyrwy_labels
"G" N046.58.01.955 W122.54.10.988 twyrwy_labels
"G" N046.58.01.963 W122.54.24.456 twyrwy_labels
"F" N046.57.48.601 W122.54.13.244 twyrwy_labels
"F" N046.58.06.199 W122.54.02.860 twyrwy_labels
"F" N046.57.55.571 W122.54.05.837 twyrwy_labels
"F" N046.58.17.401 W122.53.52.646 twyrwy_labels
"C" N046.58.22.236 W122.54.02.226 twyrwy_labels
"B" N046.58.36.269 W122.54.21.310 twyrwy_labels
"W" N046.58.27.487 W122.54.28.426 twyrwy_labels
"W" N046.58.08.397 W122.54.28.596 twyrwy_labels
"W" N046.57.56.383 W122.54.28.685 twyrwy_labels
"17" N046.58.49.734 W122.54.05.589 twyrwy_labels
"35" N046.57.34.873 W122.54.27.651 twyrwy_labels
"8" N046.58.17.747 W122.54.36.889 twyrwy_labels
"26" N046.58.05.033 W122.53.23.200 twyrwy_labels
"A" N046.58.39.239 W122.54.23.136 twyrwy_labels
"F" N046.57.44.960 W122.54.17.494 twyrwy_labels
"W" N046.57.45.252 W122.54.29.696 twyrwy_labels
"L" N046.57.49.298 W122.54.25.075 twyrwy_labels
