; KOTH labels
"B" N043.25.10.501 W124.14.51.473 twyrwy_labels
"B" N043.24.50.399 W124.14.35.122 twyrwy_labels
"B" N043.24.35.680 W124.14.22.932 twyrwy_labels
"B4" N043.25.02.985 W124.14.42.925 twyrwy_labels
"B2" N043.24.41.837 W124.14.25.889 twyrwy_labels
"B1" N043.24.32.872 W124.14.18.501 twyrwy_labels
"31" N043.24.30.976 W124.14.09.879 twyrwy_labels
"B3" N043.24.55.974 W124.14.37.217 twyrwy_labels
"A" N043.25.13.430 W124.14.37.414 twyrwy_labels
"A" N043.24.59.508 W124.15.11.335 twyrwy_labels
"A1" N043.25.20.184 W124.14.27.257 twyrwy_labels
"A2" N043.25.16.998 W124.14.35.016 twyrwy_labels
"A3" N043.25.04.801 W124.15.05.645 twyrwy_labels
"A4" N043.24.58.005 W124.15.21.946 twyrwy_labels
"A5" N043.24.51.834 W124.15.37.246 twyrwy_labels
"D" N043.25.02.817 W124.14.58.304 twyrwy_labels
"13" N043.25.17.041 W124.14.57.907 twyrwy_labels
"23" N043.25.27.709 W124.14.24.095 twyrwy_labels
"5" N043.24.51.111 W124.15.51.485 twyrwy_labels
"K" N043.24.30.714 W124.14.21.231 twyrwy_labels
"C" N043.25.04.810 W124.14.50.531 twyrwy_labels
"Boat Ramp" N043.25.17.885 W124.14.20.220 ramp_labels
"GA Parking" N043.24.56.429 W124.14.46.621 ramp_labels
"USCG" N043.24.38.029 W124.14.30.293 ramp_labels
"South Hangers" N043.24.31.232 W124.14.23.179 ramp_labels
"Coos Aviation" N043.24.51.606 W124.14.41.113 building_labels
"USCG Air Station" N043.24.34.693 W124.14.30.560 building_labels
"TWR" N043.25.04.721 W124.14.52.636 building_labels
"Terminal" N043.24.58.527 W124.14.57.996 building_labels
