; KPDT labels
"G" N045.41.59.663 W118.50.14.197 twyrwy_labels
"G" N045.41.34.531 W118.50.14.023 twyrwy_labels
"F" N045.41.39.243 W118.49.58.493 twyrwy_labels
"E" N045.41.31.324 W118.50.21.058 twyrwy_labels
"E" N045.41.27.651 W118.50.29.390 twyrwy_labels
"D" N045.41.26.006 W118.50.16.614 twyrwy_labels
"D" N045.41.26.031 W118.50.26.951 twyrwy_labels
"D" N045.41.26.070 W118.50.38.003 twyrwy_labels
"D" N045.41.26.047 W118.50.48.188 twyrwy_labels
"A" N045.41.39.279 W118.51.03.808 twyrwy_labels
"B" N045.41.39.786 W118.50.52.704 twyrwy_labels
"B" N045.41.36.955 W118.50.52.575 twyrwy_labels
"A" N045.41.33.026 W118.50.41.905 twyrwy_labels
"25" N045.41.42.783 W118.49.28.827 twyrwy_labels
"7" N045.41.41.912 W118.51.25.035 twyrwy_labels
"11" N045.42.00.063 W118.51.23.133 twyrwy_labels
"29" N045.41.13.741 W118.49.59.347 twyrwy_labels
"Natl Guard" N045.41.33.363 W118.50.59.359 ramp_labels
"FBOs" N045.41.16.757 W118.50.48.092 building_labels
"Term/TWR" N045.41.20.906 W118.50.21.173 building_labels
