; KPDX labels
"K1" N045.35.45.665 W122.36.01.097 twyrwy_labels
"W" N045.35.11.455 W122.34.42.878 twyrwy_labels
"T" N045.35.17.030 W122.35.52.078 twyrwy_labels
"B" N045.34.58.444 W122.35.13.366 twyrwy_labels
"V" N045.35.22.401 W122.35.12.034 twyrwy_labels
"K" N045.35.32.579 W122.35.44.244 twyrwy_labels  ; K (T)
"K" N045.35.26.322 W122.35.27.912 twyrwy_labels  ; K (T)
"K" N045.35.39.607 W122.36.00.278 twyrwy_labels
"A1" N045.34.58.930 W122.34.02.087 twyrwy_labels
"A2" N045.35.01.410 W122.34.08.667 twyrwy_labels
"A4" N045.35.19.839 W122.34.55.734 twyrwy_labels
"A5" N045.35.25.155 W122.35.08.922 twyrwy_labels
"A6" N045.35.31.611 W122.35.26.219 twyrwy_labels
"T" N045.35.39.181 W122.35.45.762 twyrwy_labels  ; T (A7)
"E" N045.35.26.910 W122.36.09.617 twyrwy_labels
"E" N045.35.40.850 W122.35.50.217 twyrwy_labels
"A" N045.35.35.119 W122.35.40.217 twyrwy_labels
"A" N045.35.28.944 W122.35.24.107 twyrwy_labels
"A3" N045.35.11.550 W122.34.34.923 twyrwy_labels
"A" N045.35.14.524 W122.34.47.673 twyrwy_labels
"T" N045.35.32.681 W122.35.53.241 twyrwy_labels
"T" N045.35.26.033 W122.36.04.650 twyrwy_labels
"T" N045.35.08.887 W122.35.33.781 twyrwy_labels
"M" N045.35.28.637 W122.36.05.149 twyrwy_labels
"M" N045.35.29.025 W122.36.21.612 twyrwy_labels
"D" N045.35.47.453 W122.36.26.098 twyrwy_labels
"E" N045.35.35.059 W122.35.58.519 twyrwy_labels
"E2" N045.35.31.053 W122.35.59.682 twyrwy_labels
"E" N045.35.15.300 W122.36.26.354 twyrwy_labels
"E3" N045.35.23.981 W122.36.10.791 twyrwy_labels
"E4" N045.35.09.542 W122.36.32.904 twyrwy_labels
"E" N045.35.04.261 W122.36.42.083 twyrwy_labels
"E5" N045.34.58.052 W122.36.48.982 twyrwy_labels
"E6" N045.34.54.664 W122.36.56.588 twyrwy_labels
"G" N045.35.12.896 W122.36.45.451 twyrwy_labels
"C" N045.35.22.754 W122.36.39.830 twyrwy_labels
"C" N045.35.27.857 W122.37.02.099 twyrwy_labels
"C1" N045.35.40.830 W122.37.18.431 twyrwy_labels
"C" N045.35.15.547 W122.36.20.454 twyrwy_labels
"C5" N045.35.04.819 W122.35.56.215 twyrwy_labels
"C6" N045.34.59.809 W122.35.34.340 twyrwy_labels
"C" N045.34.52.550 W122.35.21.000 twyrwy_labels
"C8" N045.34.48.348 W122.35.04.621 twyrwy_labels
"F" N045.35.11.166 W122.36.03.275 twyrwy_labels
"F" N045.35.10.941 W122.36.19.683 twyrwy_labels
"J" N045.35.05.728 W122.36.03.931 twyrwy_labels
"B1" N045.35.43.873 W122.37.15.734 twyrwy_labels
"B" N045.35.40.715 W122.36.56.243 twyrwy_labels
"B2" N045.35.34.923 W122.36.47.879 twyrwy_labels
"B" N045.35.32.032 W122.36.33.878 twyrwy_labels
"B" N045.35.21.841 W122.36.13.058 twyrwy_labels
"B3" N045.35.17.504 W122.36.07.984 twyrwy_labels
"B4" N045.35.16.221 W122.36.04.051 twyrwy_labels
"B5" N045.35.10.654 W122.35.51.100 twyrwy_labels
"B" N045.35.09.556 W122.35.41.739 twyrwy_labels
"B6" N045.35.03.052 W122.35.32.030 twyrwy_labels
"B8" N045.34.52.866 W122.35.01.409 twyrwy_labels
"28L" N045.34.39.872 W122.34.38.825 twyrwy_labels
"28R" N045.34.50.994 W122.33.35.563 twyrwy_labels
"10L" N045.35.56.987 W122.36.34.916 twyrwy_labels
"10R" N045.35.51.938 W122.37.48.055 twyrwy_labels
"Ameriflight" N045.35.06.733 W122.36.15.663 building_labels
"DHL Express" N045.34.54.664 W122.36.32.359 building_labels
"Boeing Paint Hangers" N045.34.46.663 W122.36.50.317 building_labels
"FedEx" N045.34.41.985 W122.36.39.219 building_labels
"UPS" N045.34.59.875 W122.36.30.264 building_labels
"Horizon Ops" N045.34.58.653 W122.36.17.760 building_labels
"Atlantic" N045.35.05.801 W122.34.45.593 building_labels
"Flight Craft" N045.35.09.797 W122.34.55.859 building_labels
"Boutique Air" N045.35.13.962 W122.35.04.174 building_labels
"(Old Atlantic)" N045.35.12.892 W122.35.04.595 building_labels
"USPS" N045.35.02.493 W122.35.01.825 building_labels
"Airline Cargo" N045.34.57.860 W122.34.47.868 building_labels
"PANG" N045.34.46.859 W122.35.58.679 building_labels
"Alert Barn" N045.34.40.688 W122.35.17.018 building_labels
"TWR" N045.35.15.271 W122.35.20.936 building_labels
"OR ANG" N045.34.49.152 W122.35.33.394 ramp_labels
"OR ANG West" N045.34.55.950 W122.35.50.440 ramp_labels
"Reserve" N045.34.59.526 W122.35.59.585 ramp_labels
"Central" N045.35.08.991 W122.36.21.511 ramp_labels
"South Central" N045.35.03.103 W122.36.37.079 ramp_labels
"South" N045.34.52.682 W122.36.43.314 ramp_labels
"Southwest" N045.35.19.999 W122.36.51.119 ramp_labels
"Northwest" N045.35.47.291 W122.36.23.198 ramp_labels
"North" N045.35.16.204 W122.35.03.741 ramp_labels
"GA Parking" N045.35.08.260 W122.34.43.823 ramp_labels
"Southeast" N045.34.53.235 W122.34.51.466 ramp_labels
; PDX Terminals
"Alpha" N045.35.11.448 W122.35.32.712 ramp_labels
"Bravo" N045.35.16.550 W122.35.37.510 ramp_labels
"Charlie" N045.35.21.530 W122.35.50.620 ramp_labels
"Delta" N045.35.27.345 W122.35.41.673 ramp_labels
"Echo" N045.35.23.318 W122.35.29.566 ramp_labels
