; KPSC labels
"21R" N046.16.16.510 W119.06.43.047 twyrwy_labels
"21L" N046.16.08.235 W119.06.30.747 twyrwy_labels
"30" N046.15.29.268 W119.06.20.809 twyrwy_labels
"12" N046.16.25.863 W119.07.41.402 twyrwy_labels
"3L" N046.15.21.314 W119.08.04.335 twyrwy_labels
"3R" N046.15.37.593 W119.07.23.895 twyrwy_labels
"A" N046.15.39.119 W119.07.10.522 twyrwy_labels
"A" N046.15.58.751 W119.06.41.219 twyrwy_labels
"A" N046.15.21.608 W119.07.52.139 twyrwy_labels
"A2" N046.15.31.988 W119.07.37.160 twyrwy_labels
"A3" N046.15.40.658 W119.07.03.799 twyrwy_labels
"A" N046.15.32.904 W119.07.21.632 twyrwy_labels
"C" N046.15.41.183 W119.07.22.578 twyrwy_labels
"D" N046.16.16.116 W119.07.36.970 twyrwy_labels
"D7" N046.16.22.710 W119.07.42.377 twyrwy_labels
"D6" N046.16.09.917 W119.07.26.195 twyrwy_labels
"D5" N046.15.54.415 W119.07.02.799 twyrwy_labels
"E" N046.15.53.461 W119.06.27.691 twyrwy_labels
"A5" N046.16.11.692 W119.06.39.316 twyrwy_labels
"E4" N046.16.03.285 W119.06.29.564 twyrwy_labels
"E3" N046.15.56.337 W119.06.27.824 twyrwy_labels
"E1" N046.15.40.659 W119.06.19.953 twyrwy_labels
"E" N046.16.02.471 W119.06.32.922 twyrwy_labels
"E" N046.15.35.112 W119.06.18.890 twyrwy_labels
"D1" N046.15.28.893 W119.06.26.875 twyrwy_labels
"D" N046.15.35.964 W119.06.40.696 twyrwy_labels
"D2" N046.15.32.210 W119.06.39.070 twyrwy_labels
"D3" N046.15.37.553 W119.06.46.711 twyrwy_labels
"D" N046.15.53.878 W119.07.05.896 twyrwy_labels
"E2" N046.15.48.470 W119.06.23.726 twyrwy_labels
"D4" N046.15.42.649 W119.06.47.271 twyrwy_labels
"A1" N046.15.19.891 W119.07.58.234 twyrwy_labels
"GA North" N046.15.52.135 W119.06.22.218 ramp_labels
"GA South" N046.15.39.117 W119.06.15.997 ramp_labels
"Transient" N046.15.36.302 W119.07.04.036 ramp_labels
"De-ice" N046.15.29.812 W119.06.45.351 ramp_labels
"Bergstrom Aircraft" N046.15.52.257 W119.06.18.162 building_labels
"Terminal" N046.15.33.649 W119.06.53.774 building_labels
"TWR" N046.15.36.441 W119.06.58.085 building_labels
"Fire Station" N046.15.30.901 W119.07.11.511 building_labels
"FedEx" N046.15.24.133 W119.06.37.611 building_labels
