; KRDM labels
"F" N044.15.04.668 W121.09.37.705 twyrwy_labels
"F" N044.15.18.590 W121.09.03.979 twyrwy_labels
"E" N044.14.59.897 W121.09.43.540 twyrwy_labels
"B (G)" N044.14.57.439 W121.08.33.406 twyrwy_labels
"B (G)" N044.15.07.582 W121.08.55.884 twyrwy_labels
"B (G)" N044.15.22.541 W121.09.29.468 twyrwy_labels
"B4 (M)" N044.14.53.684 W121.08.20.916 twyrwy_labels
"C4 (M)" N044.14.58.128 W121.08.17.078 twyrwy_labels
"B3 (J)" N044.15.03.976 W121.08.43.835 twyrwy_labels
"C3 (J)" N044.15.07.416 W121.08.40.958 twyrwy_labels
"N" N044.15.25.974 W121.08.40.167 twyrwy_labels
"D" N044.15.29.534 W121.09.10.641 twyrwy_labels
"D (B)" N044.15.29.569 W121.08.46.075 twyrwy_labels
"C2 (D)" N044.15.24.822 W121.09.17.808 twyrwy_labels
"B2 (D)" N044.15.20.147 W121.09.21.849 twyrwy_labels
"Z3" N044.15.23.220 W121.09.34.472 twyrwy_labels
"Z2 (A)" N044.15.25.586 W121.09.40.612 twyrwy_labels
"Z1" N044.15.28.580 W121.09.46.899 twyrwy_labels
"B1" N044.15.30.006 W121.09.41.781 twyrwy_labels
"(A)" N044.15.29.195 W121.09.40.411 twyrwy_labels
"K" N044.15.34.881 W121.08.21.586 twyrwy_labels
"C1 (A)" N044.15.33.268 W121.09.38.768 twyrwy_labels
"C" N044.15.22.956 W121.09.09.457 twyrwy_labels
"C" N044.15.12.825 W121.08.46.809 twyrwy_labels
"C" N044.15.04.359 W121.08.28.208 twyrwy_labels
"(B)" N044.15.31.113 W121.09.14.032 twyrwy_labels
"11" N044.15.31.393 W121.09.45.160 twyrwy_labels
"23" N044.15.31.038 W121.08.15.090 twyrwy_labels
"29" N044.14.56.004 W121.08.14.509 twyrwy_labels
"5" N044.14.55.230 W121.09.42.833 twyrwy_labels
"F" N044.15.31.149 W121.08.33.076 twyrwy_labels
"H" N044.15.06.717 W121.09.26.183 twyrwy_labels
"R1" N044.15.03.067 W121.09.45.862 twyrwy_labels
"USFS Ramps" N044.15.31.975 W121.08.56.969 ramp_labels
"GA North" N044.15.32.559 W121.09.26.839 ramp_labels
"GA South" N044.15.22.728 W121.09.38.095 ramp_labels
"Air Carrier" N044.15.07.413 W121.09.36.980 ramp_labels
"Leading Edge Jet Center" N044.15.35.334 W121.09.22.515 building_labels
"USFS Air Tanker Base" N044.15.36.572 W121.08.48.853 building_labels
"Terminal" N044.15.10.760 W121.09.39.710 building_labels
"TWR" N044.15.16.193 W121.09.32.659 building_labels
