; KRNT labels
"Boeing Ramp" N047.29.25.938 W122.12.34.275 ramp_labels
"34" N047.29.04.146 W122.12.52.320 twyrwy_labels
"16" N047.30.04.805 W122.13.01.872 twyrwy_labels
"A" N047.29.57.362 W122.13.04.807 twyrwy_labels
"A1" N047.30.00.074 W122.13.03.305 twyrwy_labels
"A2" N047.29.54.986 W122.13.02.541 twyrwy_labels
"A" N047.29.48.533 W122.13.03.592 twyrwy_labels
"A3" N047.29.42.987 W122.13.01.154 twyrwy_labels
"B3" N047.29.42.563 W122.12.54.669 twyrwy_labels
"B" N047.29.38.756 W122.12.53.135 twyrwy_labels
"A" N047.29.38.520 W122.13.01.982 twyrwy_labels
"A4" N047.29.34.835 W122.12.59.824 twyrwy_labels
"B4" N047.29.35.828 W122.12.53.705 twyrwy_labels
"A5" N047.29.30.276 W122.12.59.393 twyrwy_labels
"B5" N047.29.30.354 W122.12.54.235 twyrwy_labels
"B" N047.29.25.924 W122.12.51.019 twyrwy_labels
"A" N047.29.26.984 W122.13.00.469 twyrwy_labels
"A6" N047.29.22.894 W122.12.57.883 twyrwy_labels
"B6" N047.29.21.157 W122.12.51.566 twyrwy_labels
"B" N047.29.16.486 W122.12.48.836 twyrwy_labels
"A" N047.29.16.900 W122.12.59.041 twyrwy_labels
"B7" N047.29.10.812 W122.12.49.899 twyrwy_labels
"A7" N047.29.10.369 W122.12.57.422 twyrwy_labels
"Boeing Factory" N047.29.52.581 W122.12.32.709 building_labels
"Ace Aviation" N047.29.11.765 W122.12.37.747 building_labels
"Seaplane Base" N047.30.03.744 W122.13.09.403 building_labels
"Rainier" N047.29.47.583 W122.13.14.435 building_labels
"BEFA" N047.29.51.258 W122.13.15.328 building_labels
"Northwest Seaplanes" N047.29.58.290 W122.13.25.090 building_labels
"Pro-Flight" N047.29.39.000 W122.13.12.960 building_labels
"TWR" N047.29.30.385 W122.13.04.672 building_labels
