; KSEA labels
"B" N047.27.39.530 W122.18.22.310 twyrwy_labels
"B" N047.27.04.604 W122.18.22.607 twyrwy_labels
"B" N047.26.41.064 W122.18.22.676 twyrwy_labels
"B" N047.26.05.352 W122.18.20.407 twyrwy_labels
"S" N047.26.10.189 W122.18.26.310 twyrwy_labels
"Q" N047.26.17.046 W122.18.26.435 twyrwy_labels
"Q" N047.26.16.898 W122.18.34.839 twyrwy_labels
"Q" N047.26.20.873 W122.18.51.666 twyrwy_labels
"Q" N047.26.30.673 W122.18.59.879 twyrwy_labels
"R" N047.26.26.318 W122.19.01.905 twyrwy_labels
"T" N047.26.27.010 W122.18.49.347 twyrwy_labels
"T" N047.27.03.048 W122.18.49.207 twyrwy_labels
"T" N047.27.43.457 W122.18.48.808 twyrwy_labels
"T" N047.27.20.948 W122.18.49.195 twyrwy_labels
"A" N047.27.08.881 W122.18.18.160 twyrwy_labels
"G" N047.27.25.713 W122.18.20.181 twyrwy_labels
"C" N047.27.49.538 W122.18.25.424 twyrwy_labels
"C" N047.27.49.062 W122.18.34.039 twyrwy_labels
"C" N047.27.49.211 W122.18.53.547 twyrwy_labels
"D" N047.27.46.313 W122.18.25.405 twyrwy_labels
"D" N047.27.46.508 W122.18.34.009 twyrwy_labels
"E" N047.27.36.261 W122.18.25.537 twyrwy_labels
"E" N047.27.36.319 W122.18.34.099 twyrwy_labels
"E" N047.27.35.469 W122.18.55.991 twyrwy_labels
"J" N047.27.17.133 W122.18.57.390 twyrwy_labels
"J" N047.27.18.101 W122.18.38.072 twyrwy_labels
"H" N047.27.13.509 W122.18.36.951 twyrwy_labels
"H" N047.27.20.430 W122.18.25.678 twyrwy_labels
"K" N047.27.08.298 W122.18.25.956 twyrwy_labels
"K" N047.27.04.974 W122.18.34.317 twyrwy_labels
"L" N047.27.00.411 W122.18.26.138 twyrwy_labels
"Z" N047.27.44.595 W122.18.59.194 twyrwy_labels
"N" N047.26.49.337 W122.18.57.390 twyrwy_labels
"N" N047.26.41.207 W122.18.35.072 twyrwy_labels
"M" N047.26.48.684 W122.18.34.546 twyrwy_labels
"M" N047.26.45.244 W122.18.26.337 twyrwy_labels
"N" N047.26.36.559 W122.18.26.830 twyrwy_labels
"P" N047.26.39.008 W122.18.58.053 twyrwy_labels
"P" N047.26.23.972 W122.18.35.093 twyrwy_labels
"T" N047.26.44.310 W122.18.48.903 twyrwy_labels
"34C" N047.26.06.862 W122.18.46.568 twyrwy_labels
"34L" N047.26.18.630 W122.19.09.525 twyrwy_labels
"34R" N047.25.41.362 W122.18.23.085 twyrwy_labels
"F" N047.27.32.763 W122.18.34.143 twyrwy_labels
"16R" N047.27.56.734 W122.19.08.764 twyrwy_labels
"16C" N047.27.56.313 W122.18.44.726 twyrwy_labels
"16L" N047.27.56.435 W122.18.23.406 twyrwy_labels
"P" N047.26.20.525 W122.18.26.264 twyrwy_labels
"A" N047.27.40.439 W122.18.17.912 twyrwy_labels
"Transient" N047.26.19.788 W122.18.55.526 ramp_labels
"Cargo 7" N047.26.08.382 W122.18.15.736 ramp_labels
"Cargo 6" N047.27.06.403 W122.18.13.321 ramp_labels
"Cargo 5" N047.27.14.523 W122.18.09.639 ramp_labels
"Cargo 4" N047.27.23.486 W122.18.12.607 ramp_labels
"Cargo 3" N047.27.39.280 W122.18.06.378 ramp_labels
"Maintenance" N047.27.35.268 W122.18.12.649 ramp_labels
"Cargo 2" N047.27.44.659 W122.18.04.484 ramp_labels
"Cargo 1" N047.27.50.899 W122.18.14.839 ramp_labels
"Alpha" N047.26.30.022 W122.18.01.864 ramp_labels
"Bravo" N047.26.29.752 W122.18.13.830 ramp_labels
"Charlie" N047.26.40.933 W122.18.14.169 ramp_labels
"Delta" N047.26.41.240 W122.18.03.937 ramp_labels
"TWR" N047.27.20.580 W122.18.04.073 building_labels
"Signature" N047.26.21.360 W122.18.58.216 building_labels
"South Sat / US Customs" N047.26.19.739 W122.18.11.354 building_labels
"Terminal" N047.26.37.264 W122.18.08.767 building_labels
"North Sat" N047.26.55.276 W122.18.10.919 building_labels
"Alaska Facility" N047.26.08.950 W122.18.07.676 building_labels
"99" N047.26.14.014 W122.18.17.446 taxilane_labels
"88" N047.26.23.657 W122.18.16.997 taxilane_labels
"77" N047.26.36.441 W122.18.18.109 taxilane_labels
"66" N047.26.51.557 W122.18.17.093 taxilane_labels
"55" N047.27.01.116 W122.18.11.671 taxilane_labels
"W" N047.26.16.923 W122.18.19.738 taxilane_labels
"W" N047.26.48.892 W122.18.19.740 taxilane_labels
"W" N047.26.33.704 W122.18.19.775 taxilane_labels
"90" N047.26.20.126 W122.18.19.778 taxilane_labels
"44" N047.27.25.545 W122.18.14.977 taxilane_labels
"22" N047.27.42.578 W122.18.14.856 taxilane_labels
"50" N047.27.14.222 W122.18.15.024 taxilane_labels
