; KSFF labels
"A" N047.41.08.512 W117.18.57.124 twyrwy_labels
"A" N047.41.01.852 W117.18.50.815 twyrwy_labels
"A" N047.40.56.685 W117.18.53.917 twyrwy_labels
"A" N047.40.48.288 W117.19.27.221 twyrwy_labels
"A" N047.40.43.590 W117.19.51.222 twyrwy_labels
"B" N047.40.52.047 W117.19.20.835 twyrwy_labels
"B" N047.40.59.691 W117.19.05.738 twyrwy_labels
"C" N047.40.51.018 W117.19.33.265 twyrwy_labels
"C" N047.40.48.848 W117.19.30.918 twyrwy_labels
"D" N047.40.53.325 W117.19.14.626 twyrwy_labels
"E" N047.40.49.696 W117.19.24.707 twyrwy_labels
"4L" N047.40.43.627 W117.20.00.552 twyrwy_labels
"22R" N047.41.15.280 W117.18.54.489 twyrwy_labels
"22L" N047.41.10.132 W117.18.50.125 twyrwy_labels
"4R" N047.40.52.123 W117.19.29.632 twyrwy_labels
"A" N047.40.44.522 W117.19.43.378 twyrwy_labels
"GA Parking" N047.40.47.621 W117.19.24.540 ramp_labels
"Seaplane base" N047.41.06.941 W117.19.29.825 ramp_labels
"Parkwater Aviation" N047.40.44.455 W117.19.34.248 building_labels
"Western Aviation" N047.40.48.076 W117.19.17.255 building_labels
"SFF Aviation" N047.40.50.815 W117.19.04.850 building_labels
"TWR" N047.40.49.985 W117.19.10.086 building_labels
