; KSKA labels
"50" N047.37.33.553 W117.38.58.102 twyrwy_labels
"100" N047.37.26.665 W117.39.00.226 twyrwy_labels
"23" N047.37.25.604 W117.37.29.483 twyrwy_labels
"5" N047.36.19.322 W117.41.22.745 twyrwy_labels
"A" N047.36.31.154 W117.40.58.307 twyrwy_labels
"P" N047.36.40.374 W117.40.38.075 twyrwy_labels
"B" N047.36.44.778 W117.40.12.432 twyrwy_labels
"C" N047.36.50.246 W117.39.52.472 twyrwy_labels
"D" N047.36.58.662 W117.39.22.595 twyrwy_labels
"E" N047.37.13.962 W117.38.53.402 twyrwy_labels
"F" N047.37.16.127 W117.38.22.164 twyrwy_labels
"G" N047.37.31.039 W117.37.56.747 twyrwy_labels
"H" N047.37.32.392 W117.37.47.016 twyrwy_labels
"J" N047.37.20.982 W117.38.40.759 twyrwy_labels
"J" N047.37.09.208 W117.39.20.716 twyrwy_labels
"J" N047.37.29.559 W117.38.13.843 twyrwy_labels
"P" N047.37.21.418 W117.38.15.867 twyrwy_labels
"P" N047.37.08.397 W117.39.01.887 twyrwy_labels
"P" N047.36.57.488 W117.39.39.322 twyrwy_labels
"F" N047.37.28.271 W117.38.30.124 twyrwy_labels
"P" N047.37.22.768 W117.38.54.232 twyrwy_labels
"X-mas Tree" N047.37.49.011 W117.37.36.267 ramp_labels
"Hot Cargo" N047.37.25.409 W117.38.03.065 ramp_labels
"Transient" N047.37.07.280 W117.39.25.174 ramp_labels
"West" N047.37.01.245 W117.39.46.370 ramp_labels
"TWR" N047.36.40.558 W117.39.15.184 building_labels
"Base Ops" N047.37.15.201 W117.39.23.770 building_labels
