; KTCM labels
"E ramp" N047.07.33.511 W122.28.54.902 ramp_labels
"D Ext" N047.08.01.442 W122.28.57.180 ramp_labels
"D ramp" N047.08.19.437 W122.29.12.056 ramp_labels
"C ramp" N047.08.42.139 W122.29.28.589 ramp_labels
"J ramp" N047.08.45.621 W122.29.00.329 ramp_labels
"B ramp" N047.09.03.411 W122.28.59.494 ramp_labels
"L Pad" N047.08.06.544 W122.28.22.458 ramp_labels
"Base Ops" N047.08.51.503 W122.29.14.834 ramp_labels
"Alert Hangars" N047.07.17.163 W122.28.59.411 building_labels
"Air Freight Terminal" N047.09.24.839 W122.29.08.329 building_labels
"Passenger Terminal" N047.09.10.581 W122.29.27.198 building_labels
"TWR" N047.08.14.507 W122.28.54.392 building_labels
"16" N047.09.21.210 W122.28.36.583 twyrwy_labels
"34" N047.07.05.708 W122.28.36.483 twyrwy_labels
"F" N047.08.44.315 W122.28.17.833 twyrwy_labels
"C" N047.08.27.486 W122.28.29.581 twyrwy_labels
"D" N047.08.20.781 W122.28.30.408 twyrwy_labels
"D" N047.08.17.292 W122.28.43.332 twyrwy_labels
"B" N047.09.00.024 W122.28.28.656 twyrwy_labels
"B" N047.08.50.658 W122.28.43.831 twyrwy_labels
"A" N047.09.05.037 W122.28.43.510 twyrwy_labels
"H" N047.08.53.449 W122.28.47.324 twyrwy_labels
"H" N047.08.26.565 W122.28.47.146 twyrwy_labels
"H" N047.07.51.441 W122.28.46.960 twyrwy_labels
"E" N047.07.26.899 W122.28.41.762 twyrwy_labels
"K" N047.08.27.191 W122.29.15.399 twyrwy_labels
"J" N047.08.56.545 W122.29.12.513 twyrwy_labels
"C" N047.08.35.886 W122.28.43.363 twyrwy_labels
