; KSLE labels
"13" N044.55.04.499 W123.00.30.726 twyrwy_labels
"16" N044.55.07.126 W123.00.12.350 twyrwy_labels
"M" N044.54.59.750 W123.00.19.028 twyrwy_labels
"A1" N044.54.57.058 W123.00.28.052 twyrwy_labels
"A2" N044.54.47.137 W123.00.19.181 twyrwy_labels
"C" N044.54.42.501 W123.00.23.219 twyrwy_labels
"L8" N044.54.51.213 W123.00.29.014 twyrwy_labels
"L9" N044.54.48.223 W123.00.26.346 twyrwy_labels
"L" N044.54.44.999 W123.00.24.072 twyrwy_labels
"J" N044.54.32.717 W123.00.09.370 twyrwy_labels
"J" N044.54.32.957 W123.00.14.786 twyrwy_labels
"H" N044.54.28.699 W123.00.15.066 twyrwy_labels
"C" N044.54.08.461 W123.00.15.298 twyrwy_labels
"C" N044.54.12.320 W123.00.20.114 twyrwy_labels
"C" N044.54.29.370 W123.00.20.172 twyrwy_labels
"C" N044.54.40.668 W123.00.24.889 twyrwy_labels
"A" N044.54.50.718 W123.00.24.617 twyrwy_labels
"A" N044.54.39.621 W123.00.19.171 twyrwy_labels
"A" N044.54.23.395 W123.00.15.028 twyrwy_labels
"A" N044.54.14.572 W123.00.08.202 twyrwy_labels
"34" N044.54.00.943 W123.00.13.808 twyrwy_labels
"F" N044.54.07.808 W123.00.07.964 twyrwy_labels
"F" N044.54.10.165 W122.59.51.186 twyrwy_labels
"R" N044.54.07.370 W123.00.00.274 twyrwy_labels
"31" N044.54.03.508 W122.59.41.100 twyrwy_labels
"G" N044.54.23.332 W122.59.46.646 twyrwy_labels
"B" N044.54.30.562 W122.59.55.708 twyrwy_labels
"B" N044.54.44.579 W123.00.06.840 twyrwy_labels
"B" N044.54.52.279 W123.00.08.036 twyrwy_labels
"N" N044.54.47.673 W123.00.10.458 twyrwy_labels
"Q" N044.54.37.173 W123.00.04.921 twyrwy_labels
"ANG OPS" N044.54.37.930 W123.00.00.161 ramp_labels
"TWR" N044.54.34.407 W123.00.27.873 building_labels
