; KTIW labels
"17" N047.16.37.990 W122.34.36.052 twyrwy_labels
"35" N047.15.32.578 W122.34.48.548 twyrwy_labels
"A1" N047.16.28.700 W122.34.35.165 twyrwy_labels
"B1" N047.16.28.049 W122.34.29.784 twyrwy_labels
"A" N047.16.22.825 W122.34.33.117 twyrwy_labels
"A" N047.16.12.656 W122.34.35.022 twyrwy_labels
"A" N047.15.59.810 W122.34.37.237 twyrwy_labels
"A" N047.15.47.269 W122.34.39.557 twyrwy_labels
"A2" N047.16.04.361 W122.34.39.333 twyrwy_labels
"A3" N047.15.53.011 W122.34.41.757 twyrwy_labels
"A4" N047.15.40.017 W122.34.43.496 twyrwy_labels
"B2" N047.16.17.519 W122.34.31.613 twyrwy_labels
"B3" N047.16.07.675 W122.34.33.077 twyrwy_labels
"B4" N047.15.52.462 W122.34.37.084 twyrwy_labels
"Customs" N047.16.07.996 W122.34.27.988 building_labels
"TWR" N047.16.09.794 W122.34.28.721 building_labels
"Pavco" N047.16.07.343 W122.34.30.819 building_labels
"ATP" N047.16.12.411 W122.34.28.570 building_labels
"TIW Aviation" N047.16.10.913 W122.34.25.840 building_labels
"HeliTrak" N047.16.22.359 W122.34.24.050 building_labels
